number,value,params_lambda_prior,params_noise_std,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-2.9837029855719193,1.0,0.03,325,1.0,"[-64.0, 0.0]",0.0,-64.0,0.7485,0.5,-2.026939734531939,-3.048538780413454,-2.9837029855719193,-3.876191738001177,0.6943502464830589,-3.5486475053280606,-3.7774581500583664,0.9769275686207936,0.25149999999999995,-4.878216955798934,-1.5969568493209632,-3.7774581500583664,7.232,4.0,8.773642130571325,114.0,0.7288456308582357,9.0,394.0,325.0,5,dro_minimax_median,-2.9837029855719193,-2.9837029855719193,-3.7774581500583664,8.773642130571325,114.0,0.7288456308582357,394.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.11666666666666667,0.8833333333333333,True,COMPLETE
1,-3.6681377793842915,0.7630340364993864,0.03288600341424091,375,1.0,"[-71.0, 0.0]",0.0,-71.0,0.7365,0.5,-2.475600294813129,-3.6816069235123954,-3.6681377793842915,-5.004719987372152,0.8993486280290403,-4.4521303189486385,-4.444100927103416,1.0488703561597645,0.26349999999999996,-5.989962230505934,-1.6311915404504458,-4.444100927103416,7.006849315068493,4.0,9.023550301439453,121.0,0.6368733334369352,9.0,408.0,375.0,5,dro_minimax_median,-3.6681377793842915,-3.6681377793842915,-4.444100927103416,9.023550301439453,121.0,0.6368733334369352,408.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.14049586776859505,0.859504132231405,True,COMPLETE
2,-3.1754281063604965,2.078420280073592,0.03200610675779633,350,1.0,"[-81.0, 0.0]",0.0,-81.0,0.7245,0.5,-1.3531814287440584,-3.216689341930226,-3.1754281063604965,-4.264691642797743,1.1914706492077838,-3.9526210067501673,-3.9144650981357256,1.2898556688365597,0.27549999999999997,-4.876707642419202,-0.9583171310348101,-3.9144650981357256,6.22463768115942,4.0,7.831312504048538,131.0,0.7424107525745705,9.0,421.0,350.0,5,dro_minimax_median,-3.1754281063604965,-3.1754281063604965,-3.9144650981357256,7.831312504048538,131.0,0.7424107525745705,421.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.11510791366906475,0.8848920863309353,True,COMPLETE
3,-2.948028750258436,2.138870492726761,0.00975423826382478,425,1.0,"[-36.0, 0.0]",0.0,-36.0,0.7945,0.5,-0.50793543605016,-2.843189378553112,-2.948028750258436,-4.318725755576572,1.4300679631717979,-3.8779711538892307,-4.170900341331351,2.04838379351715,0.20550000000000002,-3.490110531348589,0.7205860229603086,-4.170900341331351,8.707865168539326,4.0,5.149819658143818,86.0,0.8434128172203315,10.0,316.0,425.0,5,dro_minimax_median,-2.948028750258436,-2.948028750258436,-4.170900341331351,5.149819658143818,86.0,0.8434128172203315,316.0,4.0,8.5,0.995,3142|3143|3144|3145|3146,0.23232323232323232,0.7676767676767676,True,COMPLETE
4,-2.774806490388848,3.5214433218841976,0.0030261592016370457,325,1.0,"[-42.0, 0.0]",0.0,-42.0,0.8065,0.5,-2.1560250914950982,-2.660631861228704,-2.774806490388848,-2.875021760289867,0.2886456094892206,-3.053220989316773,-3.1132794899577063,0.42119109579593345,0.1935,-4.288622471967082,-1.2937587342649048,-3.1132794899577063,8.086021505376344,4.0,7.416697737706146,92.0,0.6925644136015803,11.0,299.0,325.0,5,dro_minimax_median,-2.774806490388848,-2.774806490388848,-3.1132794899577063,7.416697737706146,92.0,0.6925644136015803,299.0,4.0,7.25,0.995,3142|3143|3144|3145|3146,0.18181818181818182,0.8181818181818182,True,COMPLETE
5,-2.882338016705601,15.69541975891441,0.0012327337848189793,450,1.0,"[-35.0, 0.0]",0.0,-35.0,0.8045,0.5,-2.087153243275883,-2.7294153810735593,-2.882338016705601,-3.1170056450968247,0.4319000887316286,-3.958136016351852,-4.2466974827410615,0.5880920896915446,0.1955,-3.140850269231643,0.9474304684492063,-4.2466974827410615,8.4375,4.0,7.103798502352698,85.0,0.7660028265273825,10.0,312.0,450.0,5,dro_minimax_median,-2.882338016705601,-2.882338016705601,-4.2466974827410615,7.103798502352698,85.0,0.7660028265273825,312.0,4.0,7.0,0.995,3142|3143|3144|3145|3146,0.20618556701030927,0.7938144329896907,True,COMPLETE
6,-2.3502792126137932,0.9619122909945217,0.001502251055102193,450,1.0,"[-16.0, 0.0]",0.0,-16.0,0.8505,0.5,-1.0376516461554288,-2.283937973302119,-2.3502792126137932,-3.50710092974319,1.1747810662723017,-3.1456928700790394,-3.3475429982281484,1.464465856717702,0.14949999999999997,-2.770272589516613,0.42662184883388576,-3.3475429982281484,9.105263157894736,4.0,4.901022756477058,66.0,0.8114186887080055,9.5,243.0,450.0,5,dro_minimax_median,-2.3502792126137932,-2.3502792126137932,-3.3475429982281484,4.901022756477058,66.0,0.8114186887080055,243.0,4.0,8.0,0.995,3142|3143|3144|3145|3146,0.21311475409836064,0.7868852459016393,True,COMPLETE
7,-2.2018412169350823,20.412398403780916,0.0024423499165259037,175,1.0,"[-30.0, 0.0]",0.0,-30.0,0.8165,0.5,-1.5575331759333788,-2.1755351800577194,-2.2018412169350823,-2.8376178927677476,0.46798390856760647,-2.537983649617161,-2.590067015684179,0.6642743116069704,0.1835,-3.6024422125972015,-1.0707989439814842,-2.590067015684179,9.333333333333334,4.0,6.336382147777863,80.0,0.6850636798070815,13.0,270.0,175.0,5,dro_minimax_median,-2.2018412169350823,-2.2018412169350823,-2.590067015684179,6.336382147777863,80.0,0.6850636798070815,270.0,4.0,9.5,0.995,3142|3143|3144|3145|3146,0.25,0.75,True,COMPLETE
8,-2.907595626276194,2.452159774456762,0.0013954426460853785,425,1.0,"[-21.0, 0.0]",0.0,-21.0,0.8145,0.5,-1.6130001870954618,-2.753570827997651,-2.907595626276194,-3.406077758754673,0.7347242788175126,-3.7917054192733395,-3.8930825976410026,1.1102390314157153,0.1855,-3.591498933919253,0.2519673139793473,-3.8930825976410026,9.295774647887324,4.0,6.1135375331305974,71.0,0.7922097580525088,10.0,271.0,425.0,5,dro_minimax_median,-2.907595626276194,-2.907595626276194,-3.8930825976410026,6.1135375331305974,71.0,0.7922097580525088,271.0,4.0,10.0,0.995,3142|3143|3144|3145|3146,0.2597402597402597,0.7402597402597403,True,COMPLETE
9,-2.365663166524277,5.916295194021042,0.002426932299776966,275,1.0,"[-42.0, 0.0]",0.0,-42.0,0.8005,0.5,-1.6598033596269315,-2.320470264400329,-2.365663166524277,-2.6294909301592213,0.3955263535548752,-2.755144280584592,-2.8230623320090817,0.4946533191367554,0.1995,-3.7039468082776246,-1.4186516399683526,-2.8230623320090817,7.9787234042553195,4.0,7.267200937368967,92.0,0.7336789864546657,12.0,306.0,275.0,5,dro_minimax_median,-2.365663166524277,-2.365663166524277,-2.8230623320090817,7.267200937368967,92.0,0.7336789864546657,306.0,4.0,6.0,0.995,3142|3143|3144|3145|3146,0.18627450980392157,0.8137254901960784,True,COMPLETE
