number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_bandit_consulted_ratio_overall,user_attrs_constraints_values,user_attrs_cv_finite_objective,user_attrs_cv_min_symbol_trades,user_attrs_decision_point_ratio_overall,user_attrs_dro_alpha,user_attrs_dro_minimax_max,user_attrs_dro_minimax_mean,user_attrs_dro_minimax_median,user_attrs_dro_minimax_min,user_attrs_dro_minimax_std,user_attrs_dro_pure_min_mean,user_attrs_dro_pure_min_median,user_attrs_dro_pure_min_std,user_attrs_forced_singleton_ratio_overall,user_attrs_full_mean_aggregate_median,user_attrs_h1_mean_aggregate_median,user_attrs_h2_mean_aggregate_median,user_attrs_mean_holding_bars_overall,user_attrs_median_holding_bars_overall,user_attrs_median_max_drawdown_abs,user_attrs_median_min_symbol_trades,user_attrs_median_profit_factor,user_attrs_median_time_between_entries_overall,user_attrs_median_total_trades,user_attrs_memory_horizon_bars,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_dro_minimax_median,user_attrs_observed_dro_pure_min_median,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_min_symbol_trades,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_p25_holding_bars_overall,user_attrs_p75_holding_bars_overall,user_attrs_pending_update_queued_ratio_overall,user_attrs_seeds_used,user_attrs_share_trades_closed_after_horizon_overall,user_attrs_share_trades_closed_before_horizon_overall,user_attrs_valid,state
0,-3.6405071239195532,1.0,0.1,325,1.0,"[-91.0, 0.0]",0.0,-91.0,0.7045,0.5,-3.6405071239195532,-3.6405071239195532,-3.6405071239195532,-3.6405071239195532,0.0,-3.934777626989058,-3.934777626989058,0.0,0.2955,-6.554301284864117,-2.757695614711038,-3.934777626989058,6.806666666666667,4.0,10.708259499788419,141.0,0.579563850846201,8.0,438.0,325.0,1,dro_minimax_median,-3.6405071239195532,-3.6405071239195532,-3.934777626989058,10.708259499788419,141.0,0.579563850846201,438.0,4.0,6.0,0.995,3142,0.14666666666666667,0.8533333333333334,True,COMPLETE
1,-2.675938265931199,10.849298953354761,0.04743552925961268,275,1.0,"[-66.0, 0.0]",0.0,-66.0,0.7125,0.5,-2.675938265931199,-2.675938265931199,-2.675938265931199,-2.675938265931199,0.0,-3.5745015181345727,-3.5745015181345727,0.0,0.2875,-3.5404045146418555,0.019751490678920902,-3.5745015181345727,7.7622377622377625,4.0,8.341841885476109,116.0,0.8057165305667294,9.0,421.0,275.0,1,dro_minimax_median,-2.675938265931199,-2.675938265931199,-3.5745015181345727,8.341841885476109,116.0,0.8057165305667294,421.0,4.0,6.0,0.995,3142,0.16083916083916083,0.8391608391608392,True,COMPLETE
2,-3.424424686375765,1.391787756481205,0.005020523174778083,350,1.0,"[-84.0, 0.0]",0.0,-84.0,0.7165,0.5,-3.424424686375765,-3.424424686375765,-3.424424686375765,-3.424424686375765,0.0,-4.241403945936695,-4.241403945936695,0.0,0.2835,-5.211504772467445,-0.9734869076929739,-4.241403945936695,6.361702127659575,4.0,6.051987944868564,134.0,0.7587059427098998,8.0,429.0,350.0,1,dro_minimax_median,-3.424424686375765,-3.424424686375765,-4.241403945936695,6.051987944868564,134.0,0.7587059427098998,429.0,4.0,5.0,0.995,3142,0.1347517730496454,0.8652482269503546,True,COMPLETE
3,-3.2303853543266907,6.117025522674068,0.011290461803700183,250,1.0,"[-68.0, 0.0]",0.0,-68.0,0.7465,0.5,-3.2303853543266907,-3.2303853543266907,-3.2303853543266907,-3.2303853543266907,0.0,-4.103023005413701,-4.103023005413701,0.0,0.25349999999999995,-4.737559578584416,-0.6124724010656596,-4.103023005413701,8.11023622047244,4.0,7.963354152611368,118.0,0.7072383638979561,10.0,375.0,250.0,1,dro_minimax_median,-3.2303853543266907,-3.2303853543266907,-4.103023005413701,7.963354152611368,118.0,0.7072383638979561,375.0,4.0,6.75,0.995,3142,0.2125984251968504,0.7874015748031497,True,COMPLETE
4,-5.063088885930572,2.825279658780465,0.005577587269233879,450,1.0,"[-66.0, 0.0]",0.0,-66.0,0.7305,0.5,-5.063088885930572,-5.063088885930572,-5.063088885930572,-5.063088885930572,0.0,-5.590909677415546,-5.590909677415546,0.0,0.26949999999999996,-8.854525092540833,-3.479626511475653,-5.590909677415546,7.731343283582089,4.0,11.311506911837299,116.0,0.6401920879185256,8.0,416.0,450.0,1,dro_minimax_median,-5.063088885930572,-5.063088885930572,-5.590909677415546,11.311506911837299,116.0,0.6401920879185256,416.0,4.0,6.0,0.995,3142,0.13432835820895522,0.8656716417910447,True,COMPLETE
5,-4.072311004482882,2.068236356427619,0.04988514469775409,225,1.0,"[-78.0, 0.0]",0.0,-78.0,0.734,0.5,-4.072311004482882,-4.072311004482882,-4.072311004482882,-4.072311004482882,0.0,-4.508491210762744,-4.508491210762744,0.0,0.266,-7.161056300212624,-2.7637703856432942,-4.508491210762744,7.6875,4.0,9.167051210234922,128.0,0.6601658726160173,9.0,402.0,225.0,1,dro_minimax_median,-4.072311004482882,-4.072311004482882,-4.508491210762744,9.167051210234922,128.0,0.6601658726160173,402.0,4.0,7.0,0.995,3142,0.19858156028368795,0.8014184397163121,True,COMPLETE
6,-4.72833736830048,2.1146024497025016,0.006235003999783108,400,1.0,"[-57.0, 0.0]",0.0,-57.0,0.7565,0.5,-4.72833736830048,-4.72833736830048,-4.72833736830048,-4.72833736830048,0.0,-6.259341683386443,-6.259341683386443,0.0,0.24350000000000005,-6.395593461285088,-0.1353244230425895,-6.259341683386443,8.578512396694215,4.0,9.830738888136203,107.0,0.6534550383169524,10.0,375.0,400.0,1,dro_minimax_median,-4.72833736830048,-4.72833736830048,-6.259341683386443,9.830738888136203,107.0,0.6534550383169524,375.0,4.0,8.0,0.995,3142,0.19008264462809918,0.8099173553719008,True,COMPLETE
7,-3.7627842389736452,10.570638336996952,0.02372545702135237,350,1.0,"[-84.0, 0.0]",0.0,-84.0,0.7285,0.5,-3.7627842389736452,-3.7627842389736452,-3.7627842389736452,-3.7627842389736452,0.0,-4.765961818114502,-4.765961818114502,0.0,0.27149999999999996,-5.499928374516223,-0.753251501551074,-4.765961818114502,7.17910447761194,4.0,8.708421112557973,134.0,0.6764205699632062,9.0,408.0,350.0,1,dro_minimax_median,-3.7627842389736452,-3.7627842389736452,-4.765961818114502,8.708421112557973,134.0,0.6764205699632062,408.0,4.0,6.0,0.995,3142,0.18840579710144928,0.8115942028985508,True,COMPLETE
8,-4.267579199564233,4.95612888468418,0.021074635636296444,200,1.0,"[-66.0, 0.0]",0.0,-66.0,0.7585,0.5,-4.267579199564233,-4.267579199564233,-4.267579199564233,-4.267579199564233,0.0,-5.262305874542635,-5.262305874542635,0.0,0.24150000000000005,-6.480439647636575,-1.2833991746290259,-5.262305874542635,7.896551724137931,4.0,9.468723144523427,116.0,0.6506519450712716,8.0,372.0,200.0,1,dro_minimax_median,-4.267579199564233,-4.267579199564233,-5.262305874542635,9.468723144523427,116.0,0.6506519450712716,372.0,4.0,8.25,0.995,3142,0.2413793103448276,0.7586206896551724,True,COMPLETE
9,-5.146778231452435,4.967208533643981,0.018175600264839935,325,1.0,"[-68.0, 0.0]",0.0,-68.0,0.7345,0.5,-5.146778231452435,-5.146778231452435,-5.146778231452435,-5.146778231452435,0.0,-6.5179888514387345,-6.5179888514387345,0.0,0.26549999999999996,-7.4542532696557755,-1.0331463714935356,-6.5179888514387345,7.398305084745763,4.0,8.131263222127904,118.0,0.6189304737899408,8.0,399.0,325.0,1,dro_minimax_median,-5.146778231452435,-5.146778231452435,-6.5179888514387345,8.131263222127904,118.0,0.6189304737899408,399.0,4.0,6.0,0.995,3142,0.15151515151515152,0.8484848484848485,True,COMPLETE
