seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,trial_number,bandit_name,method_group,set_name,z_window
3142,3,-4.347363322848917,0.5,-4.9104352718803534,-2.6581474757546055,-4.9104352718803534,-7.448667633158853,-7.889316103347821,8.671352330065163,13.088973495827227,0.6688210832984874,527,153,0.5495,0.19066666666666665,0.368,0.632,1.0,0.995,4.0,6.147368421052631,4.0,6.0,0.8858695652173914,0.11413043478260869,8.0,0,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3143,3,-6.908554029844069,0.5,-8.539291746225834,-2.016340880698775,-8.539291746225834,-10.4168436991213,-8.819860188953255,11.897453128747093,15.187803074330052,0.6087393281577601,531,159,0.5569999999999999,0.1965,0.35550000000000004,0.6445,1.0,0.995,4.0,6.70440251572327,4.0,7.0,0.8587570621468926,0.14124293785310735,9.0,0,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3144,3,-3.4733681439499824,0.5,-4.39845719581099,-0.6981009883669601,-4.39845719581099,-5.071422059470144,-4.51560802878862,10.026942410021999,10.129460454034156,0.7585238985374718,554,174,0.5546666666666668,0.217,0.34950000000000003,0.6505,1.0,0.995,4.0,6.005714285714285,4.0,6.0,0.88,0.12,8.0,0,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3145,3,-4.853342862086437,0.5,-6.02328794708549,-1.3435076070892782,-6.02328794708549,-7.266315579944294,-7.842057895792975,8.962456612096325,13.807734142963923,0.6323905882440994,547,168,0.5476666666666666,0.20566666666666666,0.37350000000000005,0.6265,1.0,0.995,4.0,6.178571428571429,4.0,6.0,0.8817204301075269,0.11827956989247312,8.0,0,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3146,3,-4.784006631711947,0.5,-5.559876155996288,-2.4563980588589254,-5.559876155996288,-7.892705297562597,-8.734834316461004,11.648366565714241,12.793479646788564,0.6549050983080063,521,156,0.5525000000000001,0.19066666666666668,0.33999999999999997,0.66,1.0,0.995,4.0,6.602564102564102,4.0,6.0,0.8589743589743589,0.14102564102564102,9.0,0,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3142,3,-3.08663938323832,0.5,-3.945653132095709,-0.5095981366661525,-3.945653132095709,-4.43717358003125,-4.909527636384903,9.582786358880568,11.541319341416967,0.7677138054514941,447,131,0.5428333333333334,0.16483333333333333,0.3015,0.6985,1.0,0.995,4.0,6.9801324503311255,4.0,6.0,0.8344370860927153,0.16556291390728478,9.0,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3143,3,-4.960708249827803,0.5,-6.068908776527252,-1.6361066697294573,-6.068908776527252,-7.60735020141409,-7.68637131246066,10.13593349948806,14.724094089081829,0.685198128445569,455,128,0.5519999999999999,0.1688333333333333,0.3235,0.6765,1.0,0.995,4.0,6.425925925925926,4.0,6.0,0.8641975308641975,0.13580246913580246,8.0,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3144,3,-5.063873958870279,0.5,-5.874560810278818,-2.6318134046446633,-5.874560810278818,-8.337795122808641,-9.785441939658535,12.433782195805232,13.419651310341019,0.6286798997136908,462,134,0.5408333333333334,0.17299999999999996,0.31799999999999995,0.682,1.0,0.995,4.0,6.867924528301887,4.0,7.0,0.8364779874213837,0.16352201257861634,8.0,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3145,3,-5.136537854483111,0.5,-5.93989486855218,-2.7264668122759037,-5.93989486855218,-8.483202221102193,-10.89037905972945,12.67549000601611,15.107464875211829,0.5831633074838061,456,130,0.5403333333333333,0.16516666666666666,0.32599999999999996,0.674,1.0,0.995,4.0,6.680981595092025,4.0,6.0,0.8650306748466258,0.13496932515337423,8.0,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
3146,3,-5.991350200289903,0.5,-7.428439513183219,-1.6800822616099538,-7.428439513183219,-8.957204713260973,-9.213767607734102,10.10827424171029,17.039125162552505,0.6430859300583547,463,129,0.5335,0.17183333333333337,0.32999999999999996,0.67,1.0,0.995,4.0,6.236363636363636,4.0,6.0,0.8757396449704142,0.1242603550295858,9.0,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
