seed,n_symbols,seed_dro_score,dro_alpha,seed_dro_min_aggregate_half,mean_symbol_h1_return_pct,mean_symbol_h2_return_pct,mean_symbol_full_return_pct,median_symbol_full_return_pct,median_drawdown_abs,max_drawdown_abs,median_profit_factor,total_trades,min_symbol_trades,mean_executed_action_1_ratio,mean_constraint_applied_ratio,mean_forced_singleton_ratio,mean_decision_point_ratio,mean_bandit_consulted_ratio,mean_pending_update_queued_ratio,median_holding_bars,mean_holding_bars,p25_holding_bars,p75_holding_bars,share_trades_closed_before_horizon,share_trades_closed_after_horizon,median_time_between_entries,confirmation_seed,original_trial_number,confirmation_rank,bandit_name,method_group,set_name,z_window
8000,3,-4.005119262140985,0.5,-4.9450798442771635,-1.1852375157324475,-4.9450798442771635,-6.0361249815042655,-5.6116744771347316,8.425089584367406,12.38230551228826,0.7266185839239805,413,113,0.5275,0.15683333333333335,0.27749999999999997,0.7225,1.0,0.995,4.0,6.9352517985611515,4.0,6.0,0.8201438848920863,0.17985611510791366,9.0,8000,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8001,3,-2.535223827236062,0.5,-3.1594326463852256,-0.662597369788572,-3.1594326463852256,-3.794948572949597,-4.930354857507324,7.518827633222857,7.710844913588188,0.7420456888519561,436,125,0.5178333333333333,0.18066666666666667,0.2815,0.7185,1.0,0.995,4.0,6.514285714285714,4.0,6.0,0.8357142857142857,0.16428571428571428,9.0,8001,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8002,3,-3.7617966251127783,0.5,-4.585198630308223,-1.2915906095264458,-4.585198630308223,-5.788171787671725,-7.299455661730125,9.225673789831813,9.912503930186356,0.6804493785594231,428,122,0.5308333333333334,0.17016666666666666,0.2815,0.7185,1.0,0.995,4.0,6.943262411347518,4.0,6.0,0.8014184397163121,0.19858156028368795,9.0,8002,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8003,3,-3.631045951939007,0.5,-4.790149265296761,-0.15373601186574604,-4.790149265296761,-4.924758333097157,-7.087135687309399,9.809174904892082,9.937755023259488,0.699089664818689,442,129,0.5173333333333333,0.17633333333333334,0.276,0.724,1.0,0.995,4.0,6.833333333333333,4.0,7.0,0.8043478260869565,0.1956521739130435,9.0,8003,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8004,3,-4.151914879152425,0.5,-5.0059356747659125,-1.5898524923119641,-5.0059356747659125,-6.502955366900139,-7.366584391305908,9.411515454994902,12.182527599156268,0.677449171495258,419,118,0.5341666666666667,0.15983333333333336,0.26349999999999996,0.7365,1.0,0.995,4.0,7.287878787878788,4.0,7.0,0.8106060606060606,0.1893939393939394,10.0,8004,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8005,3,-4.713305442092425,0.5,-5.764359175006672,-1.5601442433496853,-5.764359175006672,-7.235242290901163,-8.253738927034892,9.259722765233402,10.903184149465051,0.6638520331684448,436,129,0.522,0.1655,0.2835,0.7165,1.0,0.995,4.0,6.673758865248227,4.0,6.0,0.8368794326241135,0.16312056737588654,9.0,8005,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8006,3,-4.347942660465419,0.5,-5.2480377160563085,-1.6476574936927484,-5.2480377160563085,-6.819304830784968,-4.808843060895285,7.738335498752313,13.033408367908649,0.7534542048737972,448,132,0.5186666666666667,0.17633333333333334,0.30800000000000005,0.692,1.0,0.995,4.0,6.123376623376624,4.0,5.75,0.8506493506493507,0.14935064935064934,9.0,8006,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8007,3,-4.100630197658424,0.5,-5.384891373433905,-0.24784667033198224,-5.384891373433905,-5.597224127777593,-6.233081791676087,8.75290705498547,10.728224617306203,0.7167783159196098,430,130,0.5246666666666666,0.1658333333333333,0.27949999999999997,0.7205,1.0,0.995,4.0,6.664285714285715,4.0,6.0,0.8142857142857143,0.18571428571428572,9.0,8007,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8008,3,-4.817394112531561,0.5,-6.108898944356363,-0.9428796170571574,-6.108898944356363,-7.007857957386816,-7.322314190352419,8.834314309965741,12.806391218490976,0.6834717297516971,441,129,0.5218333333333334,0.17816666666666667,0.28,0.72,1.0,0.995,4.0,6.728571428571429,4.0,6.0,0.8285714285714286,0.17142857142857143,9.0,8008,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8009,3,-4.106394574883947,0.5,-5.04360657020901,-1.2947585889087583,-5.04360657020901,-6.289214779258116,-8.077754080316069,10.160381219010961,10.330079392700197,0.6573507077182338,447,125,0.524,0.18299999999999997,0.30000000000000004,0.7,1.0,0.995,4.0,6.36,4.0,5.75,0.8466666666666667,0.15333333333333332,9.0,8009,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8010,3,-3.306469066208728,0.5,-4.277206219101126,-0.39425760753153405,-4.277206219101126,-4.660698165710549,-5.71734664843313,8.03310299171196,8.767854984836276,0.7419845860110511,437,132,0.5193333333333333,0.17133333333333334,0.27149999999999996,0.7285,1.0,0.995,4.0,7.28030303030303,4.0,7.0,0.7803030303030303,0.2196969696969697,10.0,8010,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8011,3,-2.708573295745831,0.5,-3.02722585862788,-1.7526156070996837,-3.02722585862788,-4.718433859319464,-5.615165717235204,8.42719940381551,8.85399787610618,0.7357630139406433,441,135,0.5253333333333333,0.17066666666666666,0.27749999999999997,0.7225,1.0,0.995,4.0,6.892086330935252,4.0,6.0,0.8148148148148148,0.18518518518518517,9.0,8011,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8012,3,-4.037490244770789,0.5,-4.987470726052531,-1.1875488009255641,-4.987470726052531,-6.074086618433523,-8.479646140848917,8.888875286684295,11.436834219837655,0.6519516028898045,439,126,0.5298333333333333,0.17033333333333334,0.27549999999999997,0.7245,1.0,0.995,4.0,7.065693430656935,4.0,6.0,0.8102189781021898,0.1897810218978102,10.0,8012,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8013,3,-4.302861302002147,0.5,-5.054311477762423,-2.0485107747213203,-5.054311477762423,-6.965723475462533,-7.618141900782815,8.467474114960217,12.309973837971755,0.6656291990196608,454,130,0.5226666666666667,0.18366666666666667,0.27749999999999997,0.7225,1.0,0.995,4.0,6.661870503597123,4.0,6.0,0.8273381294964028,0.17266187050359713,10.0,8013,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8014,3,-3.54384502343521,0.5,-4.318111914440167,-1.2210443504203379,-4.318111914440167,-5.507916337468063,-5.345212881571149,8.677659221707101,10.017138231552625,0.7428395815990971,427,133,0.515,0.158,0.268,0.732,1.0,0.995,4.0,6.932835820895522,4.0,7.0,0.8134328358208955,0.1865671641791045,9.0,8014,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8015,3,-3.563022266068717,0.5,-4.858521034684075,0.32347403977735684,-4.858521034684075,-4.5428779679473195,-3.286104533865797,6.304608316774319,9.076710686392818,0.7850830826988241,449,140,0.5188333333333334,0.1785,0.2915,0.7085,1.0,0.995,4.0,6.36986301369863,4.0,5.0,0.8356164383561644,0.1643835616438356,9.0,8015,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8016,3,-4.734994176761154,0.5,-5.850141817910658,-1.389551253312641,-5.850141817910658,-7.111032799344382,-8.414536815672879,10.758928717970518,13.645508088780057,0.6652326467679797,441,127,0.5205,0.17600000000000002,0.28,0.72,1.0,0.995,4.0,6.792857142857143,4.0,7.0,0.8142857142857143,0.18571428571428572,9.0,8016,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8017,3,-4.533942111932796,0.5,-5.516936814153098,-1.5849580052718897,-5.516936814153098,-6.998152185296995,-8.80147748078719,10.64414624684572,12.311903265082247,0.6190339749737281,420,117,0.5288333333333334,0.1648333333333333,0.26349999999999996,0.7365,1.0,0.995,4.0,7.318181818181818,4.0,7.25,0.803030303030303,0.19696969696969696,9.0,8017,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8018,3,-3.9299490045947056,0.5,-4.901993794650213,-1.0138146344281822,-4.901993794650213,-5.871572833256637,-6.041727112051998,7.498989782960241,10.188737348663013,0.7206528808154511,450,130,0.519,0.17683333333333331,0.2875,0.7125,1.0,0.995,4.0,6.527777777777778,4.0,6.0,0.8333333333333334,0.16666666666666666,9.0,8018,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8019,3,-3.197934337866505,0.5,-3.7840940465567967,-1.4394552117956299,-3.7840940465567967,-5.184354960321687,-4.879163462082314,8.58294470992581,9.821215488644198,0.7611462056159967,447,119,0.5211666666666667,0.18683333333333332,0.2955,0.7045,1.0,0.995,4.0,6.3108108108108105,4.0,5.0,0.8445945945945946,0.1554054054054054,8.0,8019,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8020,3,-2.9499243412632437,0.5,-3.8553837911163846,-0.23354599170382073,-3.8553837911163846,-4.074143096189597,-4.9907556173348855,7.074256707640092,8.317185646039537,0.7754873672697045,452,133,0.5153333333333333,0.18566666666666665,0.3015,0.6985,1.0,0.995,4.0,6.193333333333333,4.0,5.0,0.84,0.16,8.0,8020,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8021,3,-4.05505052806291,0.5,-4.776153443152764,-1.8917417827933474,-4.776153443152764,-6.5430675328979175,-5.161483056109373,7.914300198682267,13.354068640279237,0.7458528358342666,427,125,0.5191666666666667,0.16616666666666666,0.27,0.73,1.0,0.995,4.0,6.933333333333334,4.0,7.0,0.8222222222222222,0.17777777777777778,10.0,8021,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8022,3,-4.186058268187716,0.5,-5.164899526443234,-1.2495344934211599,-5.164899526443234,-6.349086012691075,-7.97838135233917,9.8738236363746,10.191969160838443,0.6652208513720556,415,122,0.5275,0.15483333333333335,0.252,0.748,1.0,0.995,4.0,7.682539682539683,4.0,7.0,0.7777777777777778,0.2222222222222222,10.0,8022,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8023,3,-3.72047295895348,0.5,-4.710445068351817,-0.7505566307584699,-4.710445068351817,-5.4285255200796,-6.001328935806716,8.369702339907203,11.63468344526043,0.7178097035019275,420,119,0.5303333333333332,0.15833333333333333,0.27549999999999997,0.7245,1.0,0.995,4.0,6.934782608695652,4.0,6.0,0.8115942028985508,0.18840579710144928,8.0,8023,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
8024,3,-5.193386744066604,0.5,-6.229216143709107,-2.0858985451390977,-6.229216143709107,-8.196592404540942,-8.349740409012597,10.772034873947467,14.761889086569358,0.6512980496496197,449,134,0.522,0.1728333333333333,0.29800000000000004,0.702,1.0,0.995,4.0,6.489932885906041,4.0,6.0,0.8322147651006712,0.16778523489932887,9.0,8024,28,1,sw_lints,corr,z48_a0p5_corr_pruned_top10,48
