trial_number,study_name,bandit_name,method_group,set_name,z_window,alpha_out,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,constraint_symbols_active_ok,constraint_symbols_have_long_ok,constraint_min_trades_ok,constraint_max_trades_ok,constraint_profit_factor_ok,constraint_drawdown_ok,constraint_finite_objective_return_ok,objective_metric_name,calmar_like,effective_drawdown_abs_for_calmar,calmar_drawdown_floor_applied,calmar_drawdown_floor_abs,invalid_score,constraints_values,constraint_value_drawdown,constraint_value_profit_factor,constraint_value_min_trades,constraint_value_max_trades,constraint_value_all_symbols_active,constraint_value_all_symbols_have_long,constraint_value_finite_objective_return,optuna_constraints_convention,required_all_symbols_active_share,required_all_symbols_have_long_share,min_total_trades,max_total_trades,min_profit_factor,max_drawdown_abs,observed_all_symbols_active_share,observed_all_symbols_have_long_share,observed_median_total_trades,observed_median_profit_factor,observed_median_max_drawdown_abs,observed_median_of_seed_median_return_pct,observed_mean_of_seed_mean_return_pct,diagnostic_mean_of_seed_mean_return_pct,diagnostic_median_mean_turnover,n_seeds,seeds_used,all_symbols_active_share,all_symbols_have_long_share,median_of_seed_median_return_pct,mean_of_seed_median_return_pct,std_of_seed_median_return_pct,min_seed_median_return_pct,max_seed_median_return_pct,median_of_seed_mean_return_pct,mean_of_seed_mean_return_pct,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_total_trade_events,median_mean_turnover,median_positive_return_symbols,median_active_symbols,median_long_action_symbols,median_seed_val_first_median_return_pct,mean_seed_val_first_median_return_pct,median_seed_val_second_median_return_pct,mean_seed_val_second_median_return_pct,median_seed_val_first_mean_return_pct,mean_seed_val_first_mean_return_pct,median_seed_val_second_mean_return_pct,mean_seed_val_second_mean_return_pct,median_seed_val_first_max_drawdown_abs,mean_seed_val_first_max_drawdown_abs,median_seed_val_second_max_drawdown_abs,mean_seed_val_second_max_drawdown_abs,median_seed_val_first_median_profit_factor,mean_seed_val_first_median_profit_factor,median_seed_val_second_median_profit_factor,mean_seed_val_second_median_profit_factor,median_seed_val_first_total_trades,mean_seed_val_first_total_trades,median_seed_val_second_total_trades,mean_seed_val_second_total_trades,median_seed_val_first_total_trade_events,mean_seed_val_first_total_trade_events,median_seed_val_second_total_trade_events,mean_seed_val_second_total_trade_events,median_seed_val_first_mean_turnover,mean_seed_val_first_mean_turnover,median_seed_val_second_mean_turnover,mean_seed_val_second_mean_turnover,median_seed_val_first_mean_executed_action_1_ratio,mean_seed_val_first_mean_executed_action_1_ratio,median_seed_val_second_mean_executed_action_1_ratio,mean_seed_val_second_mean_executed_action_1_ratio,median_seed_val_first_mean_threshold_applied_ratio,mean_seed_val_first_mean_threshold_applied_ratio,median_seed_val_second_mean_threshold_applied_ratio,mean_seed_val_second_mean_threshold_applied_ratio,median_seed_val_first_mean_constraint_applied_ratio,mean_seed_val_first_mean_constraint_applied_ratio,median_seed_val_second_mean_constraint_applied_ratio,mean_seed_val_second_mean_constraint_applied_ratio,median_seed_val_first_positive_return_symbols,mean_seed_val_first_positive_return_symbols,median_seed_val_second_positive_return_symbols,mean_seed_val_second_positive_return_symbols,median_seed_min_half_median_return_pct,mean_seed_min_half_median_return_pct,median_seed_max_half_median_return_pct,mean_seed_max_half_median_return_pct,median_seed_half_return_gap_pct,mean_seed_half_return_gap_pct,median_seed_second_minus_first_half_median_return_pct,mean_seed_second_minus_first_half_median_return_pct,param_bandit_type,param_lambda_prior,param_reward_clip,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha,rank_within_algorithm_method
33,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,394.5027033270958,0.5350419130224715,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,0.0595082112419604,8.991060256323124,False,1.0,-1000000.0,"[-6.008939743676876, -0.165889577116623, -324.0, -226.0, 0.0, 0.0, 0.0]",-6.008939743676876,-0.165889577116623,-324.0,-226.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,424.0,1.015889577116623,8.991060256323124,0.5350419130224715,1.5600590128292715,1.5600590128292715,0.0851,5,3142|3143|3144|3145|3146,1.0,1.0,0.5350419130224715,-0.367948569258929,2.232157135694495,-3.521637201372285,2.203924266097945,1.7409045067339868,1.5600590128292715,8.991060256323124,1.015889577116623,424.0,851.0,0.0851,3.0,5.0,5.0,0.9712509987558572,0.7692207118526828,-1.2135751624801627,-1.5102871254882413,3.024032927252487,2.893498768993093,-1.2686426307714616,-1.3119420638614336,4.410103275761868,4.312683070626255,8.543633196471312,8.384930643226287,1.0263191156643334,1.0362269600256195,0.831576480917013,0.8264253055710682,196.0,201.0,218.0,221.0,393.0,403.0,438.0,444.0,0.0785999999999999,0.0806,0.0875999999999999,0.0888,0.4608,0.46428,0.408,0.40848,0.1072,0.10732,0.095,0.0944,0.0566,0.0602,0.0785999999999999,0.08192,3.0,3.0,2.0,1.4,-1.2135751624801627,-1.5102871254882413,0.9712509987558572,0.7692207118526828,2.4906611692778857,2.279507837340924,-2.4906611692778857,-2.279507837340924,discounted_lints,7.150325605431106,0.1,0.9974651631241906,0.0033675174734728,7.150325605431106,0.0025348368758093,0.0033675174734728,,,1
35,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,396.07036549594784,0.4759581359052633,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,0.0524021746826046,9.082793582291194,False,1.0,-1000000.0,"[-5.917206417708806, -0.09357496273750876, -322.0, -228.0, 0.0, 0.0, 0.0]",-5.917206417708806,-0.0935749627375087,-322.0,-228.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,422.0,0.9435749627375088,9.082793582291194,0.4759581359052633,1.6275089088906105,1.6275089088906105,0.0847,5,3142|3143|3144|3145|3146,1.0,1.0,0.4759581359052633,0.1145428346345434,1.9372828302419416,-1.9854852212218832,2.0803061384811583,1.7892388673241877,1.6275089088906105,9.082793582291194,0.9435749627375088,422.0,847.0,0.0847,3.0,5.0,5.0,1.3016190913765158,0.935900152537803,-0.8150520819677043,-1.0193756975700683,2.885748592601083,2.899414988641538,-1.1722848650791806,-1.2524220338609378,4.542353600473548,4.567260041298463,7.24193100580236,7.722142954897632,1.0539426030818493,1.0212882413372424,0.8583646813624186,0.8531929537275982,202.0,198.4,228.0,227.0,405.0,397.8,458.0,456.0,0.0809999999999999,0.0795599999999999,0.0915999999999999,0.0911999999999999,0.4599999999999999,0.46484,0.3992,0.40136,0.1053999999999999,0.1038,0.0968,0.0954,0.0581999999999999,0.05812,0.0874,0.08484,3.0,3.0,1.0,1.2,-0.8150520819677043,-1.0193756975700683,1.3016190913765158,0.935900152537803,1.7022143356853148,1.9552758501078715,-1.7022143356853148,-1.9552758501078715,discounted_lints,6.3051412912991065,0.1,0.9974751961087828,0.0030351377294692,6.3051412912991065,0.0025248038912172,0.0030351377294692,,,2
37,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,386.313334148406,-0.0581596860041999,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0065163317242559,8.925218737362728,False,1.0,-1000000.0,"[-6.074781262637272, -0.12984150193466149, -314.0, -236.0, 0.0, 0.0, 0.0]",-6.074781262637272,-0.1298415019346614,-314.0,-236.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,414.0,0.9798415019346616,8.925218737362728,-0.0581596860041999,1.175036722670716,1.175036722670716,0.0831,5,3142|3143|3144|3145|3146,1.0,1.0,-0.0581596860041999,-0.2670795663081216,1.6831160902585929,-2.76975927553349,1.4457002156506027,1.2260835799985297,1.175036722670716,8.925218737362728,0.9798415019346616,414.0,831.0,0.0831,2.0,5.0,5.0,1.0353258078643623,1.5186991235238343,-1.5404177575462197,-1.3248931023316055,3.0461826805977905,3.02586578168183,-2.067362206462948,-1.828818543572736,5.266284800161625,4.968228750218966,7.796387090469548,7.769942392805808,1.0964163315515076,1.1652325475665326,0.8111351866253987,0.8261161315997061,195.0,194.8,217.0,219.4,391.0,390.6,437.0,441.0,0.0782,0.07812,0.0873999999999999,0.0881999999999999,0.4598,0.45552,0.3929999999999999,0.39532,0.1096,0.11008,0.0945999999999999,0.0956399999999999,0.0552,0.05568,0.079,0.0797199999999999,4.0,3.2,1.0,0.6,-1.5404177575462197,-1.3248931023316055,1.0353258078643623,1.5186991235238343,2.0871777481425657,2.84359222585544,-2.0871777481425657,-2.84359222585544,discounted_lints,9.617741930146304,0.1,0.9974114276893796,0.0035352675352223,9.617741930146304,0.0025885723106204,0.0035352675352223,,,3
27,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,287.6353221081804,-0.256420126538226,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0261141206095812,9.819213534770356,False,1.0,-1000000.0,"[-5.1807864652296445, -0.08335440230323321, -322.0, -228.0, 0.0, 0.0, 0.0]",-5.1807864652296445,-0.0833544023032332,-322.0,-228.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,422.0,0.9333544023032332,9.819213534770356,-0.256420126538226,0.2085950005887039,0.2085950005887039,0.0847,5,3142|3143|3144|3145|3146,1.0,1.0,-0.256420126538226,-0.6335718796953249,1.4579828059960045,-2.6008774165504733,0.7430478867982204,0.2630416798486745,0.2085950005887039,9.819213534770356,0.9333544023032332,422.0,847.0,0.0847,2.0,5.0,5.0,0.7246717404736591,0.747129695807951,-2.5246120951083584,-2.237723640382514,2.732843088665473,2.5086626063659985,-2.2530300997056485,-2.2456516515617757,5.500505375544062,5.595480847247845,8.023070991576475,8.176515280432032,1.0616912220742347,1.0964565128253798,0.7026873191546773,0.7322061137260292,196.0,199.2,227.0,228.2,393.0,399.0,456.0,460.2,0.0786,0.0798,0.0912,0.09204,0.4562,0.4527199999999999,0.3922,0.38872,0.0945999999999999,0.0968,0.0868,0.08588,0.0598,0.06024,0.0876,0.0886,3.0,3.2,1.0,0.8,-2.5246120951083584,-2.237723640382514,0.7246717404736591,0.747129695807951,2.795302848922465,2.984853336190465,-2.795302848922465,-2.984853336190465,discounted_lints,7.942721753149675,0.1,0.9965233755274886,0.0046764018020392,7.942721753149675,0.0034766244725114,0.0046764018020392,,,4
8,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,320.7249967870111,-0.3592899829716778,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0401050095460711,8.958730768008882,False,1.0,-1000000.0,"[-6.041269231991118, -0.10164368848443617, -389.0, -161.0, 0.0, 0.0, 0.0]",-6.041269231991118,-0.1016436884844361,-389.0,-161.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,489.0,0.951643688484436,8.958730768008882,-0.3592899829716778,0.4752597384006711,0.4752597384006711,0.0980999999999999,5,3142|3143|3144|3145|3146,1.0,1.0,-0.3592899829716778,-0.662913840277195,1.0928474491616522,-2.3271035527127726,0.2820335195068635,0.3297000987771923,0.4752597384006711,8.958730768008882,0.951643688484436,489.0,981.0,0.0980999999999999,2.0,5.0,5.0,1.0024383731725095,0.8593499690150175,-1.293856367127855,-1.0990290184396343,1.667062427652668,1.9850351895796452,-1.593161153573408,-1.4837052470735952,5.005011862590292,5.216828750446529,8.453371336095516,8.217331530420992,1.019353771913654,1.0028920245258013,0.892939930097619,0.890337231598355,230.0,236.0,249.0,252.0,461.0,473.0,501.0,506.2,0.0922,0.0945999999999999,0.1002,0.10124,0.4628,0.4622799999999999,0.3888,0.3888,0.0816,0.08368,0.0768,0.07656,0.0818,0.08524,0.1008,0.1034,3.0,2.8,1.0,0.8,-1.293856367127855,-1.0990290184396343,1.0024383731725095,0.8593499690150175,1.922508862798644,1.958378987454652,-1.922508862798644,-1.958378987454652,discounted_lints,0.4491579476345678,0.1,0.996882064042348,0.0039856010958234,0.4491579476345678,0.0031179359576518,0.0039856010958234,,,5
23,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,361.74171553005687,-0.3832923020810952,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.044830820032294,8.549749966763699,False,1.0,-1000000.0,"[-6.450250033236301, -0.05013755206951431, -310.0, -240.0, 0.0, 0.0, 0.0]",-6.450250033236301,-0.0501375520695143,-310.0,-240.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,410.0,0.9001375520695143,8.549749966763699,-0.3832923020810952,1.7432220006809218,1.7432220006809218,0.0824,5,3142|3143|3144|3145|3146,1.0,1.0,-0.3832923020810952,-0.4485001673635436,0.6078816106113747,-1.0607689297595146,0.3260295210199881,1.4868366133084177,1.7432220006809218,8.549749966763699,0.9001375520695143,410.0,824.0,0.0824,2.0,5.0,5.0,1.4344539494109965,1.1945610673685714,-1.3414831423096407,-1.454566048840411,3.214998904948996,3.2427594857686186,-1.686332822498271,-1.465200260305456,4.322973380002971,4.433317929693229,7.717314744224657,7.80951834743963,1.0877862947156254,1.1270156149772328,0.797518240785258,0.8255625667848578,196.0,194.4,219.0,220.0,393.0,389.8,440.0,442.6,0.0785999999999999,0.07796,0.088,0.08852,0.4534000000000001,0.45424,0.398,0.39884,0.1044,0.1026,0.0956,0.0958,0.0546,0.05644,0.082,0.08088,3.0,3.2,0.0,0.6,-1.3414831423096407,-1.454566048840411,1.4344539494109965,1.1945610673685714,3.2352866894611143,2.6491271162089824,-3.2352866894611143,-2.6491271162089824,discounted_lints,8.567027327289763,0.1,0.9972355966783242,0.0031837544410071,8.567027327289763,0.0027644033216758,0.0031837544410071,,,6
26,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,334.15967412089293,-0.5449176265188149,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.058712049269048,9.281189011504765,False,1.0,-1000000.0,"[-5.718810988495235, -0.1004982025645278, -327.0, -223.0, 0.0, 0.0, 0.0]",-5.718810988495235,-0.1004982025645278,-327.0,-223.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,427.0,0.9504982025645278,9.281189011504765,-0.5449176265188149,0.6164049459034614,0.6164049459034614,0.0857,5,3142|3143|3144|3145|3146,1.0,1.0,-0.5449176265188149,-0.3662727429776113,1.2533429763879422,-1.8888281279943355,0.9068039868025624,0.8514527656087312,0.6164049459034614,9.281189011504765,0.9504982025645278,427.0,857.0,0.0857,2.0,5.0,5.0,0.8074751227403976,1.2497235953528874,-2.525392598548415,-2.109171257044096,2.4069386193690034,2.760203360775749,-2.145466650419892,-2.094438401189988,4.716066910411332,4.862641429019503,8.115901932788283,8.121253111841078,1.0526083352318076,1.0739560967761934,0.7289937149313296,0.7832386760784529,198.0,198.0,224.0,224.2,397.0,397.0,450.0,450.8,0.0794,0.0794,0.09,0.09016,0.4474,0.4519999999999999,0.3978,0.39784,0.1,0.1010799999999999,0.0907999999999999,0.08996,0.0568,0.05968,0.0856,0.08376,4.0,3.6,0.0,0.2,-2.525392598548415,-2.109171257044096,0.8074751227403976,1.2497235953528874,3.203029892155551,3.3588948523969835,-3.203029892155551,-3.3588948523969835,discounted_lints,7.625296548737528,0.1,0.9970074186760244,0.0038931336506263,7.625296548737528,0.0029925813239757,0.0038931336506263,,,7
20,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,352.4691924281538,-0.70940130065269,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0738475890829687,9.606289243317988,False,1.0,-1000000.0,"[-5.393710756682012, -0.07188692508070127, -314.0, -236.0, 0.0, 0.0, 0.0]",-5.393710756682012,-0.0718869250807012,-314.0,-236.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,414.0,0.9218869250807012,9.606289243317988,-0.70940130065269,1.0407809324887167,1.0407809324887167,0.0831,5,3142|3143|3144|3145|3146,1.0,1.0,-0.70940130065269,-0.4112495061444532,0.7865208801712882,-0.9896560025458578,0.966320800266418,1.120819180512116,1.0407809324887167,9.606289243317988,0.9218869250807012,414.0,831.0,0.0831,2.0,5.0,5.0,1.0709808061400097,0.7170392455316721,-1.7530354331579678,-1.569108474790335,3.12966603277601,3.078663277377651,-1.939879731178893,-1.967661219974157,4.197901451700803,4.26177682361333,8.024794649666278,8.077096352949068,1.0588447666606238,1.0371168217783808,0.8012374483481967,0.8155351357458229,191.0,191.8,218.0,219.6,382.0,384.6,438.0,441.8,0.0764,0.07692,0.0875999999999999,0.08836,0.4694,0.46432,0.393,0.3958,0.102,0.1019199999999999,0.0928,0.09256,0.0538,0.05448,0.0765999999999999,0.07804,3.0,3.4,0.0,0.4,-1.7530354331579678,-1.569108474790335,1.0709808061400097,0.7170392455316721,2.191645266376696,2.286147720322007,-2.191645266376696,-2.286147720322007,discounted_lints,9.187460703202111,0.1,0.9971628726099124,0.0042322544002564,9.187460703202111,0.0028371273900876,0.0042322544002564,,,8
18,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,378.2913369570984,-0.7265600906911196,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0772015939596202,9.41120582395153,False,1.0,-1000000.0,"[-5.58879417604847, -0.05202626796516163, -356.0, -194.0, 0.0, 0.0, 0.0]",-5.58879417604847,-0.0520262679651616,-356.0,-194.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,456.0,0.9020262679651616,9.41120582395153,-0.7265600906911196,1.1133439811720942,1.1133439811720942,0.0915,5,3142|3143|3144|3145|3146,1.0,1.0,-0.7265600906911196,-0.7968914045494113,0.6688566149672929,-1.8368530840726536,-0.0654643812398547,0.7924883975328312,1.1133439811720942,9.41120582395153,0.9020262679651616,456.0,915.0,0.0915,2.0,5.0,5.0,1.131665968745743,0.6180379761688082,-1.2730942174088211,-1.228830935785894,2.6220499469725933,2.4754498544197645,-1.1172660999712414,-1.3509167827645905,5.056860846497935,5.042810010142394,8.473538586341146,7.967864918994339,1.034628428123501,1.0399107449821756,0.9034232149568876,0.8781607475149507,218.0,219.4,243.0,243.8,437.0,439.8,489.0,490.0,0.0873999999999999,0.08796,0.0978,0.098,0.4668,0.46612,0.398,0.3974399999999999,0.0884,0.08968,0.0832,0.0823199999999999,0.072,0.07336,0.1004,0.09992,3.0,2.8,1.0,1.0,-1.725868295277655,-1.4539857021468627,1.131665968745743,0.8431927425297768,3.1889249469387426,2.29717844467664,-3.1889249469387426,-1.8468689119547024,discounted_lints,1.3760306047843422,0.1,0.997356534759575,0.0043242986647139,1.3760306047843422,0.0026434652404249,0.0043242986647139,,,9
39,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,251.49115761163768,-0.7726223413217825,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0599490148360099,12.88799062729028,False,1.0,-1000000.0,"[-2.1120093727097196, -0.04504611810176862, -461.0, -89.0, 0.0, 0.0, 0.0]",-2.11200937270972,-0.0450461181017686,-461.0,-89.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,561.0,0.8950461181017686,12.88799062729028,-0.7726223413217825,-1.763337021832698,-1.763337021832698,0.1127,5,3142|3143|3144|3145|3146,1.0,1.0,-0.7726223413217825,-1.6250515450067546,1.6539339390165213,-3.7252670674647543,0.1022229955338849,-2.018940174282979,-1.763337021832698,12.88799062729028,0.8950461181017686,561.0,1127.0,0.1127,2.0,5.0,5.0,0.1316589728453721,0.8023132560012458,-3.3253842572553483,-2.5670452399017014,1.7289937450598056,1.7738581254173145,-3.76960943449046,-3.5467603970300354,5.372852734775746,5.444382545575095,10.979422225592906,10.846568404591034,0.925582670921503,1.006314534186042,0.6889814921959762,0.7415911819970993,270.0,272.2,291.0,287.6,541.0,544.8,586.0,578.8,0.1082,0.1089599999999999,0.1172,0.11576,0.477,0.47724,0.3992,0.4005599999999999,0.0738,0.07508,0.0694,0.0688,0.0974,0.09892,0.125,0.12268,3.0,2.6,1.0,0.6,-3.3253842572553483,-2.5670452399017014,0.1316589728453721,0.8023132560012458,3.595684950902556,3.369358495902948,-3.595684950902556,-3.369358495902948,discounted_lints,1.6272746146782682,0.1,0.9960237170582982,0.0159490235196194,1.6272746146782682,0.0039762829417018,0.0159490235196194,,,10
