number,value,params_lambda_prior,params_noise_std,params_one_minus_gamma,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,-1.8587978863452759,1.0,0.03,0.003076923076923077,1.0,1.0,1.0,False,-0.19634811005081343,True,True,False,True,True,True,True,0.0,0.0,-5.533151116839205,0.0,23.0,-573.0,-0.006091282116744479,"[-5.533151116839205, -0.006091282116744479, -573.0, 23.0, 0.0, 0.0, 0.0]",-1.4265758826025887,0.135,9.466848883160795,-1000000.0,15.0,-1.223791176892608,650.0,-1.4265758826025887,-2.2658355086198756,3.0484060987358363,0.22530610500249848,-2.823099993733338,-3.0484060987358363,5.8559526119218805,0.11984000000000002,0.5076,1.7618818183171026,0.07816,0.13264,0.9767666075612891,0.22530610500249848,2.4,663.2,331.4,8.966148228952834,0.13804,0.44231999999999994,-3.1403850589703812,0.0754,0.13592,0.707448566375199,-2.823099993733338,0.0,679.6,338.4,5.0,5.0,9.466848883160795,0.135,-0.8404924911918089,-1.8587978863452759,1.0,0.8560912821167445,4.046267304861651,-0.07609088152930044,-2.7317388518306673,-4.046267304861651,5.839420532840645,0.1206,0.5048,1.4089332448022198,0.0774,0.1316,0.9284114258334238,-0.07609088152930044,2.0,658.0,329.0,8.721486065754691,0.139,0.4436,-3.4852639469065516,0.0762,0.1366,0.7157273713229767,-2.7317388518306673,0.0,683.0,340.0,1350.0,673.0,325.0,324.9999999999988,0.85,-3.7312664125582984,100.0,5,median_of_seed_median_return_pct,-1.8587978863452759,1.0,1.0,-1.4265758826025887,9.466848883160795,-1.8587978863452759,0.8560912821167445,673.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.1533053755860725,False,COMPLETE
1,-0.8995699331185381,2.6583217675071293,0.024053363624212343,0.0029684731211750454,1.0,1.0,1.0,False,-0.0878489365751159,True,True,True,True,True,True,True,0.0,0.0,-4.760036169028023,0.0,-23.0,-527.0,-0.06731948542234911,"[-4.760036169028023, -0.06731948542234911, -527.0, -23.0, 0.0, 0.0, 0.0]",-0.09476973551775676,0.1258,10.239963830971977,-1000000.0,15.0,0.35910887760837173,650.0,-0.09476973551775676,-0.9002992991224691,2.5622041813151353,0.3799808421395978,-2.1822233391755375,-2.5622041813151353,5.452997371862547,0.10451999999999999,0.49260000000000004,2.1269308140924528,0.08476000000000002,0.12171999999999998,0.9900657015629977,0.3799808421395978,3.0,608.6,304.2,8.64928945342273,0.12076,0.42763999999999996,-2.14936000260514,0.08264,0.125,0.7639847727501751,-2.1822233391755375,1.0,625.0,311.0,5.0,5.0,10.239963830971977,0.1258,0.2256231636069561,-0.8995699331185381,2.0,0.9173194854223491,2.361018871286036,0.39955481010438554,-2.1049724265215897,-2.361018871286036,5.453088408274853,0.1082,0.49160000000000004,2.213636771499252,0.08680000000000002,0.1232,0.9988784915965243,0.39955481010438554,3.0,616.0,308.0,8.491289491604748,0.119,0.42679999999999996,-2.0328322436729085,0.0826,0.127,0.7623766775461572,-2.1049724265215897,1.0,635.0,316.0,1258.0,627.0,336.8735235858084,336.87352358580256,0.85,-2.0971606156886202,100.0,5,median_of_seed_median_return_pct,-0.8995699331185381,1.0,1.0,-0.09476973551775676,10.239963830971977,-0.8995699331185381,0.9173194854223491,627.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.8736446468104297,True,COMPLETE
2,-1.1310760124910613,0.45417725253359703,0.0138940336513385,0.003004412480246536,1.0,1.0,1.0,False,-0.10867296959238724,True,True,True,True,True,True,True,0.0,0.0,-4.591928731371528,0.0,-115.0,-435.0,-0.04458773416271433,"[-4.591928731371528, -0.04458773416271433, -435.0, -115.0, 0.0, 0.0, 0.0]",-0.1816056842624523,0.10740000000000001,10.408071268628472,-1000000.0,15.0,0.16676857945250312,650.0,-0.1816056842624523,-0.9638262784393238,2.75937640289317,0.03269815425424483,-2.7266782486389247,-2.75937640289317,5.39946024653202,0.09235999999999998,0.47416,2.185369030959086,0.08504,0.10424,0.9379966428510278,0.03269815425424483,2.6,521.2,260.2,8.472851108878862,0.11203999999999999,0.39776,-2.331006715576565,0.07568,0.10948,0.7547258916195665,-2.7266782486389247,1.2,547.4,272.2,5.0,5.0,10.408071268628472,0.10740000000000001,-0.3330652773662891,-1.1310760124910613,2.0,0.8945877341627143,2.199719313762838,-0.018324666259583733,-2.4255623532076,-2.199719313762838,5.510709779076583,0.09239999999999998,0.47479999999999994,2.2586694460259182,0.0856,0.1034,0.9364820557529884,-0.018324666259583733,2.0,517.0,258.0,8.543514800126161,0.1172,0.4006,-2.6205735062173074,0.0736,0.1116,0.7676148130228344,-2.4255623532076,1.0,558.0,278.0,1074.0,535.0,332.8437778017558,332.8437778017574,0.85,-1.6121804299295883,100.0,5,median_of_seed_median_return_pct,-1.1310760124910613,1.0,1.0,-0.1816056842624523,10.408071268628472,-1.1310760124910613,0.8945877341627143,535.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.7510357661049047,True,COMPLETE
3,-3.3263063365936874,0.4103210507454176,0.028224331063458036,0.0036919324365728744,1.0,1.0,1.0,False,-0.2944347129242802,True,True,False,True,False,True,True,0.0,0.0,-3.7027371753917,0.0,27.0,-577.0,0.045787582576317654,"[-3.7027371753917, 0.045787582576317654, -577.0, 27.0, 0.0, 0.0, 0.0]",-1.63325987071237,0.1356,11.2972628246083,-1000000.0,15.0,-2.3660996691900804,650.0,-1.63325987071237,-3.360144803456065,2.498831272141242,-0.03851039830016001,-2.537341670441402,-2.498831272141242,5.5758389554127294,0.12231999999999998,0.5050800000000001,1.6777008000897293,0.0726,0.13284,0.965427980363423,-0.03851039830016001,2.2,664.2,331.6,9.958312741964999,0.14452000000000004,0.44064000000000003,-3.2725656689285834,0.06767999999999999,0.14076,0.7080413204383644,-2.537341670441402,0.2,703.8,350.8,5.0,5.0,11.2972628246083,0.1356,-2.2916946243399905,-3.3263063365936874,1.0,0.8042124174236823,2.743142854001057,-0.2764165762629611,-2.0161300987373454,-2.743142854001057,4.976694417565264,0.12079999999999999,0.5054000000000001,1.5433145555589833,0.07339999999999999,0.1326,0.9314234072284202,-0.2764165762629611,2.0,663.0,330.0,10.366108658586404,0.14379999999999998,0.4406,-3.011391860613024,0.06899999999999999,0.14,0.7549847412324986,-2.0161300987373454,0.0,700.0,349.0,1356.0,677.0,270.8608613998024,270.8608613998047,0.85,-4.440885783266935,100.0,5,median_of_seed_median_return_pct,-3.3263063365936874,1.0,1.0,-1.63325987071237,11.2972628246083,-3.3263063365936874,0.8042124174236823,677.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.7347838657776743,False,COMPLETE
4,-1.2391461344254395,0.3321001532090087,0.005843060126585927,0.003032736531897853,1.0,1.0,1.0,False,-0.1386477326599118,True,True,True,True,True,True,True,0.0,0.0,-6.062629653923487,0.0,-170.0,-380.0,-0.022417533556290392,"[-6.062629653923487, -0.022417533556290392, -380.0, -170.0, 0.0, 0.0, 0.0]",0.5886910356663216,0.09630000000000001,8.937370346076513,-1000000.0,15.0,0.1556749708299554,650.0,0.5886910356663216,-1.0946870377517492,2.5663569841230482,0.795832584163183,-1.770524399959865,-2.5663569841230482,4.842443534141203,0.07876000000000001,0.46440000000000003,2.319190327558291,0.08696,0.09244000000000001,1.0157958804808822,0.795832584163183,2.8,462.2,230.6,8.108372846982547,0.10167999999999999,0.38652,-1.7251804310708567,0.07856,0.10107999999999999,0.812507734714754,-1.770524399959865,1.2,505.4,251.4,5.0,5.0,8.937370346076513,0.09630000000000001,0.4851778220145043,-1.2391461344254395,2.0,0.8724175335562904,1.777633863119188,0.436850679210643,-1.4707208129488891,-1.777633863119188,5.014426909794234,0.079,0.4622,2.2614162925344727,0.0878,0.0918,0.9737801541857144,0.436850679210643,3.0,459.0,229.0,8.238275903435566,0.1034,0.3878,-1.790259350274741,0.0782,0.1008,0.8431658979746006,-1.4707208129488891,1.0,504.0,251.0,963.0,480.0,329.7352043219564,329.7352043219579,0.85,-1.9254935690119601,100.0,5,median_of_seed_median_return_pct,-1.2391461344254395,1.0,1.0,0.5886910356663216,8.937370346076513,-1.2391461344254395,0.8724175335562904,480.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.7937717382134974,True,COMPLETE
5,-1.3602720867138651,0.8546236929367872,0.005157341668169063,0.002970363989908554,1.0,1.0,1.0,False,-0.13783747604080432,True,True,True,True,True,True,True,0.0,0.0,-5.13133346760368,0.0,-172.0,-378.0,-0.01912551864993639,"[-5.13133346760368, -0.01912551864993639, -378.0, -172.0, 0.0, 0.0, 0.0]",-0.03640178814714136,0.0959,9.86866653239632,-1000000.0,15.0,0.10391204389648134,650.0,-0.03640178814714136,-1.5179488110324881,2.3242608367262396,0.18000636209393184,-2.144254474632308,-2.3242608367262396,5.005320321722948,0.08036,0.4654,2.197702673217998,0.08696,0.09272,0.9483501626523505,0.18000636209393184,3.0,463.6,231.2,8.059337254236931,0.1022,0.38676,-2.159245663265664,0.08216000000000001,0.1012,0.771209806552231,-2.144254474632308,1.0,506.0,252.0,5.0,5.0,9.86866653239632,0.0959,-0.2856668962815288,-1.3602720867138651,2.0,0.8691255186499364,2.2351618465846435,0.5704382756212212,-1.5316238952834182,-2.2351618465846435,4.59658926750558,0.08159999999999999,0.4622,2.5533213264566657,0.0868,0.09419999999999999,0.9838585075738179,0.5704382756212212,3.0,471.0,235.0,7.813270821273699,0.1006,0.39039999999999997,-1.8173461612594632,0.0806,0.10300000000000001,0.7993870993156481,-1.5316238952834182,1.0,515.0,257.0,959.0,478.0,336.6590772704547,336.65907727045226,0.85,-3.278874192045067,100.0,5,median_of_seed_median_return_pct,-1.3602720867138651,1.0,1.0,-0.03640178814714136,9.86866653239632,-1.3602720867138651,0.8691255186499364,478.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.5184993932450677,True,COMPLETE
6,-2.663137484286082,3.136282118621863,0.005426838628174849,0.0032830103301893197,1.0,1.0,1.0,False,-0.234132706401855,True,True,True,True,False,True,True,0.0,0.0,-3.625521289985043,0.0,-188.0,-362.0,0.043852327599710916,"[-3.625521289985043, 0.043852327599710916, -362.0, -188.0, 0.0, 0.0, 0.0]",-0.3960522789768359,0.0927,11.374478710014957,-1000000.0,15.0,-1.6253489675706168,650.0,-0.3960522789768359,-2.390277018611855,2.074633911376311,-0.23325786626592793,-2.307891777642239,-2.074633911376311,5.215495948239889,0.07088000000000001,0.46068,2.1577776536916766,0.08592,0.08715999999999999,0.8859399675506049,-0.23325786626592793,2.2,435.8,217.2,8.835858402766874,0.09864000000000002,0.38811999999999997,-2.517373827556379,0.0816,0.09912000000000001,0.7471131186393748,-2.307891777642239,0.4,495.6,246.8,5.0,5.0,11.374478710014957,0.0927,-0.5230646021884742,-2.663137484286082,2.0,0.8061476724002891,1.536567704993408,-0.31257972285221314,-2.0041004860391287,-1.536567704993408,5.2298355179838385,0.0688,0.4584,2.3905677593257457,0.08819999999999999,0.0878,0.8580767573003458,-0.31257972285221314,2.0,439.0,219.0,8.656470752480383,0.0988,0.3898,-2.7982109924994547,0.0826,0.099,0.7223910478516281,-2.0041004860391287,0.0,495.0,246.0,927.0,462.0,304.598493280505,304.5984932805072,0.85,-2.876448963117284,100.0,5,median_of_seed_median_return_pct,-2.663137484286082,1.0,1.0,-0.3960522789768359,11.374478710014957,-2.663137484286082,0.8061476724002891,462.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.5591584489565247,False,COMPLETE
7,-2.387613929238297,0.3999384989689106,0.0038594701586030697,0.0027551351726875332,1.0,1.0,1.0,False,-0.2669564689301993,True,True,True,True,True,True,True,0.0,0.0,-6.056167551187595,0.0,-180.0,-370.0,-0.0013789869870272087,"[-6.056167551187595, -0.0013789869870272087, -370.0, -180.0, 0.0, 0.0, 0.0]",0.43669710178949284,0.0944,8.943832448812405,-1000000.0,15.0,0.5469444807652657,650.0,0.43669710178949284,-1.5035769008100908,1.077234891104386,-0.5342734103656821,-1.6115083014700684,-1.077234891104386,5.58731895019187,0.08096,0.471,2.1060142552320777,0.08692,0.0906,0.8746245327378347,-0.5342734103656821,2.2,453.0,226.0,8.354974850480923,0.0982,0.39408000000000004,-1.6450439971801245,0.08452000000000001,0.09896,0.8235621587934607,-1.6115083014700684,1.0,494.8,246.2,5.0,5.0,8.943832448812405,0.0944,0.5212283240656056,-2.387613929238297,2.0,0.8513789869870272,1.0913217107131445,-0.796259282822176,-1.8957498478755164,-1.0913217107131445,5.705062289758733,0.07999999999999999,0.47300000000000003,2.1276421575884363,0.08779999999999999,0.0898,0.8435250931133974,-0.796259282822176,2.0,449.0,224.0,8.00283338694161,0.099,0.3942,-1.5743174049991682,0.08360000000000001,0.0988,0.7981227813889529,-1.8957498478755164,1.0,494.0,246.0,944.0,470.0,362.95859815274935,362.958598152747,0.85,-2.8346192615559485,100.0,5,median_of_seed_median_return_pct,-2.387613929238297,1.0,1.0,0.43669710178949284,8.943832448812405,-2.387613929238297,0.8513789869870272,470.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.584584018399248,True,COMPLETE
8,-0.3592899829716778,0.4491579476345678,0.003985601095823479,0.003117935957651857,1.0,1.0,1.0,False,-0.04010500954607118,True,True,True,True,True,True,True,0.0,0.0,-6.041269231991118,0.0,-161.0,-389.0,-0.10164368848443617,"[-6.041269231991118, -0.10164368848443617, -389.0, -161.0, 0.0, 0.0, 0.0]",0.47525973840067115,0.09809999999999999,8.958730768008882,-1000000.0,15.0,0.2820335195068635,650.0,0.47525973840067115,-0.662913840277195,1.9583789874546522,0.8593499690150175,-1.0990290184396343,-1.9583789874546522,5.216828750446529,0.08524000000000001,0.46227999999999997,1.9850351895796454,0.08368,0.09459999999999999,1.0028920245258013,0.8593499690150175,2.8,473.0,236.0,8.217331530420992,0.1034,0.3888,-1.4837052470735952,0.07656,0.10124,0.890337231598355,-1.0990290184396343,0.8,506.2,252.0,5.0,5.0,8.958730768008882,0.09809999999999999,0.32970009877719236,-0.3592899829716778,2.0,0.9516436884844361,1.9225088627986442,1.0024383731725095,-1.2938563671278547,-1.9225088627986442,5.005011862590292,0.0818,0.4628,1.667062427652668,0.0816,0.0922,1.019353771913654,1.0024383731725095,3.0,461.0,230.0,8.453371336095516,0.1008,0.3888,-1.593161153573408,0.07680000000000001,0.1002,0.892939930097619,-1.2938563671278547,1.0,501.0,249.0,981.0,489.0,320.72499678701166,320.7249967870111,0.85,-2.3271035527127726,100.0,5,median_of_seed_median_return_pct,-0.3592899829716778,1.0,1.0,0.47525973840067115,8.958730768008882,-0.3592899829716778,0.9516436884844361,489.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.0928474491616522,True,COMPLETE
9,-1.6307050128292921,1.3291529720524704,0.03478395209918766,0.0032024966776234036,1.0,1.0,1.0,False,-0.16837474236647074,True,True,False,True,True,True,True,0.0,0.0,-5.315025936134575,0.0,84.0,-634.0,-0.057120152461466844,"[-5.315025936134575, -0.057120152461466844, -634.0, 84.0, 0.0, 0.0, 0.0]",-1.806316422974166,0.1473,9.684974063865425,-1000000.0,15.0,-0.7695646538306455,650.0,-1.806316422974166,-2.53973159174822,3.392151961608922,0.05015074170894973,-3.3420012198999727,-3.392151961608922,5.246107460018343,0.12775999999999998,0.52616,1.5843313445244565,0.07576000000000001,0.14340000000000003,0.9638383434132625,0.05015074170894973,2.6,717.0,358.0,8.51506739065233,0.15184000000000003,0.46319999999999995,-3.3292213505758257,0.07168,0.15,0.7167497716466876,-3.3420012198999727,0.4,750.0,373.6,5.0,5.0,9.684974063865425,0.1473,-1.7554043563332988,-1.6307050128292921,1.0,0.9071201524614668,3.6836106839262195,-0.001450706441086247,-3.5498783977424564,-3.6836106839262195,5.3583788756453865,0.1306,0.5248,1.6215849943699374,0.078,0.14140000000000003,0.977881661132954,-0.001450706441086247,2.0,707.0,353.0,8.517989809991766,0.1544,0.4646,-3.0784558186947275,0.0718,0.1494,0.7246423181580985,-3.5498783977424564,0.0,747.0,372.0,1473.0,734.0,312.2563739057826,312.2563739057828,0.85,-6.786987198416283,100.0,5,median_of_seed_median_return_pct,-1.6307050128292921,1.0,1.0,-1.806316422974166,9.684974063865425,-1.6307050128292921,0.9071201524614668,734.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,2.500266885581972,False,COMPLETE
