number,value,params_lambda_prior,params_noise_std,params_one_minus_gamma,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,-1.3033467922933917,1.0,0.03,0.003076923076923077,1.0,1.0,1.0,False,-0.10277927787499802,True,True,True,True,True,True,True,0.0,0.0,-2.3189730533177606,0.0,-3.0,-547.0,-0.033443622318920174,"[-2.3189730533177606, -0.033443622318920174, -547.0, -3.0, 0.0, 0.0, 0.0]",0.29568808121382134,0.12990000000000002,12.68102694668224,-1000000.0,15.0,3.4858336802559897,650.0,0.29568808121382134,-1.1819374381303827,4.781545708784383,1.200726699553436,-3.5808190092309466,-4.781545708784383,6.580497827883718,0.09824000000000001,0.5154799999999999,4.048602327088846,0.0808,0.12444,1.1179703204100564,1.200726699553436,2.8,622.2,309.8,10.483928293167915,0.12395999999999999,0.48676,-3.701970205926726,0.06899999999999999,0.13363999999999998,0.6718592711772027,-3.5808190092309466,0.6,668.2,333.0,5.0,5.0,12.68102694668224,0.12990000000000002,0.08010229766689463,-1.3033467922933917,2.0,0.8834436223189202,4.847773667822553,1.0532580885610043,-3.794515579261548,-4.847773667822553,6.476693329449468,0.10300000000000001,0.5115999999999999,3.791576087555266,0.0802,0.1266,1.0291164427471209,1.0532580885610043,3.0,633.0,315.0,10.04987135381008,0.1266,0.4888,-4.0883328526987555,0.06939999999999999,0.1348,0.6806277315865505,-3.794515579261548,0.0,674.0,336.0,1299.0,647.0,325.0,324.9999999999988,0.85,-3.6891779649689926,100.0,5,median_of_seed_median_return_pct,-1.3033467922933917,1.0,1.0,0.29568808121382134,12.68102694668224,-1.3033467922933917,0.8834436223189202,647.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,2.834077493621099,True,COMPLETE
1,-0.27543412130232037,8.179425347547976,0.00842181566949099,0.0039001116889341623,1.0,1.0,1.0,False,-0.025826977386928237,True,True,True,True,True,True,True,0.0,0.0,-4.335410134299131,0.0,-173.0,-377.0,-0.11379502847562173,"[-4.335410134299131, -0.11379502847562173, -377.0, -173.0, 0.0, 0.0, 0.0]",1.375298961540797,0.09590000000000001,10.664589865700869,-1000000.0,15.0,0.27580146508381365,650.0,1.375298961540797,-0.16345382975807343,2.9412377736772832,0.535735814597702,-2.405501959079581,-2.9412377736772832,4.583964196085411,0.05408,0.48592,4.3543994111688145,0.10347999999999999,0.08708,0.9595652917792943,0.535735814597702,3.2,435.4,216.2,8.974752309933061,0.09079999999999999,0.44223999999999997,-2.924581967128909,0.08764000000000001,0.10379999999999998,0.7877219914722768,-2.405501959079581,1.0,519.0,258.6,5.0,5.0,10.664589865700869,0.09590000000000001,0.9112203726417345,-0.27543412130232037,2.0,0.9637950284756217,2.344560276837848,0.16117497803429526,-2.440516340017851,-2.344560276837848,4.452137450725213,0.054000000000000006,0.4862,3.6330002771165804,0.10600000000000001,0.0862,0.9238440019018346,0.16117497803429526,3.0,431.0,214.0,9.62856798234828,0.0918,0.4438,-2.976292040663499,0.08800000000000001,0.1056,0.7760674643524194,-2.440516340017851,1.0,528.0,263.0,959.0,477.0,256.4029134953527,256.4029134953558,0.85,-0.6025322306511205,100.0,5,median_of_seed_median_return_pct,-0.27543412130232037,1.0,1.0,1.375298961540797,10.664589865700869,-0.27543412130232037,0.9637950284756217,477.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.3779663095607317,True,COMPLETE
2,-0.1365129992225711,0.528121690350411,0.005449671235716982,0.002742683930616926,1.0,1.0,1.0,False,-0.011709103428285761,True,True,True,True,True,True,True,0.0,0.0,-3.341293587620406,0.0,-200.0,-350.0,-0.11314374466483934,"[-3.341293587620406, -0.11314374466483934, -350.0, -200.0, 0.0, 0.0, 0.0]",2.617774396340285,0.0904,11.658706412379594,-1000000.0,15.0,1.153323833973352,650.0,2.617774396340285,-0.22713086860796539,2.8387832097005594,1.073480647761893,-1.7653025619386664,-2.8387832097005594,8.132442845212974,0.057440000000000005,0.46432,5.242066678559963,0.08684,0.0774,1.0441651311693858,1.073480647761893,3.4,387.0,192.2,10.008280537016896,0.10756000000000002,0.43796,-2.6202044507829294,0.07736000000000001,0.10544,0.75836290543091,-1.7653025619386664,1.0,527.2,262.6,5.0,5.0,11.658706412379594,0.0904,2.6788274815391406,-0.1365129992225711,2.0,0.9631437446648393,2.8005035933004963,1.3028937419309994,-1.4435208875889782,-2.8005035933004963,7.754342615912336,0.05800000000000001,0.46740000000000004,5.335083627893646,0.08539999999999999,0.0774,1.0052295187826685,1.3028937419309994,3.0,387.0,192.0,9.981724590301411,0.1106,0.43260000000000004,-2.4217116594758092,0.07680000000000001,0.1046,0.7603281824034384,-1.4435208875889782,1.0,523.0,261.0,904.0,450.0,364.6063583327536,364.60635833275165,0.85,-2.315257942615334,100.0,5,median_of_seed_median_return_pct,-0.1365129992225711,1.0,1.0,2.617774396340285,11.658706412379594,-0.1365129992225711,0.9631437446648393,450.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.3192703193726345,True,COMPLETE
3,1.0962693296880044,1.6064890102402942,0.020956020497478783,0.002508547350115527,1.0,1.0,1.0,False,0.09681567972647706,True,True,True,True,True,True,True,0.0,0.0,-3.676737768250181,0.0,-98.0,-452.0,-0.21726757768969363,"[-3.676737768250181, -0.21726757768969363, -452.0, -98.0, 0.0, 0.0, 0.0]",3.13660090816895,0.11070000000000002,11.323262231749819,-1000000.0,15.0,1.8877454872818777,650.0,3.13660090816895,0.9527498711005112,4.026938311084465,1.8431392562610682,-2.183799054823397,-4.026938311084465,7.669659020369605,0.07408000000000001,0.49987999999999994,5.794392534296554,0.09248,0.10072,1.254775145964349,1.8431392562610682,3.6,503.6,250.8,8.543521967281498,0.11412,0.45936000000000005,-2.5547359745338403,0.0788,0.12012,0.8028893511214141,-2.183799054823397,0.4,600.6,299.2,5.0,5.0,11.323262231749819,0.11070000000000002,3.4353720137481973,1.0962693296880044,3.0,1.0672675776896936,3.681025274526173,1.496953808694279,-1.7582640486776158,-3.681025274526173,7.914074444986086,0.0728,0.4946,5.80135348103513,0.0954,0.1032,1.2368092037145844,1.496953808694279,4.0,516.0,257.0,9.269910263502334,0.11640000000000002,0.4488,-2.385541390481496,0.07719999999999999,0.1206,0.8051695835412356,-1.7582640486776158,0.0,603.0,300.0,1107.0,552.0,398.63708371059715,398.6370837105983,0.85,-0.20402886242120166,100.0,5,median_of_seed_median_return_pct,1.0962693296880044,1.0,1.0,3.13660090816895,11.323262231749819,1.0962693296880044,1.0672675776896936,552.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.9130316031064505,True,COMPLETE
4,-0.14288866517268017,0.7828656598108041,0.007405089700532431,0.0037840173948977185,1.0,1.0,1.0,False,-0.010723742865592061,True,True,True,True,True,True,True,0.0,0.0,-1.675485699013798,0.0,-146.0,-404.0,-0.14262745206260752,"[-1.675485699013798, -0.14262745206260752, -404.0, -146.0, 0.0, 0.0, 0.0]",0.5202412292173776,0.10129999999999999,13.324514300986202,-1000000.0,15.0,0.8024542226453324,650.0,0.5202412292173776,-0.054093598673541354,3.4266536865831183,1.0761652976779645,-2.350488388905154,-3.4266536865831183,5.71409923061,0.07260000000000001,0.43323999999999996,3.6980286129445252,0.08088,0.08780000000000002,1.1273326448903185,1.0761652976779645,3.2,439.0,218.2,10.076659875147639,0.12456,0.43624,-3.1987116588425057,0.06824000000000001,0.11424000000000001,0.7373926038508014,-2.350488388905154,1.2,571.2,284.4,5.0,5.0,13.324514300986202,0.10129999999999999,0.3436431212390481,-0.14288866517268017,2.0,0.9926274520626075,2.787435252351045,1.1021186537242933,-1.7959141335718631,-2.787435252351045,5.557016486477284,0.0758,0.4314,3.54976250038904,0.0808,0.0888,1.1598023720469437,1.1021186537242933,3.0,444.0,221.0,10.209943841546853,0.126,0.4396,-2.8038539202352664,0.06820000000000001,0.11380000000000001,0.7526494366244295,-1.7959141335718631,1.0,569.0,283.0,1013.0,504.0,264.26939827189403,264.26939827189153,0.85,-0.6647575095658498,100.0,5,median_of_seed_median_return_pct,-0.14288866517268017,1.0,1.0,0.5202412292173776,13.324514300986202,-0.14288866517268017,0.9926274520626075,504.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.5309638835455196,True,COMPLETE
5,-0.9328206735559896,0.9776387732603049,0.004685232602259073,0.0033166946616180687,1.0,1.0,1.0,False,-0.08555529892944515,True,True,True,True,True,True,True,0.0,0.0,-4.096868513950744,0.0,-170.0,-380.0,-0.0563922774152954,"[-4.096868513950744, -0.0563922774152954, -380.0, -170.0, 0.0, 0.0, 0.0]",1.6071742641237172,0.09649999999999999,10.903131486049256,-1000000.0,15.0,1.9838805199666298,650.0,1.6071742641237172,-0.1832737840494536,3.378369010546885,1.4879873868062532,-1.8903816237406315,-3.378369010546885,6.426623445205597,0.0612,0.44748,4.133994498356509,0.09008,0.0806,1.206774174122485,1.4879873868062532,3.0,403.0,200.0,8.844147063503948,0.11392,0.44492000000000004,-2.523804780960554,0.0754,0.10984000000000001,0.7402718918788744,-1.8903816237406315,0.6,549.2,273.6,5.0,5.0,10.903131486049256,0.09649999999999999,1.319127764149186,-0.9328206735559896,2.0,0.9063922774152954,3.0780372509920606,1.572675096445253,-1.9296903214769956,-3.0780372509920606,6.173997601330483,0.0612,0.44399999999999995,3.7738376440217714,0.08919999999999999,0.08180000000000001,1.2278073241863716,1.572675096445253,3.0,409.0,203.0,8.874102787590743,0.1142,0.4474,-2.360534656461799,0.0744,0.11120000000000001,0.7719235109174831,-1.9296903214769956,1.0,556.0,277.0,965.0,480.0,301.50499277860695,301.5049927786039,0.85,-1.6080126653198357,100.0,5,median_of_seed_median_return_pct,-0.9328206735559896,1.0,1.0,1.6071742641237172,10.903131486049256,-0.9328206735559896,0.9063922774152954,480.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.5048684954356817,True,COMPLETE
6,0.06718765141984218,0.4099167085397802,0.028981669009909384,0.0025925518353202004,1.0,1.0,1.0,False,0.006440525904729909,True,True,True,True,True,True,True,0.0,0.0,-4.567986774108043,0.0,-18.0,-532.0,-0.12578698342504635,"[-4.567986774108043, -0.12578698342504635, -532.0, -18.0, 0.0, 0.0, 0.0]",2.7541196806567285,0.12689999999999999,10.432013225891957,-1000000.0,15.0,1.1576979175432545,650.0,2.7541196806567285,0.2526303153652143,5.594887797705106,2.576144900121675,-3.018742897583431,-5.594887797705106,7.30588349872298,0.09292,0.51328,5.752570439890088,0.08236000000000002,0.11835999999999999,1.229229965916617,2.576144900121675,3.2,591.8,294.4,8.896639283449963,0.12448000000000001,0.48451999999999995,-2.936989208725516,0.07316,0.13188,0.7447505767972535,-3.018742897583431,0.8,659.4,329.2,5.0,5.0,10.432013225891957,0.12689999999999999,3.2434742975972375,0.06718765141984218,3.0,0.9757869834250463,5.099253792436265,1.8859177739530164,-2.898062291136505,-5.099253792436265,7.762823504664807,0.09280000000000001,0.518,6.652193236921849,0.08299999999999999,0.11939999999999999,1.2040745317269215,1.8859177739530164,3.0,597.0,297.0,8.891465983719748,0.123,0.4854,-3.249015588769832,0.0732,0.1336,0.7527750899797803,-2.898062291136505,1.0,668.0,334.0,1269.0,632.0,385.720349493607,385.72034949359875,0.85,-0.6108754316868859,100.0,5,median_of_seed_median_return_pct,0.06718765141984218,1.0,1.0,2.7541196806567285,10.432013225891957,0.06718765141984218,0.9757869834250463,632.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.6989275066001437,True,COMPLETE
7,-2.4312229478124836,6.7077952894132675,0.03729763244738083,0.0038339286676274693,1.0,1.0,1.0,False,-0.20916230561000618,True,True,False,True,False,True,True,0.0,0.0,-3.3763810084135173,0.0,73.0,-623.0,0.018317220210016028,"[-3.3763810084135173, 0.018317220210016028, -623.0, 73.0, 0.0, 0.0, 0.0]",0.21699086780203364,0.145,11.623618991586483,-1000000.0,15.0,-0.19970930885691018,650.0,0.21699086780203364,-2.5793728101971913,5.5964687941860705,0.9881275888086982,-4.608341205377373,-5.5964687941860705,5.661401235897588,0.11007999999999998,0.5578,4.359753473604097,0.08080000000000001,0.14404,1.0711473513897771,0.9881275888086982,2.8,720.2,358.8,9.999913597174235,0.1336,0.49416000000000004,-4.042346663586885,0.07552,0.15023999999999998,0.630698470366495,-4.608341205377373,0.8,751.2,374.8,5.0,5.0,11.623618991586483,0.145,0.030809105142537162,-2.4312229478124836,2.0,0.831682779789984,6.05147116752911,0.7779898321036871,-5.273481335425423,-6.05147116752911,5.68928686605763,0.10999999999999999,0.5576000000000001,4.25395102164932,0.08020000000000001,0.14299999999999996,1.0714160683688072,0.7779898321036871,3.0,715.0,356.0,9.45481283957459,0.13140000000000002,0.49140000000000006,-4.11464966020217,0.0764,0.14999999999999997,0.6338232089896881,-5.273481335425423,1.0,750.0,375.0,1450.0,723.0,260.8290572653833,260.82905726538536,0.85,-4.564461173219736,100.0,5,median_of_seed_median_return_pct,-2.4312229478124836,1.0,1.0,0.21699086780203364,11.623618991586483,-2.4312229478124836,0.831682779789984,723.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.8219643824800416,False,COMPLETE
8,0.5831973310666649,0.346135010168059,0.028013236535592304,0.0029976285788426635,1.0,1.0,1.0,False,0.05526746044906438,True,True,True,True,True,True,True,0.0,0.0,-4.447726992917442,0.0,-8.0,-542.0,-0.13091995660325184,"[-4.447726992917442, -0.13091995660325184, -542.0, -8.0, 0.0, 0.0, 0.0]",1.8164589376720142,0.12869999999999998,10.552273007082558,-1000000.0,15.0,0.9425687343549205,650.0,1.8164589376720142,0.460385451558758,3.8467732995288024,1.8019642462270056,-2.0448090533017966,-3.8467732995288024,6.812025429158828,0.10128,0.50188,4.460074853021784,0.07904,0.12204,1.1619600493877622,1.8019642462270056,3.2,610.2,303.8,8.83801137337652,0.13380000000000003,0.47388,-2.6849889990889197,0.07236,0.13496,0.8109175591181556,-2.0448090533017966,0.8,674.8,336.8,5.0,5.0,10.552273007082558,0.12869999999999998,1.924110754026303,0.5831973310666649,3.0,0.9809199566032518,4.354719003928597,2.2048149788212124,-2.0544490772007262,-4.354719003928597,5.553009430859968,0.09899999999999999,0.5045999999999999,4.159670878032255,0.0802,0.122,1.166293229792997,2.2048149788212124,3.0,610.0,304.0,9.005513680091127,0.1298,0.4744,-3.0468168295438502,0.07239999999999999,0.13399999999999998,0.8245062146289794,-2.0544490772007262,1.0,670.0,334.0,1287.0,642.0,333.59703302071,333.5970330207092,0.85,-0.020169360741406628,100.0,5,median_of_seed_median_return_pct,0.5831973310666649,1.0,1.0,1.8164589376720142,10.552273007082558,0.5831973310666649,0.9809199566032518,642.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.39769862877128787,True,COMPLETE
9,0.2633116419943127,0.35951065395153403,0.027516586951459053,0.002696783553081242,1.0,1.0,1.0,False,0.024770380814630774,True,True,True,True,True,True,True,0.0,0.0,-4.369899317866519,0.0,-33.0,-517.0,-0.10663563122165376,"[-4.369899317866519, -0.10663563122165376, -517.0, -33.0, 0.0, 0.0, 0.0]",1.8419964825548045,0.12390000000000001,10.630100682133481,-1000000.0,15.0,2.819671219698039,650.0,1.8419964825548045,0.7242340117957169,3.6210387387038367,1.6128702389964555,-2.008168499707381,-3.6210387387038367,8.091296105169077,0.09831999999999999,0.49092,4.6315791208245685,0.08131999999999999,0.11735999999999999,1.1574969454758235,1.6128702389964555,2.8,586.8,292.2,8.62511766689778,0.12120000000000002,0.46596000000000004,-2.7465747428348997,0.071,0.1286,0.7655712040718936,-2.008168499707381,0.6,643.0,320.6,5.0,5.0,10.630100682133481,0.12390000000000001,1.653056357197484,0.2633116419943127,3.0,0.9566356312216537,3.6326646894749848,2.1133050414972487,-2.021818372581352,-3.6326646894749848,8.29758625195397,0.09920000000000001,0.4928,4.392884987773289,0.08299999999999999,0.1166,1.201919818621849,2.1133050414972487,3.0,583.0,291.0,8.252971461678072,0.12440000000000002,0.46319999999999995,-2.4701805157248424,0.0718,0.1296,0.7303354601499092,-2.021818372581352,0.0,648.0,323.0,1239.0,617.0,370.8121101737802,370.8121101737822,0.85,-1.6013351485687388,100.0,5,median_of_seed_median_return_pct,0.2633116419943127,1.0,1.0,1.8419964825548045,10.630100682133481,0.2633116419943127,0.9566356312216537,617.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.8617148936687702,True,COMPLETE
