trial_number,study_name,bandit_name,method_group,set_name,z_window,alpha_out,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,constraint_symbols_active_ok,constraint_symbols_have_long_ok,constraint_min_trades_ok,constraint_max_trades_ok,constraint_profit_factor_ok,constraint_drawdown_ok,constraint_finite_objective_return_ok,objective_metric_name,calmar_like,effective_drawdown_abs_for_calmar,calmar_drawdown_floor_applied,calmar_drawdown_floor_abs,invalid_score,constraints_values,constraint_value_drawdown,constraint_value_profit_factor,constraint_value_min_trades,constraint_value_max_trades,constraint_value_all_symbols_active,constraint_value_all_symbols_have_long,constraint_value_finite_objective_return,optuna_constraints_convention,required_all_symbols_active_share,required_all_symbols_have_long_share,min_total_trades,max_total_trades,min_profit_factor,max_drawdown_abs,observed_all_symbols_active_share,observed_all_symbols_have_long_share,observed_median_total_trades,observed_median_profit_factor,observed_median_max_drawdown_abs,observed_median_of_seed_median_return_pct,observed_mean_of_seed_mean_return_pct,diagnostic_mean_of_seed_mean_return_pct,diagnostic_median_mean_turnover,n_seeds,seeds_used,all_symbols_active_share,all_symbols_have_long_share,median_of_seed_median_return_pct,mean_of_seed_median_return_pct,std_of_seed_median_return_pct,min_seed_median_return_pct,max_seed_median_return_pct,median_of_seed_mean_return_pct,mean_of_seed_mean_return_pct,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_total_trade_events,median_mean_turnover,median_positive_return_symbols,median_active_symbols,median_long_action_symbols,median_seed_val_first_median_return_pct,mean_seed_val_first_median_return_pct,median_seed_val_second_median_return_pct,mean_seed_val_second_median_return_pct,median_seed_val_first_mean_return_pct,mean_seed_val_first_mean_return_pct,median_seed_val_second_mean_return_pct,mean_seed_val_second_mean_return_pct,median_seed_val_first_max_drawdown_abs,mean_seed_val_first_max_drawdown_abs,median_seed_val_second_max_drawdown_abs,mean_seed_val_second_max_drawdown_abs,median_seed_val_first_median_profit_factor,mean_seed_val_first_median_profit_factor,median_seed_val_second_median_profit_factor,mean_seed_val_second_median_profit_factor,median_seed_val_first_total_trades,mean_seed_val_first_total_trades,median_seed_val_second_total_trades,mean_seed_val_second_total_trades,median_seed_val_first_total_trade_events,mean_seed_val_first_total_trade_events,median_seed_val_second_total_trade_events,mean_seed_val_second_total_trade_events,median_seed_val_first_mean_turnover,mean_seed_val_first_mean_turnover,median_seed_val_second_mean_turnover,mean_seed_val_second_mean_turnover,median_seed_val_first_mean_executed_action_1_ratio,mean_seed_val_first_mean_executed_action_1_ratio,median_seed_val_second_mean_executed_action_1_ratio,mean_seed_val_second_mean_executed_action_1_ratio,median_seed_val_first_mean_threshold_applied_ratio,mean_seed_val_first_mean_threshold_applied_ratio,median_seed_val_second_mean_threshold_applied_ratio,mean_seed_val_second_mean_threshold_applied_ratio,median_seed_val_first_mean_constraint_applied_ratio,mean_seed_val_first_mean_constraint_applied_ratio,median_seed_val_second_mean_constraint_applied_ratio,mean_seed_val_second_mean_constraint_applied_ratio,median_seed_val_first_positive_return_symbols,mean_seed_val_first_positive_return_symbols,median_seed_val_second_positive_return_symbols,mean_seed_val_second_positive_return_symbols,median_seed_min_half_median_return_pct,mean_seed_min_half_median_return_pct,median_seed_max_half_median_return_pct,mean_seed_max_half_median_return_pct,median_seed_half_return_gap_pct,mean_seed_half_return_gap_pct,median_seed_second_minus_first_half_median_return_pct,mean_seed_second_minus_first_half_median_return_pct,param_bandit_type,param_lambda_prior,param_reward_clip,param_discount_factor,param_noise_std,optuna_param_lambda_prior,optuna_param_one_minus_gamma,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha
0,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,324.9999999999988,-1.8587978863452759,False,True,True,True,False,True,True,True,median_of_seed_median_return_pct,-0.19634811005081343,9.466848883160795,False,1.0,-1000000.0,"[-5.533151116839205, -0.006091282116744479, -573.0, 23.0, 0.0, 0.0, 0.0]",-5.533151116839205,-0.006091282116744479,-573.0,23.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,673.0,0.8560912821167445,9.466848883160795,-1.8587978863452759,-1.4265758826025887,-1.4265758826025887,0.135,5,3142|3143|3144|3145|3146,1.0,1.0,-1.8587978863452759,-2.2658355086198756,1.1533053755860725,-3.7312664125582984,-1.223791176892608,-0.8404924911918089,-1.4265758826025887,9.466848883160795,0.8560912821167445,673.0,1350.0,0.135,1.0,5.0,5.0,-0.07609088152930044,0.22530610500249848,-2.7317388518306673,-2.823099993733338,1.4089332448022198,1.7618818183171026,-3.4852639469065516,-3.1403850589703812,5.839420532840645,5.8559526119218805,8.721486065754691,8.966148228952834,0.9284114258334238,0.9767666075612891,0.7157273713229767,0.707448566375199,329.0,331.4,340.0,338.4,658.0,663.2,683.0,679.6,0.1316,0.13264,0.1366,0.13592,0.5048,0.5076,0.4436,0.44231999999999994,0.0774,0.07816,0.0762,0.0754,0.1206,0.11984000000000002,0.139,0.13804,2.0,2.4,0.0,0.0,-2.7317388518306673,-2.823099993733338,-0.07609088152930044,0.22530610500249848,4.046267304861651,3.0484060987358363,-4.046267304861651,-3.0484060987358363,discounted_lints,1.0,0.1,0.9969230769230769,0.03,1.0,0.003076923076923077,0.03,,
1,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,336.87352358580256,-0.8995699331185381,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0878489365751159,10.239963830971977,False,1.0,-1000000.0,"[-4.760036169028023, -0.06731948542234911, -527.0, -23.0, 0.0, 0.0, 0.0]",-4.760036169028023,-0.06731948542234911,-527.0,-23.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,627.0,0.9173194854223491,10.239963830971977,-0.8995699331185381,-0.09476973551775676,-0.09476973551775676,0.1258,5,3142|3143|3144|3145|3146,1.0,1.0,-0.8995699331185381,-0.9002992991224691,0.8736446468104297,-2.0971606156886202,0.35910887760837173,0.2256231636069561,-0.09476973551775676,10.239963830971977,0.9173194854223491,627.0,1258.0,0.1258,2.0,5.0,5.0,0.39955481010438554,0.3799808421395978,-2.1049724265215897,-2.1822233391755375,2.213636771499252,2.1269308140924528,-2.0328322436729085,-2.14936000260514,5.453088408274853,5.452997371862547,8.491289491604748,8.64928945342273,0.9988784915965243,0.9900657015629977,0.7623766775461572,0.7639847727501751,308.0,304.2,316.0,311.0,616.0,608.6,635.0,625.0,0.1232,0.12171999999999998,0.127,0.125,0.49160000000000004,0.49260000000000004,0.42679999999999996,0.42763999999999996,0.08680000000000002,0.08476000000000002,0.0826,0.08264,0.1082,0.10451999999999999,0.119,0.12076,3.0,3.0,1.0,1.0,-2.1049724265215897,-2.1822233391755375,0.39955481010438554,0.3799808421395978,2.361018871286036,2.5622041813151353,-2.361018871286036,-2.5622041813151353,discounted_lints,2.6583217675071293,0.1,0.9970315268788249,0.024053363624212343,2.6583217675071293,0.0029684731211750454,0.024053363624212343,,
2,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,332.8437778017574,-1.1310760124910613,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.10867296959238724,10.408071268628472,False,1.0,-1000000.0,"[-4.591928731371528, -0.04458773416271433, -435.0, -115.0, 0.0, 0.0, 0.0]",-4.591928731371528,-0.04458773416271433,-435.0,-115.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,535.0,0.8945877341627143,10.408071268628472,-1.1310760124910613,-0.1816056842624523,-0.1816056842624523,0.10740000000000001,5,3142|3143|3144|3145|3146,1.0,1.0,-1.1310760124910613,-0.9638262784393238,0.7510357661049047,-1.6121804299295883,0.16676857945250312,-0.3330652773662891,-0.1816056842624523,10.408071268628472,0.8945877341627143,535.0,1074.0,0.10740000000000001,2.0,5.0,5.0,-0.018324666259583733,0.03269815425424483,-2.4255623532076,-2.7266782486389247,2.2586694460259182,2.185369030959086,-2.6205735062173074,-2.331006715576565,5.510709779076583,5.39946024653202,8.543514800126161,8.472851108878862,0.9364820557529884,0.9379966428510278,0.7676148130228344,0.7547258916195665,258.0,260.2,278.0,272.2,517.0,521.2,558.0,547.4,0.1034,0.10424,0.1116,0.10948,0.47479999999999994,0.47416,0.4006,0.39776,0.0856,0.08504,0.0736,0.07568,0.09239999999999998,0.09235999999999998,0.1172,0.11203999999999999,2.0,2.6,1.0,1.2,-2.4255623532076,-2.7266782486389247,-0.018324666259583733,0.03269815425424483,2.199719313762838,2.75937640289317,-2.199719313762838,-2.75937640289317,discounted_lints,0.45417725253359703,0.1,0.9969955875197535,0.0138940336513385,0.45417725253359703,0.003004412480246536,0.0138940336513385,,
3,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,270.8608613998047,-3.3263063365936874,False,True,True,True,False,False,True,True,median_of_seed_median_return_pct,-0.2944347129242802,11.2972628246083,False,1.0,-1000000.0,"[-3.7027371753917, 0.045787582576317654, -577.0, 27.0, 0.0, 0.0, 0.0]",-3.7027371753917,0.045787582576317654,-577.0,27.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,677.0,0.8042124174236823,11.2972628246083,-3.3263063365936874,-1.63325987071237,-1.63325987071237,0.1356,5,3142|3143|3144|3145|3146,1.0,1.0,-3.3263063365936874,-3.360144803456065,0.7347838657776743,-4.440885783266935,-2.3660996691900804,-2.2916946243399905,-1.63325987071237,11.2972628246083,0.8042124174236823,677.0,1356.0,0.1356,1.0,5.0,5.0,-0.2764165762629611,-0.03851039830016001,-2.0161300987373454,-2.537341670441402,1.5433145555589833,1.6777008000897293,-3.011391860613024,-3.2725656689285834,4.976694417565264,5.5758389554127294,10.366108658586404,9.958312741964999,0.9314234072284202,0.965427980363423,0.7549847412324986,0.7080413204383644,330.0,331.6,349.0,350.8,663.0,664.2,700.0,703.8,0.1326,0.13284,0.14,0.14076,0.5054000000000001,0.5050800000000001,0.4406,0.44064000000000003,0.07339999999999999,0.0726,0.06899999999999999,0.06767999999999999,0.12079999999999999,0.12231999999999998,0.14379999999999998,0.14452000000000004,2.0,2.2,0.0,0.2,-2.0161300987373454,-2.537341670441402,-0.2764165762629611,-0.03851039830016001,2.743142854001057,2.498831272141242,-2.743142854001057,-2.498831272141242,discounted_lints,0.4103210507454176,0.1,0.9963080675634272,0.028224331063458036,0.4103210507454176,0.0036919324365728744,0.028224331063458036,,
4,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,329.7352043219579,-1.2391461344254395,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.1386477326599118,8.937370346076513,False,1.0,-1000000.0,"[-6.062629653923487, -0.022417533556290392, -380.0, -170.0, 0.0, 0.0, 0.0]",-6.062629653923487,-0.022417533556290392,-380.0,-170.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,480.0,0.8724175335562904,8.937370346076513,-1.2391461344254395,0.5886910356663216,0.5886910356663216,0.09630000000000001,5,3142|3143|3144|3145|3146,1.0,1.0,-1.2391461344254395,-1.0946870377517492,0.7937717382134974,-1.9254935690119601,0.1556749708299554,0.4851778220145043,0.5886910356663216,8.937370346076513,0.8724175335562904,480.0,963.0,0.09630000000000001,2.0,5.0,5.0,0.436850679210643,0.795832584163183,-1.4707208129488891,-1.770524399959865,2.2614162925344727,2.319190327558291,-1.790259350274741,-1.7251804310708567,5.014426909794234,4.842443534141203,8.238275903435566,8.108372846982547,0.9737801541857144,1.0157958804808822,0.8431658979746006,0.812507734714754,229.0,230.6,251.0,251.4,459.0,462.2,504.0,505.4,0.0918,0.09244000000000001,0.1008,0.10107999999999999,0.4622,0.46440000000000003,0.3878,0.38652,0.0878,0.08696,0.0782,0.07856,0.079,0.07876000000000001,0.1034,0.10167999999999999,3.0,2.8,1.0,1.2,-1.4707208129488891,-1.770524399959865,0.436850679210643,0.795832584163183,1.777633863119188,2.5663569841230482,-1.777633863119188,-2.5663569841230482,discounted_lints,0.3321001532090087,0.1,0.9969672634681022,0.005843060126585927,0.3321001532090087,0.003032736531897853,0.005843060126585927,,
5,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,336.65907727045226,-1.3602720867138651,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.13783747604080432,9.86866653239632,False,1.0,-1000000.0,"[-5.13133346760368, -0.01912551864993639, -378.0, -172.0, 0.0, 0.0, 0.0]",-5.13133346760368,-0.01912551864993639,-378.0,-172.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,478.0,0.8691255186499364,9.86866653239632,-1.3602720867138651,-0.03640178814714136,-0.03640178814714136,0.0959,5,3142|3143|3144|3145|3146,1.0,1.0,-1.3602720867138651,-1.5179488110324881,1.5184993932450677,-3.278874192045067,0.10391204389648134,-0.2856668962815288,-0.03640178814714136,9.86866653239632,0.8691255186499364,478.0,959.0,0.0959,2.0,5.0,5.0,0.5704382756212212,0.18000636209393184,-1.5316238952834182,-2.144254474632308,2.5533213264566657,2.197702673217998,-1.8173461612594632,-2.159245663265664,4.59658926750558,5.005320321722948,7.813270821273699,8.059337254236931,0.9838585075738179,0.9483501626523505,0.7993870993156481,0.771209806552231,235.0,231.2,257.0,252.0,471.0,463.6,515.0,506.0,0.09419999999999999,0.09272,0.10300000000000001,0.1012,0.4622,0.4654,0.39039999999999997,0.38676,0.0868,0.08696,0.0806,0.08216000000000001,0.08159999999999999,0.08036,0.1006,0.1022,3.0,3.0,1.0,1.0,-1.5316238952834182,-2.144254474632308,0.5704382756212212,0.18000636209393184,2.2351618465846435,2.3242608367262396,-2.2351618465846435,-2.3242608367262396,discounted_lints,0.8546236929367872,0.1,0.9970296360100914,0.005157341668169063,0.8546236929367872,0.002970363989908554,0.005157341668169063,,
6,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,304.5984932805072,-2.663137484286082,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.234132706401855,11.374478710014957,False,1.0,-1000000.0,"[-3.625521289985043, 0.043852327599710916, -362.0, -188.0, 0.0, 0.0, 0.0]",-3.625521289985043,0.043852327599710916,-362.0,-188.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,462.0,0.8061476724002891,11.374478710014957,-2.663137484286082,-0.3960522789768359,-0.3960522789768359,0.0927,5,3142|3143|3144|3145|3146,1.0,1.0,-2.663137484286082,-2.390277018611855,0.5591584489565247,-2.876448963117284,-1.6253489675706168,-0.5230646021884742,-0.3960522789768359,11.374478710014957,0.8061476724002891,462.0,927.0,0.0927,2.0,5.0,5.0,-0.31257972285221314,-0.23325786626592793,-2.0041004860391287,-2.307891777642239,2.3905677593257457,2.1577776536916766,-2.7982109924994547,-2.517373827556379,5.2298355179838385,5.215495948239889,8.656470752480383,8.835858402766874,0.8580767573003458,0.8859399675506049,0.7223910478516281,0.7471131186393748,219.0,217.2,246.0,246.8,439.0,435.8,495.0,495.6,0.0878,0.08715999999999999,0.099,0.09912000000000001,0.4584,0.46068,0.3898,0.38811999999999997,0.08819999999999999,0.08592,0.0826,0.0816,0.0688,0.07088000000000001,0.0988,0.09864000000000002,2.0,2.2,0.0,0.4,-2.0041004860391287,-2.307891777642239,-0.31257972285221314,-0.23325786626592793,1.536567704993408,2.074633911376311,-1.536567704993408,-2.074633911376311,discounted_lints,3.136282118621863,0.1,0.9967169896698107,0.005426838628174849,3.136282118621863,0.0032830103301893197,0.005426838628174849,,
7,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,362.958598152747,-2.387613929238297,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.2669564689301993,8.943832448812405,False,1.0,-1000000.0,"[-6.056167551187595, -0.0013789869870272087, -370.0, -180.0, 0.0, 0.0, 0.0]",-6.056167551187595,-0.0013789869870272087,-370.0,-180.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,470.0,0.8513789869870272,8.943832448812405,-2.387613929238297,0.43669710178949284,0.43669710178949284,0.0944,5,3142|3143|3144|3145|3146,1.0,1.0,-2.387613929238297,-1.5035769008100908,1.584584018399248,-2.8346192615559485,0.5469444807652657,0.5212283240656056,0.43669710178949284,8.943832448812405,0.8513789869870272,470.0,944.0,0.0944,2.0,5.0,5.0,-0.796259282822176,-0.5342734103656821,-1.8957498478755164,-1.6115083014700684,2.1276421575884363,2.1060142552320777,-1.5743174049991682,-1.6450439971801245,5.705062289758733,5.58731895019187,8.00283338694161,8.354974850480923,0.8435250931133974,0.8746245327378347,0.7981227813889529,0.8235621587934607,224.0,226.0,246.0,246.2,449.0,453.0,494.0,494.8,0.0898,0.0906,0.0988,0.09896,0.47300000000000003,0.471,0.3942,0.39408000000000004,0.08779999999999999,0.08692,0.08360000000000001,0.08452000000000001,0.07999999999999999,0.08096,0.099,0.0982,2.0,2.2,1.0,1.0,-1.8957498478755164,-1.6115083014700684,-0.796259282822176,-0.5342734103656821,1.0913217107131445,1.077234891104386,-1.0913217107131445,-1.077234891104386,discounted_lints,0.3999384989689106,0.1,0.9972448648273124,0.0038594701586030697,0.3999384989689106,0.0027551351726875332,0.0038594701586030697,,
8,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,320.7249967870111,-0.3592899829716778,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.04010500954607118,8.958730768008882,False,1.0,-1000000.0,"[-6.041269231991118, -0.10164368848443617, -389.0, -161.0, 0.0, 0.0, 0.0]",-6.041269231991118,-0.10164368848443617,-389.0,-161.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,489.0,0.9516436884844361,8.958730768008882,-0.3592899829716778,0.47525973840067115,0.47525973840067115,0.09809999999999999,5,3142|3143|3144|3145|3146,1.0,1.0,-0.3592899829716778,-0.662913840277195,1.0928474491616522,-2.3271035527127726,0.2820335195068635,0.32970009877719236,0.47525973840067115,8.958730768008882,0.9516436884844361,489.0,981.0,0.09809999999999999,2.0,5.0,5.0,1.0024383731725095,0.8593499690150175,-1.2938563671278547,-1.0990290184396343,1.667062427652668,1.9850351895796454,-1.593161153573408,-1.4837052470735952,5.005011862590292,5.216828750446529,8.453371336095516,8.217331530420992,1.019353771913654,1.0028920245258013,0.892939930097619,0.890337231598355,230.0,236.0,249.0,252.0,461.0,473.0,501.0,506.2,0.0922,0.09459999999999999,0.1002,0.10124,0.4628,0.46227999999999997,0.3888,0.3888,0.0816,0.08368,0.07680000000000001,0.07656,0.0818,0.08524000000000001,0.1008,0.1034,3.0,2.8,1.0,0.8,-1.2938563671278547,-1.0990290184396343,1.0024383731725095,0.8593499690150175,1.9225088627986442,1.9583789874546522,-1.9225088627986442,-1.9583789874546522,discounted_lints,0.4491579476345678,0.1,0.9968820640423481,0.003985601095823479,0.4491579476345678,0.003117935957651857,0.003985601095823479,,
9,discounted_lints__corr__z72_a0p5_corr_pruned_top10,discounted_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,312.2563739057828,-1.6307050128292921,False,True,True,True,False,True,True,True,median_of_seed_median_return_pct,-0.16837474236647074,9.684974063865425,False,1.0,-1000000.0,"[-5.315025936134575, -0.057120152461466844, -634.0, 84.0, 0.0, 0.0, 0.0]",-5.315025936134575,-0.057120152461466844,-634.0,84.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,734.0,0.9071201524614668,9.684974063865425,-1.6307050128292921,-1.806316422974166,-1.806316422974166,0.1473,5,3142|3143|3144|3145|3146,1.0,1.0,-1.6307050128292921,-2.53973159174822,2.500266885581972,-6.786987198416283,-0.7695646538306455,-1.7554043563332988,-1.806316422974166,9.684974063865425,0.9071201524614668,734.0,1473.0,0.1473,1.0,5.0,5.0,-0.001450706441086247,0.05015074170894973,-3.5498783977424564,-3.3420012198999727,1.6215849943699374,1.5843313445244565,-3.0784558186947275,-3.3292213505758257,5.3583788756453865,5.246107460018343,8.517989809991766,8.51506739065233,0.977881661132954,0.9638383434132625,0.7246423181580985,0.7167497716466876,353.0,358.0,372.0,373.6,707.0,717.0,747.0,750.0,0.14140000000000003,0.14340000000000003,0.1494,0.15,0.5248,0.52616,0.4646,0.46319999999999995,0.078,0.07576000000000001,0.0718,0.07168,0.1306,0.12775999999999998,0.1544,0.15184000000000003,2.0,2.6,0.0,0.4,-3.5498783977424564,-3.3420012198999727,-0.001450706441086247,0.05015074170894973,3.6836106839262195,3.392151961608922,-3.6836106839262195,-3.392151961608922,discounted_lints,1.3291529720524704,0.1,0.9967975033223766,0.03478395209918766,1.3291529720524704,0.0032024966776234036,0.03478395209918766,,
