trial_number,study_name,bandit_name,method_group,set_name,z_window,alpha_out,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,constraint_symbols_active_ok,constraint_symbols_have_long_ok,constraint_min_trades_ok,constraint_max_trades_ok,constraint_profit_factor_ok,constraint_drawdown_ok,constraint_finite_objective_return_ok,objective_metric_name,calmar_like,effective_drawdown_abs_for_calmar,calmar_drawdown_floor_applied,calmar_drawdown_floor_abs,invalid_score,constraints_values,constraint_value_drawdown,constraint_value_profit_factor,constraint_value_min_trades,constraint_value_max_trades,constraint_value_all_symbols_active,constraint_value_all_symbols_have_long,constraint_value_finite_objective_return,optuna_constraints_convention,required_all_symbols_active_share,required_all_symbols_have_long_share,min_total_trades,max_total_trades,min_profit_factor,max_drawdown_abs,observed_all_symbols_active_share,observed_all_symbols_have_long_share,observed_median_total_trades,observed_median_profit_factor,observed_median_max_drawdown_abs,observed_median_of_seed_median_return_pct,observed_mean_of_seed_mean_return_pct,diagnostic_mean_of_seed_mean_return_pct,diagnostic_median_mean_turnover,n_seeds,seeds_used,all_symbols_active_share,all_symbols_have_long_share,median_of_seed_median_return_pct,mean_of_seed_median_return_pct,std_of_seed_median_return_pct,min_seed_median_return_pct,max_seed_median_return_pct,median_of_seed_mean_return_pct,mean_of_seed_mean_return_pct,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_total_trade_events,median_mean_turnover,median_positive_return_symbols,median_active_symbols,median_long_action_symbols,median_seed_val_first_median_return_pct,mean_seed_val_first_median_return_pct,median_seed_val_second_median_return_pct,mean_seed_val_second_median_return_pct,median_seed_val_first_mean_return_pct,mean_seed_val_first_mean_return_pct,median_seed_val_second_mean_return_pct,mean_seed_val_second_mean_return_pct,median_seed_val_first_max_drawdown_abs,mean_seed_val_first_max_drawdown_abs,median_seed_val_second_max_drawdown_abs,mean_seed_val_second_max_drawdown_abs,median_seed_val_first_median_profit_factor,mean_seed_val_first_median_profit_factor,median_seed_val_second_median_profit_factor,mean_seed_val_second_median_profit_factor,median_seed_val_first_total_trades,mean_seed_val_first_total_trades,median_seed_val_second_total_trades,mean_seed_val_second_total_trades,median_seed_val_first_total_trade_events,mean_seed_val_first_total_trade_events,median_seed_val_second_total_trade_events,mean_seed_val_second_total_trade_events,median_seed_val_first_mean_turnover,mean_seed_val_first_mean_turnover,median_seed_val_second_mean_turnover,mean_seed_val_second_mean_turnover,median_seed_val_first_mean_executed_action_1_ratio,mean_seed_val_first_mean_executed_action_1_ratio,median_seed_val_second_mean_executed_action_1_ratio,mean_seed_val_second_mean_executed_action_1_ratio,median_seed_val_first_mean_threshold_applied_ratio,mean_seed_val_first_mean_threshold_applied_ratio,median_seed_val_second_mean_threshold_applied_ratio,mean_seed_val_second_mean_threshold_applied_ratio,median_seed_val_first_mean_constraint_applied_ratio,mean_seed_val_first_mean_constraint_applied_ratio,median_seed_val_second_mean_constraint_applied_ratio,mean_seed_val_second_mean_constraint_applied_ratio,median_seed_val_first_positive_return_symbols,mean_seed_val_first_positive_return_symbols,median_seed_val_second_positive_return_symbols,mean_seed_val_second_positive_return_symbols,median_seed_min_half_median_return_pct,mean_seed_min_half_median_return_pct,median_seed_max_half_median_return_pct,mean_seed_max_half_median_return_pct,median_seed_half_return_gap_pct,mean_seed_half_return_gap_pct,median_seed_second_minus_first_half_median_return_pct,mean_seed_second_minus_first_half_median_return_pct,param_bandit_type,param_lambda_prior,param_reward_clip,param_window_size,param_noise_std,optuna_param_lambda_prior,optuna_param_window_size,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha,rank_within_algorithm_method
19,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,275.0,-0.0592954202515705,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.004956336109741,11.9635591571428,False,1.0,-1000000.0,"[-3.0364408428572, -0.09795158949271354, -358.0, -192.0, 0.0, 0.0, 0.0]",-3.0364408428572,-0.0979515894927135,-358.0,-192.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,458.0,0.9479515894927136,11.9635591571428,-0.0592954202515705,-0.077658895985037,-0.077658895985037,0.092,5,3142|3143|3144|3145|3146,1.0,1.0,-0.0592954202515705,0.137348140534288,2.1660191409834,-1.9857625372603604,3.3438286398409733,0.1541946979240478,-0.077658895985037,11.9635591571428,0.9479515894927136,458.0,920.0,0.092,2.0,5.0,5.0,2.0698169023941397,1.6433545928788629,-1.790259829302976,-1.967812175768755,3.060514757659414,2.4015899998458585,-2.6855372659456096,-2.3737620118163782,5.534944793301333,5.248046061474347,10.020689287219463,10.204737714701974,1.2321416464835142,1.1548288508226847,0.7294585260806833,0.7334948567972951,209.0,209.6,242.0,241.6,419.0,420.6,487.0,485.8,0.0838,0.08412,0.0974,0.09716,0.5067999999999999,0.50656,0.432,0.4302799999999999,0.0666,0.06592,0.0628,0.0625199999999999,0.0684,0.06716,0.0972,0.09756,4.0,3.8,1.0,1.0,-1.790259829302976,-1.967812175768755,2.0698169023941397,1.6433545928788629,3.703736672998292,3.6111667686476174,-3.703736672998292,-3.6111667686476174,sw_lints,9.705124078815688,0.1,275,0.005662286672027,9.705124078815688,275,0.005662286672027,,,1
6,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,350.0,-0.1079794976264203,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0115873303966284,9.318755393204214,False,1.0,-1000000.0,"[-5.6812446067957865, -0.10725206335402004, -367.0, -183.0, 0.0, 0.0, 0.0]",-5.6812446067957865,-0.10725206335402,-367.0,-183.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,467.0,0.95725206335402,9.318755393204214,-0.1079794976264203,-0.0652268006264301,-0.0652268006264301,0.0938,5,3142|3143|3144|3145|3146,1.0,1.0,-0.1079794976264203,-0.0599059261319179,0.5848845529381594,-0.9466159541715036,0.6309196744033407,-0.3652552716500447,-0.0652268006264301,9.318755393204214,0.95725206335402,467.0,938.0,0.0938,2.0,5.0,5.0,0.2972294510066531,0.7786063878853344,-0.6895010103768584,-1.0568870209723502,1.469151917026892,1.3576348247060348,-1.009061328894143,-1.3963517786355526,5.450997354618381,5.546612906855364,8.487239973473216,8.586575204132341,0.9977222544330584,1.036462582575573,0.8543048876873652,0.852826079634218,216.0,214.6,252.0,254.2,432.0,430.2,506.0,511.8,0.0864,0.0860399999999999,0.1012,0.10236,0.4974,0.49884,0.4244,0.4269199999999999,0.0563999999999999,0.05728,0.0576,0.05556,0.0756,0.0764,0.1083999999999999,0.1072,3.0,3.4,1.0,1.4,-0.6895010103768584,-1.0568870209723502,0.2972294510066531,0.7786063878853344,0.9867304613835116,1.8354934088576849,-0.9867304613835116,-1.8354934088576849,sw_lints,3.136282118621863,0.1,350,0.0054268386281748,3.136282118621863,350,0.0054268386281748,,,2
34,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,375.0,-0.4543848740194534,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0469123558199296,9.685825111055667,False,1.0,-1000000.0,"[-5.314174888944333, -0.07001188780318224, -357.0, -193.0, 0.0, 0.0, 0.0]",-5.314174888944333,-0.0700118878031822,-357.0,-193.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,457.0,0.9200118878031822,9.685825111055667,-0.4543848740194534,0.4695484469492822,0.4695484469492822,0.0917999999999999,5,3142|3143|3144|3145|3146,1.0,1.0,-0.4543848740194534,-0.5029943711789109,0.516351567442407,-1.090405741517397,0.2705426690871704,0.708416489160586,0.4695484469492822,9.685825111055667,0.9200118878031822,457.0,918.0,0.0917999999999999,2.0,5.0,5.0,1.5375685496322955,1.1705983831938216,-1.5782633100158816,-1.767040939766178,2.679949259991004,2.308953997105059,-1.9516461599965451,-1.7858114298507233,4.822808897648523,4.784843484645018,8.240101117287812,8.069061194332685,1.095989018894124,1.1108988406374627,0.7671475576987545,0.7641180516717425,207.0,208.0,246.0,244.4,415.0,416.6,493.0,492.0,0.083,0.0833199999999999,0.0986,0.0984,0.4984,0.4929199999999999,0.4338,0.43344,0.0672,0.06864,0.0676,0.06744,0.0656,0.0656,0.0998,0.0986799999999999,4.0,3.8,1.0,0.6,-1.5782633100158816,-1.767040939766178,1.5375685496322955,1.1705983831938216,2.8041357525332766,2.9376393229599995,-2.8041357525332766,-2.9376393229599995,sw_lints,7.232834500626768,0.1,375,0.0032627116215251,7.232834500626768,375,0.0032627116215251,,,3
13,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,350.0,-0.5653819863242648,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0468249659392975,12.07437047700598,False,1.0,-1000000.0,"[-2.9256295229940203, -0.03036418082468606, -339.0, -211.0, 0.0, 0.0, 0.0]",-2.9256295229940203,-0.030364180824686,-339.0,-211.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,439.0,0.880364180824686,12.07437047700598,-0.5653819863242648,-0.2750339396319402,-0.2750339396319402,0.0883,5,3142|3143|3144|3145|3146,1.0,1.0,-0.5653819863242648,-1.1765753099519751,1.4669076061867528,-3.508065106285685,0.2365160093973362,0.0577742240987987,-0.2750339396319402,12.07437047700598,0.880364180824686,439.0,883.0,0.0883,2.0,5.0,5.0,0.6280343392348842,0.9994388899723594,-1.6208153269410053,-1.6381894857186885,1.649843414459602,1.4992356142353644,-1.659933014613857,-1.7525484935177515,4.978196831121595,4.729754209971087,9.849565346094325,9.305977829276886,1.0518268434351348,1.089572020130981,0.7767544952843226,0.800752421061597,201.0,198.4,238.0,239.8,402.0,397.6,479.0,483.4,0.0804,0.07952,0.0958,0.09668,0.4972,0.49544,0.4326,0.43284,0.066,0.06664,0.0664,0.0654,0.0613999999999999,0.06148,0.0968,0.0986399999999999,4.0,4.0,1.0,1.0,-1.6208153269410053,-1.6381894857186885,0.6280343392348842,0.9994388899723594,2.30341914346861,2.6376283756910475,-2.30341914346861,-2.6376283756910475,sw_lints,9.108973566566531,0.1,350,0.0039573965520288,9.108973566566531,350,0.0039573965520288,,,4
14,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,400.0,-0.6052351369563946,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0533087371041812,11.353394768545789,False,1.0,-1000000.0,"[-3.6466052314542114, -0.07346112042674535, -360.0, -190.0, 0.0, 0.0, 0.0]",-3.646605231454211,-0.0734611204267453,-360.0,-190.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,460.0,0.9234611204267452,11.353394768545789,-0.6052351369563946,-0.4049323849454569,-0.4049323849454569,0.0924,5,3142|3143|3144|3145|3146,1.0,1.0,-0.6052351369563946,-0.0375278117297939,1.1781057021231736,-1.170358841836494,1.6403799297885602,-0.0144427594316765,-0.4049323849454569,11.353394768545789,0.9234611204267452,460.0,924.0,0.0924,2.0,5.0,5.0,0.4403010690995801,1.0048845114187666,-2.3154077233769166,-2.256075877602137,2.216970219459553,2.149035730483858,-2.3746431230784126,-2.4585181790579744,4.498362753641172,4.867585839687025,9.06965095275728,9.5234751430628,1.0467277835536262,1.1124433497886554,0.7118904246523851,0.7149587391228671,197.0,198.8,262.0,262.8,396.0,399.4,525.0,527.2,0.0792,0.0798799999999999,0.105,0.10544,0.4911999999999999,0.48928,0.4446,0.4444,0.0722,0.07224,0.0706,0.06872,0.0626,0.0612,0.1062,0.1072,4.0,3.6,1.0,0.8,-2.3154077233769166,-2.256075877602137,0.4403010690995801,1.0048845114187666,2.4461231838103337,3.260960389020904,-2.4461231838103337,-3.260960389020904,sw_lints,7.876527705729253,0.1,400,0.0033036579375065,7.876527705729253,400,0.0033036579375065,,,5
38,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,250.0,-0.8013969093943585,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0691301170417432,11.592587191924563,False,1.0,-1000000.0,"[-3.4074128080754367, -0.031471188529810235, -373.0, -177.0, 0.0, 0.0, 0.0]",-3.4074128080754367,-0.0314711885298102,-373.0,-177.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,473.0,0.8814711885298102,11.592587191924563,-0.8013969093943585,-0.7215127108034373,-0.7215127108034373,0.0949,5,3142|3143|3144|3145|3146,1.0,1.0,-0.8013969093943585,-0.9161836802729952,1.407683195283667,-2.4060472652091214,1.0413416840462597,-0.4815645495680742,-0.7215127108034373,11.592587191924563,0.8814711885298102,473.0,949.0,0.0949,2.0,5.0,5.0,0.4598827762440471,0.4378765164987985,-1.6350410810649585,-2.2987847541221478,2.305215947089545,1.9951033371052245,-2.3788550145272795,-2.5817740900408723,5.134303428544884,4.91324009295205,9.437035756907097,9.681871529606418,1.0000118425777635,0.973327453080762,0.6804872161686751,0.7275374108506589,223.0,221.0,251.0,252.0,447.0,443.4,505.0,506.2,0.0894,0.08868,0.101,0.10124,0.5075999999999999,0.50572,0.4349999999999999,0.43296,0.058,0.05888,0.05,0.05092,0.0693999999999999,0.0672,0.1073999999999999,0.10828,3.0,2.8,1.0,0.8,-1.6350410810649585,-2.2987847541221478,0.4598827762440471,0.4378765164987985,3.338566241461538,2.736661270620946,-3.338566241461538,-2.736661270620946,sw_lints,6.236328646776687,0.1,250,0.0049424340716945,6.236328646776687,250,0.0049424340716945,,,6
31,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,400.0,-0.8511839741663474,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0830468908094514,10.249438189315995,False,1.0,-1000000.0,"[-4.750561810684005, -0.02709134120493706, -370.0, -180.0, 0.0, 0.0, 0.0]",-4.750561810684005,-0.027091341204937,-370.0,-180.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,470.0,0.877091341204937,10.249438189315995,-0.8511839741663474,-0.6509839596481588,-0.6509839596481588,0.0944,5,3142|3143|3144|3145|3146,1.0,1.0,-0.8511839741663474,-0.9276565067821284,0.7847491604094438,-1.6697297255758303,0.2604730014265533,-0.4660672002014696,-0.6509839596481588,10.249438189315995,0.877091341204937,470.0,944.0,0.0944,2.0,5.0,5.0,0.774500187626237,0.8595166887256213,-2.9041864010633245,-2.821234327385329,2.1344371018540143,2.187773637746256,-3.0707754880065985,-2.7360604717814416,4.419273167718519,4.4827376744946505,10.249438189315995,9.24644505245142,1.0907369573276435,1.0780051137058626,0.7316391593979713,0.714689737244301,208.0,208.0,264.0,266.0,418.0,417.6,531.0,534.4,0.0836,0.08352,0.1062,0.10688,0.4766,0.47876,0.438,0.43984,0.0748,0.07672,0.067,0.0679599999999999,0.0642,0.064,0.1123999999999999,0.1142799999999999,4.0,3.8,0.0,0.4,-2.9041864010633245,-2.821234327385329,0.774500187626237,0.8595166887256213,4.064694092250343,3.680751016110951,-4.064694092250343,-3.680751016110951,sw_lints,7.876197181110379,0.1,400,0.0048010596850181,7.876197181110379,400,0.0048010596850181,,,7
23,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,275.0,-0.9750096672216824,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0852977084991338,11.430666595593042,False,1.0,-1000000.0,"[-3.569333404406958, -0.07254976897213194, -348.0, -202.0, 0.0, 0.0, 0.0]",-3.569333404406958,-0.0725497689721319,-348.0,-202.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,448.0,0.922549768972132,11.430666595593042,-0.9750096672216824,0.1391345351467756,0.1391345351467756,0.09,5,3142|3143|3144|3145|3146,1.0,1.0,-0.9750096672216824,-0.7246702377006531,1.4639855472906846,-2.189634035666954,1.1558760542086377,-0.4066772923110264,0.1391345351467756,11.430666595593042,0.922549768972132,448.0,900.0,0.09,2.0,5.0,5.0,0.2652727966503176,0.9323556888167772,-1.4838955450519498,-1.3238505566530232,1.7490113219760814,2.164064031852455,-1.8766274872606403,-1.9401157900315649,5.248609981027641,5.167910830096342,7.974403741604041,8.609686402578594,1.042389553497477,1.0823671187567565,0.7759215640610437,0.7881789252051865,216.0,213.6,235.0,238.4,433.0,428.2,474.0,480.0,0.0866,0.08564,0.0948,0.096,0.4968,0.50156,0.4291999999999999,0.4291999999999999,0.0664,0.0668,0.0581999999999999,0.0582,0.071,0.072,0.0938,0.09552,3.0,3.2,1.0,0.6,-1.4838955450519498,-1.3238505566530232,0.2652727966503176,0.9323556888167772,2.0409203346930416,2.2562062454698006,-2.0409203346930416,-2.2562062454698006,sw_lints,8.640433731060325,0.1,275,0.0033495587778215,8.640433731060325,275,0.0033495587778215,,,8
36,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,350.0,-0.9775042596247951,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0908258165910686,10.76240540754927,False,1.0,-1000000.0,"[-4.23759459245073, -0.017865644772462663, -331.0, -219.0, 0.0, 0.0, 0.0]",-4.23759459245073,-0.0178656447724626,-331.0,-219.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,431.0,0.8678656447724626,10.76240540754927,-0.9775042596247951,-0.6173140760015022,-0.6173140760015022,0.0867,5,3142|3143|3144|3145|3146,1.0,1.0,-0.9775042596247951,-1.2399626705916833,0.4751430756625415,-1.9105263361034908,-0.8231433175662772,-0.4496291059655899,-0.6173140760015022,10.76240540754927,0.8678656447724626,431.0,867.0,0.0867,2.0,5.0,5.0,0.8414293490512481,0.609484672786631,-2.283208199451847,-2.159409356907227,1.3334749572668136,1.4378509253119354,-1.7229587510025546,-2.0200533852329725,4.963565446562079,5.003008258432841,8.8032164420341,8.687182162231533,1.0375378117335547,1.0220807437234405,0.8204290001095449,0.7955349730650463,197.0,197.2,239.0,239.6,395.0,395.4,482.0,482.8,0.079,0.07908,0.0964,0.09656,0.5018,0.50144,0.437,0.4349599999999999,0.0666,0.06652,0.0648,0.06328,0.0618,0.06152,0.0974,0.097,3.0,3.4,0.0,0.2,-2.283208199451847,-2.159409356907227,0.8414293490512481,0.609484672786631,2.894153256625187,2.768894029693858,-2.894153256625187,-2.768894029693858,sw_lints,9.100772127164245,0.1,350,0.0033981734059135,9.100772127164245,350,0.0033981734059135,,,9
21,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,350.0,-0.99083347885619,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.0884025780355,11.208196648499303,False,1.0,-1000000.0,"[-3.791803351500697, -0.07120455467491271, -362.0, -188.0, 0.0, 0.0, 0.0]",-3.791803351500697,-0.0712045546749127,-362.0,-188.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,462.0,0.9212045546749128,11.208196648499303,-0.99083347885619,-1.1053158577441606,-1.1053158577441606,0.0929,5,3142|3143|3144|3145|3146,1.0,1.0,-0.99083347885619,-0.9677448920799472,0.3509416544959371,-1.5060694597642477,-0.6047661665272819,-1.203313951987797,-1.1053158577441606,11.208196648499303,0.9212045546749128,462.0,929.0,0.0929,2.0,5.0,5.0,0.4077375171444464,0.3395775514765464,-1.9158410764409275,-1.7004370770037824,0.8784316760997468,0.8538948535817855,-2.010426219713332,-1.9551558762442585,5.492606076188766,5.66003377145252,9.67975630210043,9.497751449253329,1.0191713690080262,0.994246432619554,0.8145575937675622,0.8274330580584575,205.0,205.8,253.0,249.0,411.0,412.2,510.0,502.0,0.0822,0.08244,0.102,0.1004,0.491,0.49276,0.4359999999999999,0.43288,0.0676,0.0669599999999999,0.063,0.0629599999999999,0.0656,0.06568,0.1069999999999999,0.1024799999999999,3.0,3.2,1.0,1.0,-1.9158410764409275,-1.7004370770037824,0.4077375171444464,0.3395775514765464,2.292765985635869,2.0400146284803293,-2.292765985635869,-2.0400146284803293,sw_lints,9.46109971681264,0.1,350,0.0067302509177117,9.46109971681264,350,0.0067302509177117,,,10
