number,value,params_lambda_prior,params_noise_std,params_window_size,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,-4.624505009186219,1.0,0.03,325,1.0,1.0,1.0,False,-0.3787857579995258,True,True,True,True,False,True,True,0.0,0.0,-2.791238420342065,0.0,-35.0,-515.0,0.07461372412288592,"[-2.791238420342065, 0.07461372412288592, -515.0, -35.0, 0.0, 0.0, 0.0]",-2.997756956434203,0.12340000000000002,12.208761579657935,-1000000.0,15.0,-3.0915874732518445,650.0,-2.997756956434203,-4.4709392914708745,3.1758785873685436,-0.4269281285480231,-3.602806715916567,-3.1758785873685436,6.048244219869017,0.11528000000000001,0.50652,0.7822258765342256,0.049640000000000004,0.12004,0.9035899342832968,-0.4269281285480231,2.6,600.2,299.4,9.425922270657562,0.13340000000000002,0.45076,-3.7537214431643817,0.04972,0.1286,0.6756238892481169,-3.602806715916567,0.2,643.0,320.2,5.0,5.0,12.208761579657935,0.12340000000000002,-2.71120340353347,-4.624505009186219,1.0,0.7753862758771141,3.3068683618579064,0.012486206450512682,-3.2943821554073938,-3.3068683618579064,5.93180334985991,0.11499999999999999,0.4988,1.2540706109534905,0.0494,0.1206,0.9118825613571143,0.012486206450512682,3.0,603.0,301.0,10.231184931615678,0.129,0.44939999999999997,-3.807054052336177,0.049400000000000006,0.127,0.6712657840711947,-3.2943821554073938,0.0,635.0,316.0,1234.0,615.0,325.0,325.0,0.85,-5.673752278415378,100.0,5,median_of_seed_median_return_pct,-4.624505009186219,1.0,1.0,-2.997756956434203,12.208761579657935,-4.624505009186219,0.7753862758771141,615.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.9650042166542345,False,COMPLETE
1,-3.2434963717079435,2.6583217675071293,0.024053363624212343,300,1.0,1.0,1.0,False,-0.31095073314314603,True,True,True,True,False,True,True,0.0,0.0,-4.569098812142689,0.0,-47.0,-503.0,0.05308071223185373,"[-4.569098812142689, 0.05308071223185373, -503.0, -47.0, 0.0, 0.0, 0.0]",-1.8997443837674624,0.121,10.43090118785731,-1000000.0,15.0,-0.5836964943175538,650.0,-1.8997443837674624,-2.8839864905907198,3.4683512064941424,0.20164612279901073,-3.2667050836951317,-3.4683512064941424,5.856433143908268,0.1018,0.5023199999999999,1.0686315430392281,0.05267999999999999,0.11103999999999999,0.9959302140867188,0.20164612279901073,2.8,555.2,276.8,8.912081800122854,0.13799999999999998,0.45215999999999995,-2.9002851825772975,0.053200000000000004,0.13036,0.6707670011653193,-3.2667050836951317,0.6,651.8,324.8,5.0,5.0,10.43090118785731,0.121,-1.6250743727240604,-3.2434963717079435,1.0,0.7969192877681462,3.5175421063142864,0.3583763246735483,-3.3186398285649954,-3.5175421063142864,6.09256732550254,0.0996,0.5058,1.0035589831829972,0.05139999999999999,0.1112,0.9958772935647077,0.3583763246735483,3.0,556.0,277.0,9.070583820098877,0.1378,0.4528,-2.854854395190247,0.054200000000000005,0.1298,0.6941401674520925,-3.3186398285649954,0.0,649.0,323.0,1210.0,603.0,300.0,300.0,0.85,-4.095622029188151,100.0,5,median_of_seed_median_return_pct,-3.2434963717079435,1.0,1.0,-1.8997443837674624,10.43090118785731,-3.2434963717079435,0.7969192877681462,603.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.3654702098219333,False,COMPLETE
2,-2.6858044136606307,0.45417725253359703,0.0138940336513385,300,1.0,1.0,1.0,False,-0.22217567164956098,True,True,True,True,False,True,True,0.0,0.0,-2.9113478369631487,0.0,-83.0,-467.0,0.0033004865475633194,"[-2.9113478369631487, 0.0033004865475633194, -467.0, -83.0, 0.0, 0.0, 0.0]",-1.3735832039203255,0.11379999999999998,12.088652163036851,-1000000.0,15.0,-2.3457139032884045,650.0,-1.3735832039203255,-3.1378559107544453,3.7276092423271363,0.5156998139511293,-3.211909428376008,-3.7276092423271363,5.860841772732215,0.09992,0.48148,1.7528999270760646,0.0482,0.10371999999999999,1.0306857545059962,0.5156998139511293,3.0,518.6,258.4,9.517409627791354,0.13448,0.44776,-3.034717596060574,0.047599999999999996,0.12108000000000001,0.6800989253763617,-3.211909428376008,0.4,605.4,301.6,5.0,5.0,12.088652163036851,0.11379999999999998,-1.2925906643041052,-2.6858044136606307,1.0,0.8466995134524367,3.9865336097233417,0.44969767077445155,-3.57533865267603,-3.9865336097233417,5.768628688904354,0.1008,0.4808,1.8429563971648033,0.0482,0.10519999999999999,1.055672888273109,0.44969767077445155,3.0,526.0,262.0,9.448755472030745,0.131,0.4454000000000001,-3.014126046972427,0.0474,0.11979999999999999,0.6847825103478388,-3.57533865267603,0.0,599.0,298.0,1138.0,567.0,300.0,300.0,0.85,-4.454856888460867,100.0,5,median_of_seed_median_return_pct,-2.6858044136606307,1.0,1.0,-1.3735832039203255,12.088652163036851,-2.6858044136606307,0.8466995134524367,567.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.9550230660169857,False,COMPLETE
3,-3.2966043264124223,0.4103210507454176,0.028224331063458036,375,1.0,1.0,1.0,False,-0.3140490096499262,True,True,True,True,False,True,True,0.0,0.0,-4.502898512282581,0.0,-37.0,-513.0,0.03780738603091982,"[-4.502898512282581, 0.03780738603091982, -513.0, -37.0, 0.0, 0.0, 0.0]",-1.8746181848030616,0.12290000000000001,10.49710148771742,-1000000.0,15.0,-1.688038373933598,650.0,-1.8746181848030616,-3.0486923740936467,3.448168208938405,0.3748451596128266,-3.0733230493255776,-3.448168208938405,5.168878497976173,0.10356000000000001,0.50288,1.7026075498806912,0.05584,0.11552000000000003,0.9471171890294858,0.3748451596128266,2.8,577.6,287.6,9.623309249051363,0.13248000000000001,0.47447999999999996,-3.4856121722451894,0.05491999999999999,0.13096,0.701070532407842,-3.0733230493255776,0.4,654.8,326.8,5.0,5.0,10.49710148771742,0.12290000000000001,-1.9541386900569102,-3.2966043264124223,2.0,0.8121926139690802,2.524666219960592,0.19670866249363872,-2.4433194814443393,-2.524666219960592,4.970951634313103,0.1022,0.501,1.6955412456035823,0.0578,0.11580000000000001,0.9288196677085307,0.19670866249363872,3.0,579.0,289.0,9.460205440861081,0.133,0.47119999999999995,-3.6449610750371186,0.05519999999999999,0.12840000000000001,0.7274972705986544,-2.4433194814443393,0.0,642.0,321.0,1229.0,613.0,375.0,375.0,0.85,-4.84645483542775,100.0,5,median_of_seed_median_return_pct,-3.2966043264124223,1.0,1.0,-1.8746181848030616,10.49710148771742,-3.2966043264124223,0.8121926139690802,613.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.3445802185218048,False,COMPLETE
4,-1.6664798123013358,0.3321001532090087,0.005843060126585927,300,1.0,1.0,1.0,False,-0.15737707983294383,True,True,True,True,True,True,True,0.0,0.0,-4.410911588458063,0.0,-127.0,-423.0,-0.00754175159731707,"[-4.410911588458063, -0.00754175159731707, -423.0, -127.0, 0.0, 0.0, 0.0]",-0.7537465266510823,0.10500000000000001,10.589088411541937,-1000000.0,15.0,0.5240420318345151,650.0,-0.7537465266510823,-1.3757112502992719,4.007427310312364,1.1256875627675944,-2.8817397475447692,-4.007427310312364,5.657844291760141,0.08944,0.48556,2.122867427859954,0.047400000000000005,0.09323999999999999,1.0878847687519904,1.1256875627675944,3.0,466.2,232.0,8.963577719812841,0.12844000000000003,0.44028,-2.788313494851837,0.0502,0.11368,0.7186326671472888,-2.8817397475447692,0.6,568.4,283.4,5.0,5.0,10.589088411541937,0.10500000000000001,-0.5480006147652496,-1.6664798123013358,2.0,0.857541751597317,4.24349425700612,0.5179508934076482,-3.172283168003698,-4.24349425700612,5.628388821448127,0.08680000000000002,0.48040000000000005,2.4137425109200272,0.0472,0.09319999999999999,1.0809793089508,0.5179508934076482,3.0,466.0,232.0,9.542685179317633,0.128,0.4394,-2.956113377516887,0.0508,0.11679999999999999,0.676232360820652,-3.172283168003698,0.0,584.0,291.0,1050.0,523.0,300.0,300.0,0.85,-3.2401330861964506,100.0,5,median_of_seed_median_return_pct,-1.6664798123013358,1.0,1.0,-0.7537465266510823,10.589088411541937,-1.6664798123013358,0.857541751597317,523.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.500248580381783,True,COMPLETE
5,-3.071296200620388,0.8546236929367872,0.005157341668169063,300,1.0,1.0,1.0,False,-0.2815796482466959,True,True,True,True,False,True,True,0.0,0.0,-4.092620081940076,0.0,-131.0,-419.0,0.05157620766563542,"[-4.092620081940076, 0.05157620766563542, -419.0, -131.0, 0.0, 0.0, 0.0]",-0.5285535985385488,0.1042,10.907379918059924,-1000000.0,15.0,-1.158573010776287,650.0,-0.5285535985385488,-3.2535926321999753,3.34665158749079,0.5498254348839549,-2.796826152606835,-3.34665158749079,6.025342948057575,0.08944,0.48712,2.348496786035319,0.05095999999999999,0.09555999999999999,1.0074760196679091,0.5498254348839549,2.8,477.8,237.6,8.81764154324787,0.12564,0.4354,-2.7652340356735268,0.05072,0.11188000000000001,0.6811562363802952,-2.796826152606835,1.2,559.4,279.0,5.0,5.0,10.907379918059924,0.1042,-1.1273670932245206,-3.071296200620388,2.0,0.7984237923343646,3.5093070800909065,0.7710409522652784,-3.0744324599211392,-3.5093070800909065,6.274788951397281,0.09060000000000001,0.4880000000000001,2.6013466293665033,0.051000000000000004,0.0956,1.0445859987522605,0.7710409522652784,3.0,478.0,238.0,8.7987882483759,0.1216,0.43520000000000003,-3.3799992986366405,0.0514,0.11199999999999999,0.6581131471945578,-3.0744324599211392,1.0,560.0,279.0,1042.0,519.0,300.0,300.0,0.85,-5.040035130928144,100.0,5,median_of_seed_median_return_pct,-3.071296200620388,1.0,1.0,-0.5285535985385488,10.907379918059924,-3.071296200620388,0.7984237923343646,519.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.4623562217474504,False,COMPLETE
6,-0.10797949762642034,3.136282118621863,0.005426838628174849,350,1.0,1.0,1.0,False,-0.011587330396628435,True,True,True,True,True,True,True,0.0,0.0,-5.6812446067957865,0.0,-183.0,-367.0,-0.10725206335402004,"[-5.6812446067957865, -0.10725206335402004, -367.0, -183.0, 0.0, 0.0, 0.0]",-0.06522680062643012,0.0938,9.318755393204214,-1000000.0,15.0,0.6309196744033407,650.0,-0.06522680062643012,-0.05990592613191792,1.8354934088576846,0.7786063878853344,-1.0568870209723502,-1.8354934088576846,5.546612906855364,0.0764,0.49884000000000006,1.3576348247060348,0.05728,0.08603999999999998,1.0364625825755733,0.7786063878853344,3.4,430.2,214.6,8.586575204132341,0.1072,0.42691999999999997,-1.3963517786355526,0.05556,0.10236,0.852826079634218,-1.0568870209723502,1.4,511.8,254.2,5.0,5.0,9.318755393204214,0.0938,-0.3652552716500447,-0.10797949762642034,2.0,0.95725206335402,0.9867304613835115,0.2972294510066531,-0.6895010103768584,-0.9867304613835115,5.450997354618381,0.0756,0.4974,1.4691519170268919,0.05639999999999999,0.0864,0.9977222544330584,0.2972294510066531,3.0,432.0,216.0,8.487239973473216,0.10839999999999998,0.4244,-1.009061328894143,0.057600000000000005,0.1012,0.8543048876873652,-0.6895010103768584,1.0,506.0,252.0,938.0,467.0,350.0,350.0,0.85,-0.9466159541715036,100.0,5,median_of_seed_median_return_pct,-0.10797949762642034,1.0,1.0,-0.06522680062643012,9.318755393204214,-0.10797949762642034,0.95725206335402,467.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.5848845529381594,True,COMPLETE
7,-2.155488927185145,0.3999384989689106,0.0038594701586030697,275,1.0,1.0,1.0,False,-0.21349146400000168,True,True,True,True,False,True,True,0.0,0.0,-4.903629462276168,0.0,-152.0,-398.0,0.050821103761336306,"[-4.903629462276168, 0.050821103761336306, -398.0, -152.0, 0.0, 0.0, 0.0]",-0.21381393960403772,0.09989999999999999,10.096370537723832,-1000000.0,15.0,-0.4449509048273459,650.0,-0.21381393960403772,-1.8728281230798303,1.529104644058883,-0.12838870386820522,-1.6574933479270881,-1.4672165176011065,5.3313994912666995,0.08224,0.48836,1.5366481984497118,0.04716,0.09472,0.9153259972625717,-0.15933276709709343,2.4,473.6,235.8,8.787330433277031,0.11268,0.43167999999999995,-1.7009020205174603,0.04864,0.10616,0.7931205072866252,-1.6265492846982,1.4,530.8,264.4,5.0,5.0,10.096370537723832,0.09989999999999999,-0.05060052254244311,-2.155488927185145,2.0,0.7991788962386637,1.6241438436470856,-0.5135905778713035,-1.5692293024295756,-1.6241438436470856,5.173207376448252,0.083,0.49119999999999997,1.3829270877143585,0.047200000000000006,0.095,0.8770549636738011,-0.6683108940157445,2.0,475.0,236.0,8.556448053348342,0.11040000000000001,0.43279999999999996,-1.9390592813134138,0.049600000000000005,0.1056,0.7954126235514105,-1.5692293024295756,2.0,528.0,263.0,999.0,498.0,275.0,275.0,0.85,-2.8048804090924473,100.0,5,median_of_seed_median_return_pct,-2.155488927185145,1.0,1.0,-0.21381393960403772,10.096370537723832,-2.155488927185145,0.7991788962386637,498.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.0360000843470754,False,COMPLETE
8,-2.72950600547186,0.4491579476345678,0.003985601095823479,325,1.0,1.0,1.0,False,-0.26422777680483495,True,True,True,True,False,True,True,0.0,0.0,-4.669874838753461,0.0,-151.0,-399.0,0.05400340775323553,"[-4.669874838753461, 0.05400340775323553, -399.0, -151.0, 0.0, 0.0, 0.0]",-0.8263137401558659,0.1001,10.330125161246539,-1000000.0,15.0,1.889420945713538,650.0,-0.8263137401558659,-1.169761207833453,2.7196518440452366,1.0139355023206797,-1.7057163417245569,-2.7196518440452366,5.559880377134457,0.09688,0.47128,1.4137272100945668,0.049640000000000004,0.096,1.0652891335578507,1.0139355023206797,2.8,480.0,239.4,8.65834115712352,0.10948,0.43168000000000006,-2.2101115131151476,0.047920000000000004,0.10400000000000001,0.8047315818065588,-1.7057163417245569,0.8,520.0,259.0,5.0,5.0,10.330125161246539,0.1001,-0.5544051386113893,-2.72950600547186,2.0,0.7959965922467644,2.0951327836552625,1.450558554923287,-1.6807160037003666,-2.0951327836552625,5.594422078650196,0.0932,0.4664,1.422421000699996,0.0502,0.09540000000000001,1.1055705732980092,1.450558554923287,3.0,477.0,238.0,8.777956426472954,0.1052,0.43220000000000003,-2.108265996511718,0.0466,0.1016,0.7605368085656415,-1.6807160037003666,1.0,508.0,253.0,1001.0,499.0,325.0,325.0,0.85,-3.5522123933489635,100.0,5,median_of_seed_median_return_pct,-2.72950600547186,1.0,1.0,-0.8263137401558659,10.330125161246539,-2.72950600547186,0.7959965922467644,499.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,2.718099622272806,False,COMPLETE
9,-3.989810603578503,1.3291529720524704,0.03478395209918766,325,1.0,1.0,1.0,False,-0.32227390233535524,True,True,False,True,False,True,True,0.0,0.0,-2.619814776603466,0.0,7.0,-557.0,0.06443726920922122,"[-2.619814776603466, 0.06443726920922122, -557.0, 7.0, 0.0, 0.0, 0.0]",-2.1980876969415797,0.1319,12.380185223396534,-1000000.0,15.0,-0.9102212497483442,650.0,-2.1980876969415797,-3.375061320486774,4.236884147999708,0.7708865519615493,-3.4659975960381595,-4.236884147999708,5.877910831643291,0.1252,0.52208,1.502236920615986,0.05116,0.12835999999999997,1.0521544921482842,0.7708865519615493,3.6,641.8,319.6,10.35669044041282,0.14168,0.46208,-3.6389872052173238,0.04944,0.1368,0.6768831053964826,-3.4659975960381595,0.2,684.0,341.6,5.0,5.0,12.380185223396534,0.1319,-2.5754516901332245,-3.989810603578503,1.0,0.7855627307907788,4.4875693115509545,0.7848339809304994,-3.7027353306204547,-4.4875693115509545,5.495933251776918,0.126,0.5212,1.4648811993301614,0.0498,0.1282,1.0564759759919895,0.7848339809304994,4.0,641.0,320.0,10.476127210550846,0.1398,0.462,-3.7087924153705365,0.0498,0.1368,0.6698284399738518,-3.7027353306204547,0.0,684.0,342.0,1319.0,657.0,325.0,325.0,0.85,-4.915796808494899,100.0,5,median_of_seed_median_return_pct,-3.989810603578503,1.0,1.0,-2.1980876969415797,12.380185223396534,-3.989810603578503,0.7855627307907788,657.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.540248973266544,False,COMPLETE
