number,value,params_lambda_prior,params_noise_std,params_window_size,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,-1.0449456865912032,1.0,0.03,325,1.0,1.0,1.0,False,-0.10244849268746799,True,True,True,True,True,True,True,0.0,0.0,-4.800282471905746,0.0,-97.0,-453.0,-0.04599352490417108,"[-4.800282471905746, -0.04599352490417108, -453.0, -97.0, 0.0, 0.0, 0.0]",0.32364342865289014,0.1111,10.199717528094254,-1000000.0,15.0,-0.4676836573565213,650.0,0.32364342865289014,-1.6648041731484664,3.8635810326235713,0.9578329965677757,-2.905748036055795,-3.8635810326235713,5.526425062159672,0.1008,0.45904,3.3554934220386996,0.05027999999999999,0.10951999999999999,1.0656025497910369,0.9578329965677757,3.2,547.6,272.4,8.05991690621409,0.10524,0.44244000000000006,-3.020191887901884,0.044079999999999994,0.11035999999999999,0.6863638899148492,-2.905748036055795,0.8,551.8,274.8,5.0,5.0,10.199717528094254,0.1111,0.08393754180147468,-1.0449456865912032,1.0,0.8959935249041711,4.107385589151846,0.5805941943388238,-2.9501782336228133,-4.107385589151846,5.5238945589274895,0.10200000000000001,0.4588,3.242972565300284,0.048799999999999996,0.11299999999999999,1.0387930174991633,0.5805941943388238,3.0,565.0,281.0,8.32470772991407,0.1006,0.4404,-3.246148291337903,0.044,0.10959999999999999,0.7025383717906398,-2.9501782336228133,1.0,548.0,273.0,1111.0,553.0,325.0,325.0,0.85,-3.4858446470771853,100.0,5,median_of_seed_median_return_pct,-1.0449456865912032,1.0,1.0,0.32364342865289014,10.199717528094254,-1.0449456865912032,0.8959935249041711,553.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.3939598100711514,True,COMPLETE
1,0.16361078634012927,8.179425347547976,0.00842181566949099,400,1.0,1.0,1.0,False,0.019240784140524304,True,True,True,True,True,True,True,0.0,0.0,-6.496667435942092,0.0,-228.0,-322.0,-0.11502154472232695,"[-6.496667435942092, -0.11502154472232695, -322.0, -228.0, 0.0, 0.0, 0.0]",1.9415155452635218,0.0849,8.503332564057908,-1000000.0,15.0,0.7791999566692409,650.0,1.9415155452635218,-0.00987018711354759,3.4001336602742227,1.541217285562091,-1.8589163747121318,-3.4001336602742227,5.390755137782834,0.05584,0.48704000000000003,3.9870456046406324,0.07680000000000001,0.0808,1.0943228670384741,1.541217285562091,4.2,404.0,200.2,8.28623611635412,0.07555999999999999,0.42604,-1.9707458846678712,0.06068,0.09116,0.8483648528721599,-1.8589163747121318,1.4,455.8,227.2,5.0,5.0,8.503332564057908,0.0849,2.109309579035832,0.16361078634012927,3.0,0.9650215447223269,3.8392088055637985,1.3618281511929453,-1.765002837372287,-3.8392088055637985,5.232427546172302,0.0546,0.4888,4.099425563427223,0.0782,0.07959999999999999,1.093268204872626,1.3618281511929453,5.0,398.0,197.0,8.16652456921837,0.07579999999999999,0.4282,-1.9327519254676175,0.0622,0.0896,0.8641962198748426,-1.765002837372287,2.0,448.0,223.0,849.0,422.0,400.0,400.0,0.85,-1.5240744047712251,100.0,5,median_of_seed_median_return_pct,0.16361078634012927,1.0,1.0,1.9415155452635218,8.503332564057908,0.16361078634012927,0.9650215447223269,422.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.9395545394854868,True,COMPLETE
2,0.41300035430884563,0.528121690350411,0.005449671235716982,275,1.0,1.0,1.0,False,0.04623482664860289,True,True,True,True,True,True,True,0.0,0.0,-6.067332047165239,0.0,-222.0,-328.0,-0.19228688855745613,"[-6.067332047165239, -0.19228688855745613, -328.0, -222.0, 0.0, 0.0, 0.0]",2.780214162634922,0.0861,8.93266795283476,-1000000.0,15.0,1.4943527515514532,650.0,2.780214162634922,0.2274851088164831,4.488609114726872,1.841927909991665,-2.646681204735206,-4.488609114726872,6.65692776298251,0.06984,0.3941199999999999,5.0781813162169085,0.04479999999999999,0.07832000000000001,1.345792876795502,1.841927909991665,3.6,391.6,195.0,7.280473035858518,0.09084,0.41735999999999995,-2.3357417691544473,0.03976,0.09291999999999999,0.7668844483878239,-2.646681204735206,1.4,464.6,230.6,5.0,5.0,8.93266795283476,0.0861,3.5313090185712532,0.41300035430884563,3.0,1.042286888557456,4.065204154262569,1.7953775395768368,-3.251629755486396,-4.065204154262569,6.6005378297198325,0.07020000000000001,0.39039999999999997,5.84367538100482,0.045,0.07780000000000001,1.3158099187836663,1.7953775395768368,4.0,389.0,193.0,7.316648042464557,0.09380000000000001,0.41980000000000006,-2.467084724346764,0.039599999999999996,0.0972,0.7638704768170383,-3.251629755486396,1.0,486.0,241.0,861.0,428.0,275.0,275.0,0.85,-1.1805011793448172,100.0,5,median_of_seed_median_return_pct,0.41300035430884563,1.0,1.0,2.780214162634922,8.93266795283476,0.41300035430884563,1.042286888557456,428.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.0577399754472983,True,COMPLETE
3,-3.70056568842444,1.6064890102402942,0.020956020497478783,250,1.0,1.0,1.0,False,-0.3318158859208497,True,True,True,True,False,True,True,0.0,0.0,-3.8475330885539307,0.0,-94.0,-456.0,0.031004758741661975,"[-3.8475330885539307, 0.031004758741661975, -456.0, -94.0, 0.0, 0.0, 0.0]",-1.0632806633074576,0.1117,11.15246691144607,-1000000.0,15.0,-0.323081804025549,650.0,-1.0632806633074576,-3.0665726959435995,5.078273885626772,1.646639027883183,-3.431634857743589,-5.078273885626772,6.269125835471483,0.08992,0.46628,3.434252500252954,0.05584,0.10507999999999999,1.2743382359377793,1.646639027883183,3.4,525.4,261.6,10.525435478780285,0.12708,0.46196000000000004,-4.361750420799897,0.04468,0.122,0.6859764136677455,-3.431634857743589,0.4,610.0,303.6,5.0,5.0,11.15246691144607,0.1117,-1.3616544695634354,-3.70056568842444,2.0,0.818995241258338,5.119728675794278,1.6643245271813045,-3.7400923620889315,-5.119728675794278,6.4122397395655835,0.09040000000000001,0.46460000000000007,3.3817482795274563,0.054799999999999995,0.10540000000000001,1.2775471643133307,1.6643245271813045,3.0,527.0,262.0,10.822308022824023,0.13,0.4636,-4.367266613681096,0.045200000000000004,0.1212,0.7058400558276053,-3.7400923620889315,0.0,606.0,301.0,1117.0,556.0,250.0,250.0,0.85,-5.120950122551305,100.0,5,median_of_seed_median_return_pct,-3.70056568842444,1.0,1.0,-1.0632806633074576,11.15246691144607,-3.70056568842444,0.818995241258338,556.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.8524672450675703,False,COMPLETE
4,-2.616396993661807,0.7828656598108041,0.007405089700532431,400,1.0,1.0,1.0,False,-0.27465459965941813,True,True,True,True,False,True,True,0.0,0.0,-5.473864275689408,0.0,-225.0,-325.0,0.01057782269205898,"[-5.473864275689408, 0.01057782269205898, -325.0, -225.0, 0.0, 0.0, 0.0]",-0.2403999303155077,0.08549999999999999,9.526135724310592,-1000000.0,15.0,0.9963864341739459,650.0,-0.2403999303155077,-2.1885898449921037,3.8655350179343166,0.3768606441104194,-3.488674373823897,-3.8655350179343166,6.185058704602946,0.06140000000000001,0.4355200000000001,3.6009832259116488,0.056440000000000004,0.07560000000000001,0.9590823080731594,0.3768606441104194,2.8,378.0,187.6,8.566893362274133,0.09580000000000001,0.42896,-3.6589179779576426,0.05072,0.09744,0.8032757899457689,-3.488674373823897,1.0,487.2,242.6,5.0,5.0,9.526135724310592,0.08549999999999999,-0.9387326053195213,-2.616396993661807,2.0,0.839422177307941,4.102957313414812,0.8372778973138484,-3.2238677032915275,-4.102957313414812,5.373732225646711,0.0622,0.438,3.0610108857775216,0.0568,0.077,0.9260577340690084,0.8372778973138484,3.0,385.0,191.0,8.581589260155697,0.0944,0.433,-3.967078483810385,0.0498,0.0952,0.7065336595772201,-3.2238677032915275,1.0,476.0,237.0,855.0,425.0,400.0,400.0,0.85,-4.45845103103355,100.0,5,median_of_seed_median_return_pct,-2.616396993661807,1.0,1.0,-0.2403999303155077,9.526135724310592,-2.616396993661807,0.839422177307941,425.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,2.2389920581004596,False,COMPLETE
5,-3.9883255742374835,0.9776387732603049,0.004685232602259073,350,1.0,1.0,1.0,False,-0.42955012783828783,True,True,True,True,False,True,True,0.0,0.0,-5.715110261266263,0.0,-223.0,-327.0,0.047418913134889884,"[-5.715110261266263, 0.047418913134889884, -327.0, -223.0, 0.0, 0.0, 0.0]",0.05458727575810414,0.0859,9.284889738733737,-1000000.0,15.0,-0.5067673348289836,650.0,0.05458727575810414,-3.301985050391134,4.99391239148967,1.3781507194008036,-3.6157616720888663,-4.99391239148967,6.464417046723712,0.06280000000000001,0.41972000000000004,3.7495366295153447,0.05816,0.07464,1.114772606209511,1.3781507194008036,3.8,373.2,185.4,8.267931013047562,0.09756000000000001,0.42128,-3.5898029125282016,0.047040000000000005,0.09675999999999998,0.6539476560842746,-3.6157616720888663,1.2,483.8,240.6,5.0,5.0,9.284889738733737,0.0859,-0.16707817229688188,-3.9883255742374835,2.0,0.8025810868651101,5.341403504521336,1.4367297481531427,-3.8252999788858544,-5.341403504521336,7.0396876669386765,0.06300000000000001,0.4232,3.7922660917965283,0.058399999999999994,0.07339999999999999,1.0929529014831691,1.4367297481531427,4.0,367.0,182.0,8.562625795540935,0.09820000000000001,0.4232,-3.5906994123234526,0.0468,0.0958,0.6355314344241091,-3.8252999788858544,1.0,479.0,238.0,859.0,427.0,350.0,350.0,0.85,-4.427566435287222,100.0,5,median_of_seed_median_return_pct,-3.9883255742374835,1.0,1.0,0.05458727575810414,9.284889738733737,-3.9883255742374835,0.8025810868651101,427.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.5899599887627551,False,COMPLETE
6,-6.074521492862006,0.4099167085397802,0.028981669009909384,250,1.0,1.0,1.0,False,-0.47876775004966726,True,True,True,True,False,True,True,0.0,0.0,-2.3121748650951606,0.0,-70.0,-480.0,0.1047730582797387,"[-2.3121748650951606, 0.1047730582797387, -480.0, -70.0, 0.0, 0.0, 0.0]",-2.381902739565785,0.1165,12.68782513490484,-1000000.0,15.0,-4.803202457478295,650.0,-2.381902739565785,-6.258962488102233,5.536257968684966,0.9158374591635485,-4.620420509521416,-5.536257968684966,6.350712799330924,0.10216,0.44496,2.85349744264308,0.04496,0.11184000000000001,1.0843950173990644,0.9158374591635485,3.0,559.2,278.8,10.759902709427195,0.1226,0.45680000000000004,-5.132516165554328,0.03779999999999999,0.12244,0.6167279538799637,-4.620420509521416,0.2,612.2,304.4,5.0,5.0,12.68782513490484,0.1165,-2.146158556039726,-6.074521492862006,1.0,0.7452269417202613,6.9154780605787725,0.9146735332458134,-5.307750859502713,-6.9154780605787725,5.898140543764152,0.1006,0.44700000000000006,2.487033012177291,0.045399999999999996,0.11200000000000002,1.151510348859588,0.9146735332458134,3.0,560.0,279.0,10.795298282904376,0.1268,0.4556,-4.789675745843863,0.0376,0.125,0.5846283823621722,-5.307750859502713,0.0,625.0,311.0,1165.0,580.0,250.0,250.0,0.85,-8.8096473208381,100.0,5,median_of_seed_median_return_pct,-6.074521492862006,1.0,1.0,-2.381902739565785,12.68782513490484,-6.074521492862006,0.7452269417202613,580.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,1.564869021202416,False,COMPLETE
7,-2.788774099791358,6.7077952894132675,0.03729763244738083,400,1.0,1.0,1.0,False,-0.2570541899110195,True,True,True,True,False,True,True,0.0,0.0,-4.151026479059903,0.0,-26.0,-524.0,0.038090981997027984,"[-4.151026479059903, 0.038090981997027984, -524.0, -26.0, 0.0, 0.0, 0.0]",-0.07772523599990504,0.12530000000000002,10.848973520940097,-1000000.0,15.0,-1.9598574732451968,650.0,-0.07772523599990504,-2.9614582891741414,4.160943163259708,0.600003430426912,-3.560939732832795,-4.160943163259708,8.70583407677607,0.10271999999999999,0.51936,4.379938983222857,0.0722,0.12336,0.922122684183479,0.600003430426912,3.0,616.8,307.0,10.733369475457634,0.11707999999999999,0.46279999999999993,-4.354402163048341,0.0596,0.12724000000000002,0.6787134911928043,-3.560939732832795,0.6,636.2,317.0,5.0,5.0,10.848973520940097,0.12530000000000002,0.08802419893197282,-2.788774099791358,2.0,0.811909018002972,3.4040790756453942,0.6862737814044007,-2.7178052942409936,-3.4040790756453942,8.637799018845083,0.0998,0.5202,5.519551795173756,0.0708,0.1244,0.9112406855586515,0.6862737814044007,3.0,622.0,310.0,10.329758050162607,0.121,0.46900000000000003,-4.469616600892676,0.0588,0.1312,0.6873255251461298,-2.7178052942409936,1.0,656.0,327.0,1253.0,624.0,400.0,400.0,0.85,-3.9382715207802343,100.0,5,median_of_seed_median_return_pct,-2.788774099791358,1.0,1.0,-0.07772523599990504,10.848973520940097,-2.788774099791358,0.811909018002972,624.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.7614582741743635,False,COMPLETE
8,-4.229314684083619,0.346135010168059,0.028013236535592304,300,1.0,1.0,1.0,False,-0.37896499968629394,True,True,True,True,False,True,True,0.0,0.0,-3.839827721334075,0.0,-107.0,-443.0,0.045493689573784635,"[-3.839827721334075, 0.045493689573784635, -443.0, -107.0, 0.0, 0.0, 0.0]",-1.3938380288401515,0.1091,11.160172278665925,-1000000.0,15.0,-3.380552523340541,650.0,-1.3938380288401515,-4.300090845917263,3.737184585708344,0.6362330689320284,-3.100951516776316,-3.737184585708344,7.416904772462689,0.10356000000000001,0.43388,2.570459894273334,0.04307999999999999,0.10912,1.023747276686808,0.6362330689320284,2.8,545.6,271.2,9.564119433301238,0.10544,0.44084,-3.8590257065973548,0.04064,0.10932,0.6967288981589668,-3.100951516776316,0.6,546.6,272.4,5.0,5.0,11.160172278665925,0.1091,-1.5104422322184896,-4.229314684083619,1.0,0.8045063104262153,3.319983674925797,0.1230893441955816,-2.8977702268581207,-3.319983674925797,7.630518736433267,0.10500000000000001,0.4304,2.330833417708593,0.04440000000000001,0.10940000000000001,0.9887849909290126,0.1230893441955816,3.0,547.0,272.0,8.583742051121824,0.10740000000000001,0.441,-3.9756668077745116,0.0406,0.10659999999999999,0.6739896117904021,-2.8977702268581207,1.0,533.0,266.0,1091.0,543.0,300.0,300.0,0.85,-5.395152110061541,100.0,5,median_of_seed_median_return_pct,-4.229314684083619,1.0,1.0,-1.3938380288401515,11.160172278665925,-4.229314684083619,0.8045063104262153,543.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,0.8623442107669462,False,COMPLETE
9,-3.174107937959947,0.35951065395153403,0.027516586951459053,275,1.0,1.0,1.0,False,-0.28652350464792425,True,True,True,True,False,True,True,0.0,0.0,-3.92199806832517,0.0,-108.0,-442.0,0.01283159444987636,"[-3.92199806832517, 0.01283159444987636, -442.0, -108.0, 0.0, 0.0, 0.0]",-0.40175497904643204,0.10880000000000001,11.07800193167483,-1000000.0,15.0,0.616168385446203,650.0,-0.40175497904643204,-2.840201507283407,4.316866375753534,0.8430114220473239,-3.4738549537062107,-4.316866375753534,7.049660792291109,0.09836,0.437,2.8908374418579537,0.04576,0.10608000000000002,1.113465892822802,0.8430114220473239,3.2,530.4,264.4,9.034668288880624,0.10668,0.44420000000000004,-3.3128549278173365,0.041080000000000005,0.10972,0.6759440904943015,-3.4738549537062107,0.8,548.6,272.8,5.0,5.0,11.07800193167483,0.10880000000000001,-0.9036593941189459,-3.174107937959947,2.0,0.8371684055501236,4.6429464685421635,1.0848476090756565,-3.630767085858011,-4.6429464685421635,7.254128427628448,0.1008,0.4372,2.9317262282457173,0.0466,0.10719999999999999,1.0806750613474463,1.0848476090756565,3.0,536.0,267.0,8.946401757327981,0.11080000000000001,0.43979999999999997,-3.228329203700877,0.0418,0.10959999999999999,0.6672781638588089,-3.630767085858011,1.0,548.0,273.0,1088.0,542.0,275.0,275.0,0.85,-5.151145806816293,100.0,5,median_of_seed_median_return_pct,-3.174107937959947,1.0,1.0,-0.40175497904643204,11.07800193167483,-3.174107937959947,0.8371684055501236,542.0,feasible_if_all_values_le_0,1.0,1.0,3142|3143|3144|3145|3146,2.362790328340426,False,COMPLETE
