number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,-1.154177316421201,1.0,0.1,325,1.0,1.0,1.0,False,-0.09854815359510317,True,True,True,True,True,True,True,0.0,0.0,-3.2881893336807106,0.0,-154.0,-396.0,-0.01687192994098663,"[-3.2881893336807106, -0.01687192994098663, -396.0, -154.0, 0.0, 0.0, 0.0]",-0.9436333109001295,0.0997,11.71181066631929,-1000000.0,15.0,-1.154177316421201,650.0,-0.9436333109001295,-1.154177316421201,3.510129467971912,1.403851661408706,-2.106277806563206,-3.510129467971912,5.06041431744928,0.0886,0.515,1.0722504849750814,0.0548,0.09559999999999999,1.1939755668696401,1.403851661408706,3.0,478.0,238.0,9.767672953778728,0.10339999999999998,0.4528,-1.9789143982845236,0.054000000000000006,0.10379999999999998,0.6669196524631607,-2.106277806563206,1.0,519.0,258.0,5.0,5.0,11.71181066631929,0.0997,-0.9436333109001295,-1.154177316421201,1.0,0.8668719299409866,3.510129467971912,1.403851661408706,-2.106277806563206,-3.510129467971912,5.06041431744928,0.0886,0.515,1.0722504849750814,0.0548,0.09559999999999999,1.1939755668696401,1.403851661408706,3.0,478.0,238.0,9.767672953778728,0.10339999999999998,0.4528,-1.9789143982845236,0.054000000000000006,0.10379999999999998,0.6669196524631607,-2.106277806563206,1.0,519.0,258.0,997.0,496.0,325.0,325.0,0.85,-1.154177316421201,100.0,1,median_of_seed_median_return_pct,-1.154177316421201,1.0,1.0,-0.9436333109001295,11.71181066631929,-1.154177316421201,0.8668719299409866,496.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
1,-2.147351449601753,0.7821861634688911,0.11236297361827022,275,1.0,1.0,1.0,False,-0.2012157996587369,True,True,True,True,False,True,True,0.0,0.0,-4.32811710987073,0.0,-159.0,-391.0,0.019350888047531378,"[-4.32811710987073, 0.019350888047531378, -391.0, -159.0, 0.0, 0.0, 0.0]",-2.793993237734873,0.0986,10.67188289012927,-1000000.0,15.0,-2.147351449601753,650.0,-2.793993237734873,-2.147351449601753,2.369948731222471,0.17040263241523412,-2.199546098807237,-2.369948731222471,5.3135423712267205,0.0744,0.5130000000000001,0.09464547398956302,0.05619999999999999,0.08940000000000001,0.9689375830848206,0.17040263241523412,3.0,447.0,223.0,9.183254134972852,0.119,0.48339999999999994,-2.840448408397176,0.0508,0.1078,0.7640347919376848,-2.199546098807237,1.0,539.0,268.0,5.0,5.0,10.67188289012927,0.0986,-2.793993237734873,-2.147351449601753,1.0,0.8306491119524686,2.369948731222471,0.17040263241523412,-2.199546098807237,-2.369948731222471,5.3135423712267205,0.0744,0.5130000000000001,0.09464547398956302,0.05619999999999999,0.08940000000000001,0.9689375830848206,0.17040263241523412,3.0,447.0,223.0,9.183254134972852,0.119,0.48339999999999994,-2.840448408397176,0.0508,0.1078,0.7640347919376848,-2.199546098807237,1.0,539.0,268.0,986.0,491.0,275.0,275.0,0.85,-2.147351449601753,100.0,1,median_of_seed_median_return_pct,-2.147351449601753,1.0,1.0,-2.793993237734873,10.67188289012927,-2.147351449601753,0.8306491119524686,491.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
2,-1.7044742897186271,0.33180168311635055,0.11218098683541525,400,1.0,1.0,1.0,False,-0.1543117943391813,True,True,True,True,True,True,True,0.0,0.0,-3.954348583542819,0.0,-119.0,-431.0,-0.01924586041136722,"[-3.954348583542819, -0.01924586041136722, -431.0, -119.0, 0.0, 0.0, 0.0]",-0.620204973003813,0.10669999999999999,11.045651416457181,-1000000.0,15.0,-1.7044742897186271,650.0,-0.620204973003813,-1.7044742897186271,3.7013370454271888,1.1041927439806587,-2.59714430144653,-3.7013370454271888,5.217986435628552,0.0834,0.5271999999999999,1.8975220808793345,0.06620000000000001,0.09219999999999999,1.0315494551896582,1.1041927439806587,3.0,461.0,230.0,9.28324257517078,0.14,0.48919999999999997,-2.4763975961053197,0.058600000000000006,0.1212,0.7480207912440467,-2.59714430144653,0.0,606.0,301.0,5.0,5.0,11.045651416457181,0.10669999999999999,-0.620204973003813,-1.7044742897186271,2.0,0.8692458604113672,3.7013370454271888,1.1041927439806587,-2.59714430144653,-3.7013370454271888,5.217986435628552,0.0834,0.5271999999999999,1.8975220808793345,0.06620000000000001,0.09219999999999999,1.0315494551896582,1.1041927439806587,3.0,461.0,230.0,9.28324257517078,0.14,0.48919999999999997,-2.4763975961053197,0.058600000000000006,0.1212,0.7480207912440467,-2.59714430144653,0.0,606.0,301.0,1067.0,531.0,400.0,400.0,0.85,-1.7044742897186271,100.0,1,median_of_seed_median_return_pct,-1.7044742897186271,1.0,1.0,-0.620204973003813,11.045651416457181,-1.7044742897186271,0.8692458604113672,531.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
3,-1.000664110756,0.9238328633922787,0.07318836674843336,325,1.0,1.0,1.0,False,-0.08623773022519542,True,True,True,True,True,True,True,0.0,0.0,-3.396446565291864,0.0,-135.0,-415.0,-0.06047634208558772,"[-3.396446565291864, -0.06047634208558772, -415.0, -135.0, 0.0, 0.0, 0.0]",-0.2476515303424387,0.1034,11.603553434708136,-1000000.0,15.0,-1.000664110756,650.0,-0.2476515303424387,-1.000664110756,5.486957335896259,2.3536685380554756,-3.133288797840783,-5.486957335896259,5.201927652401849,0.094,0.5014000000000001,2.1807921092648774,0.0512,0.09540000000000001,1.237224636978155,2.3536685380554756,4.0,477.0,238.0,9.140523516808718,0.1226,0.46719999999999995,-2.3935385338101445,0.048400000000000006,0.11139999999999999,0.6993658714206262,-3.133288797840783,0.0,557.0,277.0,5.0,5.0,11.603553434708136,0.1034,-0.2476515303424387,-1.000664110756,2.0,0.9104763420855877,5.486957335896259,2.3536685380554756,-3.133288797840783,-5.486957335896259,5.201927652401849,0.094,0.5014000000000001,2.1807921092648774,0.0512,0.09540000000000001,1.237224636978155,2.3536685380554756,4.0,477.0,238.0,9.140523516808718,0.1226,0.46719999999999995,-2.3935385338101445,0.048400000000000006,0.11139999999999999,0.6993658714206262,-3.133288797840783,0.0,557.0,277.0,1034.0,515.0,325.0,325.0,0.85,-1.000664110756,100.0,1,median_of_seed_median_return_pct,-1.000664110756,1.0,1.0,-0.2476515303424387,11.603553434708136,-1.000664110756,0.9104763420855877,515.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
4,-3.5733755272664314,1.5802281513960459,0.049985833606859244,300,1.0,1.0,1.0,False,-0.24341001435853948,True,True,True,True,False,True,True,0.0,0.0,-0.31952131598455935,0.0,-154.0,-396.0,0.09060156930173557,"[-0.31952131598455935, 0.09060156930173557, -396.0, -154.0, 0.0, 0.0, 0.0]",-1.7657203231962668,0.0996,14.68047868401544,-1000000.0,15.0,-3.5733755272664314,650.0,-1.7657203231962668,-3.5733755272664314,3.8995558991677726,0.20160261111503708,-3.6979532880527355,-3.8995558991677726,5.624877425415353,0.0756,0.511,2.754056083404559,0.055600000000000004,0.09419999999999999,1.0058381672926855,0.20160261111503708,4.0,471.0,234.0,13.146418670578619,0.11339999999999999,0.4598,-4.328136522284872,0.0538,0.10500000000000001,0.6724856011307371,-3.6979532880527355,1.0,525.0,262.0,5.0,5.0,14.68047868401544,0.0996,-1.7657203231962668,-3.5733755272664314,2.0,0.7593984306982644,3.8995558991677726,0.20160261111503708,-3.6979532880527355,-3.8995558991677726,5.624877425415353,0.0756,0.511,2.754056083404559,0.055600000000000004,0.09419999999999999,1.0058381672926855,0.20160261111503708,4.0,471.0,234.0,13.146418670578619,0.11339999999999999,0.4598,-4.328136522284872,0.0538,0.10500000000000001,0.6724856011307371,-3.6979532880527355,1.0,525.0,262.0,996.0,496.0,300.0,300.0,0.85,-3.5733755272664314,100.0,1,median_of_seed_median_return_pct,-3.5733755272664314,1.0,1.0,-1.7657203231962668,14.68047868401544,-3.5733755272664314,0.7593984306982644,496.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
5,-1.4213168992054936,0.3585054288946365,0.043764542843502854,350,1.0,1.0,1.0,False,-0.12960965354899762,True,True,True,True,True,True,True,0.0,0.0,-4.033865454565241,0.0,-145.0,-405.0,-0.03754175471425936,"[-4.033865454565241, -0.03754175471425936, -405.0, -145.0, 0.0, 0.0, 0.0]",-2.2640225100436617,0.1014,10.966134545434759,-1000000.0,15.0,-1.4213168992054936,650.0,-2.2640225100436617,-1.4213168992054936,2.01556658009141,0.3134460304818232,-1.702120549609587,-2.01556658009141,7.890606503459963,0.0878,0.4972,0.44033706571039,0.051000000000000004,0.09179999999999999,0.9802649905057153,0.3134460304818232,3.0,459.0,229.0,10.49365753163528,0.11639999999999999,0.4528,-2.7128469343711332,0.04859999999999999,0.11099999999999999,0.8048282897405441,-1.702120549609587,1.0,555.0,276.0,5.0,5.0,10.966134545434759,0.1014,-2.2640225100436617,-1.4213168992054936,2.0,0.8875417547142593,2.01556658009141,0.3134460304818232,-1.702120549609587,-2.01556658009141,7.890606503459963,0.0878,0.4972,0.44033706571039,0.051000000000000004,0.09179999999999999,0.9802649905057153,0.3134460304818232,3.0,459.0,229.0,10.49365753163528,0.11639999999999999,0.4528,-2.7128469343711332,0.04859999999999999,0.11099999999999999,0.8048282897405441,-1.702120549609587,1.0,555.0,276.0,1014.0,505.0,350.0,350.0,0.85,-1.4213168992054936,100.0,1,median_of_seed_median_return_pct,-1.4213168992054936,1.0,1.0,-2.2640225100436617,10.966134545434759,-1.4213168992054936,0.8875417547142593,505.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
6,-0.25224592093406883,8.73695343523406,0.030115837616712163,375,1.0,1.0,1.0,False,-0.026387940965428888,True,True,True,True,True,True,True,0.0,0.0,-5.440863830014672,0.0,-179.0,-371.0,-0.09386907516806053,"[-5.440863830014672, -0.09386907516806053, -371.0, -179.0, 0.0, 0.0, 0.0]",0.7590062167537548,0.09459999999999999,9.559136169985328,-1000000.0,15.0,-0.25224592093406883,650.0,0.7590062167537548,-0.25224592093406883,0.8037458308416179,0.5937983671346903,-0.20994746370692763,-0.8037458308416179,4.51501384804629,0.06999999999999998,0.5004,1.374078704773103,0.06760000000000001,0.0884,1.066057438869223,0.5937983671346903,3.0,442.0,220.0,7.6700928715436545,0.0982,0.44400000000000006,-0.6070530596590661,0.0772,0.1008,0.9558621774032092,-0.20994746370692763,2.0,504.0,251.0,5.0,5.0,9.559136169985328,0.09459999999999999,0.7590062167537548,-0.25224592093406883,2.0,0.9438690751680605,0.8037458308416179,0.5937983671346903,-0.20994746370692763,-0.8037458308416179,4.51501384804629,0.06999999999999998,0.5004,1.374078704773103,0.06760000000000001,0.0884,1.066057438869223,0.5937983671346903,3.0,442.0,220.0,7.6700928715436545,0.0982,0.44400000000000006,-0.6070530596590661,0.0772,0.1008,0.9558621774032092,-0.20994746370692763,2.0,504.0,251.0,946.0,471.0,375.0,375.0,0.85,-0.25224592093406883,100.0,1,median_of_seed_median_return_pct,-0.25224592093406883,1.0,1.0,0.7590062167537548,9.559136169985328,-0.25224592093406883,0.9438690751680605,471.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
7,-0.7237858073924852,1.4196223716226133,0.0495700052756821,375,1.0,1.0,1.0,False,-0.08444122506024934,True,True,True,True,True,True,True,0.0,0.0,-6.428525499528702,0.0,-151.0,-399.0,-0.08064375013082958,"[-6.428525499528702, -0.08064375013082958, -399.0, -151.0, 0.0, 0.0, 0.0]",-0.8171788748669483,0.10029999999999999,8.571474500471298,-1000000.0,15.0,-0.7237858073924852,650.0,-0.8171788748669483,-0.7237858073924852,2.5564481577423748,1.0401265212188981,-1.5163216365234766,-2.5564481577423748,4.1332678297562815,0.08220000000000001,0.5062,1.6660193250717328,0.0598,0.08879999999999999,0.993662592281701,1.0401265212188981,4.0,444.0,221.0,7.982257445276231,0.11699999999999999,0.46020000000000005,-2.3997495508103284,0.0698,0.11179999999999998,0.8387271211849645,-1.5163216365234766,0.0,559.0,278.0,5.0,5.0,8.571474500471298,0.10029999999999999,-0.8171788748669483,-0.7237858073924852,1.0,0.9306437501308296,2.5564481577423748,1.0401265212188981,-1.5163216365234766,-2.5564481577423748,4.1332678297562815,0.08220000000000001,0.5062,1.6660193250717328,0.0598,0.08879999999999999,0.993662592281701,1.0401265212188981,4.0,444.0,221.0,7.982257445276231,0.11699999999999999,0.46020000000000005,-2.3997495508103284,0.0698,0.11179999999999998,0.8387271211849645,-1.5163216365234766,0.0,559.0,278.0,1003.0,499.0,375.0,375.0,0.85,-0.7237858073924852,100.0,1,median_of_seed_median_return_pct,-0.7237858073924852,1.0,1.0,-0.8171788748669483,8.571474500471298,-0.7237858073924852,0.9306437501308296,499.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
8,-3.569149367522162,4.624683587000661,0.11656726146834466,275,1.0,1.0,1.0,False,-0.2799681409262937,True,True,True,True,False,True,True,0.0,0.0,-2.2515874280788246,0.0,-152.0,-398.0,0.13628227456358144,"[-2.2515874280788246, 0.13628227456358144, -398.0, -152.0, 0.0, 0.0, 0.0]",-2.091487289061369,0.1,12.748412571921175,-1000000.0,15.0,-3.569149367522162,650.0,-2.091487289061369,-3.569149367522162,3.7569928657217977,-0.24201348151059454,-3.9990063472323922,-3.7569928657217977,5.270681968377977,0.0802,0.5206,0.6896170781670751,0.0608,0.09540000000000001,0.8949088034197251,-0.24201348151059454,2.0,477.0,238.0,9.915771342498426,0.1156,0.4864,-2.7315384015210453,0.064,0.1046,0.6192676186834976,-3.9990063472323922,1.0,523.0,260.0,5.0,5.0,12.748412571921175,0.1,-2.091487289061369,-3.569149367522162,2.0,0.7137177254364185,3.7569928657217977,-0.24201348151059454,-3.9990063472323922,-3.7569928657217977,5.270681968377977,0.0802,0.5206,0.6896170781670751,0.0608,0.09540000000000001,0.8949088034197251,-0.24201348151059454,2.0,477.0,238.0,9.915771342498426,0.1156,0.4864,-2.7315384015210453,0.064,0.1046,0.6192676186834976,-3.9990063472323922,1.0,523.0,260.0,1000.0,498.0,275.0,275.0,0.85,-3.569149367522162,100.0,1,median_of_seed_median_return_pct,-3.569149367522162,1.0,1.0,-2.091487289061369,12.748412571921175,-3.569149367522162,0.7137177254364185,498.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
9,-1.6502674347711133,1.4303209498497353,0.19038700880005283,300,1.0,1.0,1.0,False,-0.1579454745528247,True,True,True,True,False,True,True,0.0,0.0,-4.551663702658457,0.0,-129.0,-421.0,0.0004353051919521178,"[-4.551663702658457, 0.0004353051919521178, -421.0, -129.0, 0.0, 0.0, 0.0]",-0.5307916964716064,0.1045,10.448336297341543,-1000000.0,15.0,-1.6502674347711133,650.0,-0.5307916964716064,-1.6502674347711133,2.584796197201733,0.36028706812758493,-2.224509129074148,-2.584796197201733,5.253141858486988,0.0842,0.5386000000000001,2.6050173603709226,0.0588,0.1022,0.9919709446113477,0.36028706812758493,3.0,511.0,255.0,10.448336297341543,0.1068,0.489,-2.9666261820336715,0.05600000000000001,0.1068,0.7504301181028165,-2.224509129074148,0.0,534.0,266.0,5.0,5.0,10.448336297341543,0.1045,-0.5307916964716064,-1.6502674347711133,1.0,0.8495646948080479,2.584796197201733,0.36028706812758493,-2.224509129074148,-2.584796197201733,5.253141858486988,0.0842,0.5386000000000001,2.6050173603709226,0.0588,0.1022,0.9919709446113477,0.36028706812758493,3.0,511.0,255.0,10.448336297341543,0.1068,0.489,-2.9666261820336715,0.05600000000000001,0.1068,0.7504301181028165,-2.224509129074148,0.0,534.0,266.0,1045.0,521.0,300.0,300.0,0.85,-1.6502674347711133,100.0,1,median_of_seed_median_return_pct,-1.6502674347711133,1.0,1.0,-0.5307916964716064,10.448336297341543,-1.6502674347711133,0.8495646948080479,521.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
