number,value,params_lambda_prior,params_ucb_alpha,params_window_size,user_attrs_all_symbols_active_share,user_attrs_all_symbols_have_long_share,user_attrs_calmar_drawdown_floor_abs,user_attrs_calmar_drawdown_floor_applied,user_attrs_calmar_like,user_attrs_constraint_drawdown_ok,user_attrs_constraint_finite_objective_return_ok,user_attrs_constraint_max_trades_ok,user_attrs_constraint_min_trades_ok,user_attrs_constraint_profit_factor_ok,user_attrs_constraint_symbols_active_ok,user_attrs_constraint_symbols_have_long_ok,user_attrs_constraint_value_all_symbols_active,user_attrs_constraint_value_all_symbols_have_long,user_attrs_constraint_value_drawdown,user_attrs_constraint_value_finite_objective_return,user_attrs_constraint_value_max_trades,user_attrs_constraint_value_min_trades,user_attrs_constraint_value_profit_factor,user_attrs_constraints_values,user_attrs_diagnostic_mean_of_seed_mean_return_pct,user_attrs_diagnostic_median_mean_turnover,user_attrs_effective_drawdown_abs_for_calmar,user_attrs_invalid_score,user_attrs_max_drawdown_abs,user_attrs_max_seed_median_return_pct,user_attrs_max_total_trades,user_attrs_mean_of_seed_mean_return_pct,user_attrs_mean_of_seed_median_return_pct,user_attrs_mean_seed_half_return_gap_pct,user_attrs_mean_seed_max_half_median_return_pct,user_attrs_mean_seed_min_half_median_return_pct,user_attrs_mean_seed_second_minus_first_half_median_return_pct,user_attrs_mean_seed_val_first_max_drawdown_abs,user_attrs_mean_seed_val_first_mean_constraint_applied_ratio,user_attrs_mean_seed_val_first_mean_executed_action_1_ratio,user_attrs_mean_seed_val_first_mean_return_pct,user_attrs_mean_seed_val_first_mean_threshold_applied_ratio,user_attrs_mean_seed_val_first_mean_turnover,user_attrs_mean_seed_val_first_median_profit_factor,user_attrs_mean_seed_val_first_median_return_pct,user_attrs_mean_seed_val_first_positive_return_symbols,user_attrs_mean_seed_val_first_total_trade_events,user_attrs_mean_seed_val_first_total_trades,user_attrs_mean_seed_val_second_max_drawdown_abs,user_attrs_mean_seed_val_second_mean_constraint_applied_ratio,user_attrs_mean_seed_val_second_mean_executed_action_1_ratio,user_attrs_mean_seed_val_second_mean_return_pct,user_attrs_mean_seed_val_second_mean_threshold_applied_ratio,user_attrs_mean_seed_val_second_mean_turnover,user_attrs_mean_seed_val_second_median_profit_factor,user_attrs_mean_seed_val_second_median_return_pct,user_attrs_mean_seed_val_second_positive_return_symbols,user_attrs_mean_seed_val_second_total_trade_events,user_attrs_mean_seed_val_second_total_trades,user_attrs_median_active_symbols,user_attrs_median_long_action_symbols,user_attrs_median_max_drawdown_abs,user_attrs_median_mean_turnover,user_attrs_median_of_seed_mean_return_pct,user_attrs_median_of_seed_median_return_pct,user_attrs_median_positive_return_symbols,user_attrs_median_profit_factor,user_attrs_median_seed_half_return_gap_pct,user_attrs_median_seed_max_half_median_return_pct,user_attrs_median_seed_min_half_median_return_pct,user_attrs_median_seed_second_minus_first_half_median_return_pct,user_attrs_median_seed_val_first_max_drawdown_abs,user_attrs_median_seed_val_first_mean_constraint_applied_ratio,user_attrs_median_seed_val_first_mean_executed_action_1_ratio,user_attrs_median_seed_val_first_mean_return_pct,user_attrs_median_seed_val_first_mean_threshold_applied_ratio,user_attrs_median_seed_val_first_mean_turnover,user_attrs_median_seed_val_first_median_profit_factor,user_attrs_median_seed_val_first_median_return_pct,user_attrs_median_seed_val_first_positive_return_symbols,user_attrs_median_seed_val_first_total_trade_events,user_attrs_median_seed_val_first_total_trades,user_attrs_median_seed_val_second_max_drawdown_abs,user_attrs_median_seed_val_second_mean_constraint_applied_ratio,user_attrs_median_seed_val_second_mean_executed_action_1_ratio,user_attrs_median_seed_val_second_mean_return_pct,user_attrs_median_seed_val_second_mean_threshold_applied_ratio,user_attrs_median_seed_val_second_mean_turnover,user_attrs_median_seed_val_second_median_profit_factor,user_attrs_median_seed_val_second_median_return_pct,user_attrs_median_seed_val_second_positive_return_symbols,user_attrs_median_seed_val_second_total_trade_events,user_attrs_median_seed_val_second_total_trades,user_attrs_median_total_trade_events,user_attrs_median_total_trades,user_attrs_memory_horizon,user_attrs_memory_horizon_bars,user_attrs_min_profit_factor,user_attrs_min_seed_median_return_pct,user_attrs_min_total_trades,user_attrs_n_seeds,user_attrs_objective_metric_name,user_attrs_objective_score,user_attrs_observed_all_symbols_active_share,user_attrs_observed_all_symbols_have_long_share,user_attrs_observed_mean_of_seed_mean_return_pct,user_attrs_observed_median_max_drawdown_abs,user_attrs_observed_median_of_seed_median_return_pct,user_attrs_observed_median_profit_factor,user_attrs_observed_median_total_trades,user_attrs_optuna_constraints_convention,user_attrs_required_all_symbols_active_share,user_attrs_required_all_symbols_have_long_share,user_attrs_seeds_used,user_attrs_std_of_seed_median_return_pct,user_attrs_valid,state
0,0.515848096010485,1.0,0.1,325,1.0,1.0,1.0,False,0.05656282409761592,True,True,True,True,True,True,True,0.0,0.0,-5.880085917912512,0.0,-186.0,-364.0,-0.15828848748801472,"[-5.880085917912512, -0.15828848748801472, -364.0, -186.0, 0.0, 0.0, 0.0]",0.8098096527007772,0.0933,9.119914082087488,-1000000.0,15.0,0.515848096010485,650.0,0.8098096527007772,0.515848096010485,3.5544123939643346,1.7111838966738846,-1.84322849729045,-3.5544123939643346,4.810962557334742,0.0862,0.4686,2.3577013774815425,0.05399999999999999,0.0858,1.241904087651199,1.7111838966738846,3.0,429.0,213.0,8.23256402502236,0.09880000000000001,0.45439999999999997,-1.5448388799015,0.0558,0.1008,0.873827070685946,-1.84322849729045,2.0,504.0,251.0,5.0,5.0,9.119914082087488,0.0933,0.8098096527007772,0.515848096010485,3.0,1.0082884874880147,3.5544123939643346,1.7111838966738846,-1.84322849729045,-3.5544123939643346,4.810962557334742,0.0862,0.4686,2.3577013774815425,0.05399999999999999,0.0858,1.241904087651199,1.7111838966738846,3.0,429.0,213.0,8.23256402502236,0.09880000000000001,0.45439999999999997,-1.5448388799015,0.0558,0.1008,0.873827070685946,-1.84322849729045,2.0,504.0,251.0,933.0,464.0,325.0,325.0,0.85,0.515848096010485,100.0,1,median_of_seed_median_return_pct,0.515848096010485,1.0,1.0,0.8098096527007772,9.119914082087488,0.515848096010485,1.0082884874880147,464.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
1,-0.8197656391945474,0.612230135615808,0.1841021691579566,375,1.0,1.0,1.0,False,-0.08673307769333655,True,True,True,True,True,True,True,0.0,0.0,-5.548408277485493,0.0,-166.0,-384.0,-0.031518891645580305,"[-5.548408277485493, -0.031518891645580305, -384.0, -166.0, 0.0, 0.0, 0.0]",1.603574647993129,0.0973,9.451591722514507,-1000000.0,15.0,-0.8197656391945474,650.0,1.603574647993129,-0.8197656391945474,2.499271339609266,0.2734873917227709,-2.225783947886495,-2.499271339609266,4.605130839705729,0.0692,0.5058,3.4991396828236554,0.0844,0.08299999999999999,0.9706071159327144,0.2734873917227709,4.0,415.0,206.0,8.052585840826943,0.12179999999999999,0.4896,-1.7934864800958228,0.06,0.11159999999999999,0.7470266334802791,-2.225783947886495,1.0,558.0,278.0,5.0,5.0,9.451591722514507,0.0973,1.603574647993129,-0.8197656391945474,2.0,0.8815188916455803,2.499271339609266,0.2734873917227709,-2.225783947886495,-2.499271339609266,4.605130839705729,0.0692,0.5058,3.4991396828236554,0.0844,0.08299999999999999,0.9706071159327144,0.2734873917227709,4.0,415.0,206.0,8.052585840826943,0.12179999999999999,0.4896,-1.7934864800958228,0.06,0.11159999999999999,0.7470266334802791,-2.225783947886495,1.0,558.0,278.0,973.0,484.0,375.0,375.0,0.85,-0.8197656391945474,100.0,1,median_of_seed_median_return_pct,-0.8197656391945474,1.0,1.0,1.603574647993129,9.451591722514507,-0.8197656391945474,0.8815188916455803,484.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
2,-7.759367072721856,0.5005067708426926,0.1932585081149179,250,1.0,1.0,1.0,False,-0.530886527867478,True,True,True,True,False,True,True,0.0,0.0,-0.3841326433908314,0.0,-135.0,-415.0,0.204165289853927,"[-0.3841326433908314, 0.204165289853927, -415.0, -135.0, 0.0, 0.0, 0.0]",-3.8749657265401938,0.1035,14.615867356609169,-1000000.0,15.0,-7.759367072721856,650.0,-3.8749657265401938,-7.759367072721856,4.921359915827717,1.2849581086808337,-3.636401807146883,-4.921359915827717,6.294152930723385,0.093,0.5156000000000001,2.2970340814082335,0.059399999999999994,0.10200000000000001,1.126794943583391,1.2849581086808337,4.0,510.0,254.0,12.476972095992622,0.1024,0.5094000000000001,-6.055901837595458,0.053000000000000005,0.10500000000000001,0.5517277119704318,-3.636401807146883,0.0,525.0,261.0,5.0,5.0,14.615867356609169,0.1035,-3.8749657265401938,-7.759367072721856,1.0,0.645834710146073,4.921359915827717,1.2849581086808337,-3.636401807146883,-4.921359915827717,6.294152930723385,0.093,0.5156000000000001,2.2970340814082335,0.059399999999999994,0.10200000000000001,1.126794943583391,1.2849581086808337,4.0,510.0,254.0,12.476972095992622,0.1024,0.5094000000000001,-6.055901837595458,0.053000000000000005,0.10500000000000001,0.5517277119704318,-3.636401807146883,0.0,525.0,261.0,1035.0,515.0,250.0,250.0,0.85,-7.759367072721856,100.0,1,median_of_seed_median_return_pct,-7.759367072721856,1.0,1.0,-3.8749657265401938,14.615867356609169,-7.759367072721856,0.645834710146073,515.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
3,-3.308801609784806,6.8819115006635805,0.20959886624134833,350,1.0,1.0,1.0,False,-0.25813597514409586,True,True,True,True,False,True,True,0.0,0.0,-2.181943129245054,0.0,-121.0,-429.0,0.08164184709520161,"[-2.181943129245054, 0.08164184709520161, -429.0, -121.0, 0.0, 0.0, 0.0]",-0.41729430050925237,0.10629999999999999,12.818056870754946,-1000000.0,15.0,-3.308801609784806,650.0,-0.41729430050925237,-3.308801609784806,4.5005156982915295,0.6454689053134066,-3.855046792978123,-4.5005156982915295,7.710324900230736,0.0696,0.492,3.1140171001236827,0.09759999999999999,0.0906,1.006070899002119,0.6454689053134066,4.0,453.0,225.0,12.276404783929529,0.1306,0.48840000000000006,-3.544326988573951,0.067,0.122,0.6460225268440459,-3.855046792978123,1.0,610.0,304.0,5.0,5.0,12.818056870754946,0.10629999999999999,-0.41729430050925237,-3.308801609784806,2.0,0.7683581529047984,4.5005156982915295,0.6454689053134066,-3.855046792978123,-4.5005156982915295,7.710324900230736,0.0696,0.492,3.1140171001236827,0.09759999999999999,0.0906,1.006070899002119,0.6454689053134066,4.0,453.0,225.0,12.276404783929529,0.1306,0.48840000000000006,-3.544326988573951,0.067,0.122,0.6460225268440459,-3.855046792978123,1.0,610.0,304.0,1063.0,529.0,350.0,350.0,0.85,-3.308801609784806,100.0,1,median_of_seed_median_return_pct,-3.308801609784806,1.0,1.0,-0.41729430050925237,12.818056870754946,-3.308801609784806,0.7683581529047984,529.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
4,-2.818689689416831,0.5554454482640988,0.07204374128168337,400,1.0,1.0,1.0,False,-0.253896116511425,True,True,True,True,False,True,True,0.0,0.0,-3.898255994829311,0.0,-201.0,-349.0,0.015279170149045562,"[-3.898255994829311, 0.015279170149045562, -349.0, -201.0, 0.0, 0.0, 0.0]",0.3243002792428083,0.0903,11.101744005170689,-1000000.0,15.0,-2.818689689416831,650.0,0.3243002792428083,-2.818689689416831,4.543853190485613,1.55437705722421,-2.989476133261404,-4.543853190485613,4.877303497577657,0.058800000000000005,0.45920000000000005,3.9333243393641055,0.06420000000000001,0.073,1.0420288894688219,1.55437705722421,3.0,365.0,181.0,9.25699524233562,0.11400000000000002,0.4412,-3.5129267335642234,0.05399999999999999,0.10759999999999999,0.7001123675593356,-2.989476133261404,1.0,538.0,268.0,5.0,5.0,11.101744005170689,0.0903,0.3243002792428083,-2.818689689416831,2.0,0.8347208298509544,4.543853190485613,1.55437705722421,-2.989476133261404,-4.543853190485613,4.877303497577657,0.058800000000000005,0.45920000000000005,3.9333243393641055,0.06420000000000001,0.073,1.0420288894688219,1.55437705722421,3.0,365.0,181.0,9.25699524233562,0.11400000000000002,0.4412,-3.5129267335642234,0.05399999999999999,0.10759999999999999,0.7001123675593356,-2.989476133261404,1.0,538.0,268.0,903.0,449.0,400.0,400.0,0.85,-2.818689689416831,100.0,1,median_of_seed_median_return_pct,-2.818689689416831,1.0,1.0,0.3243002792428083,11.101744005170689,-2.818689689416831,0.8347208298509544,449.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
5,-2.1878945013055873,1.405328682990182,0.2815279783149154,400,1.0,1.0,1.0,False,-0.2373053289022144,True,True,True,True,False,True,True,0.0,0.0,-5.7802554985727035,0.0,-130.0,-420.0,0.023667390097713792,"[-5.7802554985727035, 0.023667390097713792, -420.0, -130.0, 0.0, 0.0, 0.0]",-0.7882469102658483,0.1045,9.219744501427297,-1000000.0,15.0,-2.1878945013055873,650.0,-0.7882469102658483,-2.1878945013055873,3.9004015599227837,0.47856463379616354,-3.42183692612662,-3.9004015599227837,5.570678565750098,0.07100000000000001,0.521,2.3030539218045143,0.09359999999999999,0.0902,0.9820683587605038,0.47856463379616354,4.0,451.0,224.0,8.86486842501839,0.1286,0.4992,-3.063733574985874,0.0678,0.11880000000000002,0.7710684882737009,-3.42183692612662,1.0,594.0,296.0,5.0,5.0,9.219744501427297,0.1045,-0.7882469102658483,-2.1878945013055873,1.0,0.8263326099022862,3.9004015599227837,0.47856463379616354,-3.42183692612662,-3.9004015599227837,5.570678565750098,0.07100000000000001,0.521,2.3030539218045143,0.09359999999999999,0.0902,0.9820683587605038,0.47856463379616354,4.0,451.0,224.0,8.86486842501839,0.1286,0.4992,-3.063733574985874,0.0678,0.11880000000000002,0.7710684882737009,-3.42183692612662,1.0,594.0,296.0,1045.0,520.0,400.0,400.0,0.85,-2.1878945013055873,100.0,1,median_of_seed_median_return_pct,-2.1878945013055873,1.0,1.0,-0.7882469102658483,9.219744501427297,-2.1878945013055873,0.8263326099022862,520.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,False,COMPLETE
6,0.4370520179606485,2.5760984682298647,0.23782429760837678,375,1.0,1.0,1.0,False,0.03971755802113158,True,True,True,True,True,True,True,0.0,0.0,-3.99599976090885,0.0,-133.0,-417.0,-0.131828179580592,"[-3.99599976090885, -0.131828179580592, -417.0, -133.0, 0.0, 0.0, 0.0]",2.5950184520632584,0.10389999999999999,11.00400023909115,-1000000.0,15.0,0.4370520179606485,650.0,2.5950184520632584,0.4370520179606485,1.0833519778980172,1.378998925233299,0.29564694733528185,-1.0833519778980172,4.195797587727479,0.0764,0.5054000000000001,5.168279526960751,0.09,0.0902,1.2770968635700386,1.378998925233299,3.0,451.0,225.0,9.629417804872908,0.12580000000000002,0.49799999999999994,-2.491218534760258,0.0692,0.1176,1.01101029562904,0.29564694733528185,3.0,588.0,292.0,5.0,5.0,11.00400023909115,0.10389999999999999,2.5950184520632584,0.4370520179606485,3.0,0.981828179580592,1.0833519778980172,1.378998925233299,0.29564694733528185,-1.0833519778980172,4.195797587727479,0.0764,0.5054000000000001,5.168279526960751,0.09,0.0902,1.2770968635700386,1.378998925233299,3.0,451.0,225.0,9.629417804872908,0.12580000000000002,0.49799999999999994,-2.491218534760258,0.0692,0.1176,1.01101029562904,0.29564694733528185,3.0,588.0,292.0,1039.0,517.0,375.0,375.0,0.85,0.4370520179606485,100.0,1,median_of_seed_median_return_pct,0.4370520179606485,1.0,1.0,2.5950184520632584,11.00400023909115,0.4370520179606485,0.981828179580592,517.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
7,-2.623856756896359,0.79317899451327,0.15352522514476788,300,1.0,1.0,1.0,False,-0.24265953491150685,True,True,True,True,True,True,True,0.0,0.0,-4.187085692498226,0.0,-129.0,-421.0,-0.016225071103585065,"[-4.187085692498226, -0.016225071103585065, -421.0, -129.0, 0.0, 0.0, 0.0]",-1.0668495778392597,0.10469999999999999,10.812914307501774,-1000000.0,15.0,-2.623856756896359,650.0,-1.0668495778392597,-2.623856756896359,4.452108747188932,0.3611925283213191,-4.090916218867613,-4.452108747188932,5.038845501114753,0.09440000000000001,0.48040000000000005,3.3557544039230143,0.06520000000000001,0.1014,1.034598132422941,0.3611925283213191,3.0,507.0,252.0,10.027585164785357,0.11739999999999999,0.48200000000000004,-4.2633935423729845,0.0546,0.10799999999999998,0.6201559932184885,-4.090916218867613,0.0,540.0,269.0,5.0,5.0,10.812914307501774,0.10469999999999999,-1.0668495778392597,-2.623856756896359,1.0,0.866225071103585,4.452108747188932,0.3611925283213191,-4.090916218867613,-4.452108747188932,5.038845501114753,0.09440000000000001,0.48040000000000005,3.3557544039230143,0.06520000000000001,0.1014,1.034598132422941,0.3611925283213191,3.0,507.0,252.0,10.027585164785357,0.11739999999999999,0.48200000000000004,-4.2633935423729845,0.0546,0.10799999999999998,0.6201559932184885,-4.090916218867613,0.0,540.0,269.0,1047.0,521.0,300.0,300.0,0.85,-2.623856756896359,100.0,1,median_of_seed_median_return_pct,-2.623856756896359,1.0,1.0,-1.0668495778392597,10.812914307501774,-2.623856756896359,0.866225071103585,521.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
8,-0.29959327791417856,3.4614584571772786,0.03540412798638139,300,1.0,1.0,1.0,False,-0.027379192465368244,True,True,True,True,True,True,True,0.0,0.0,-4.057629135953075,0.0,-150.0,-400.0,-0.10527221777491214,"[-4.057629135953075, -0.10527221777491214, -400.0, -150.0, 0.0, 0.0, 0.0]",-0.5184224131407401,0.10049999999999999,10.942370864046925,-1000000.0,15.0,-0.29959327791417856,650.0,-0.5184224131407401,-0.29959327791417856,1.875744829473136,0.1252395965669173,-1.7505052329062187,-1.875744829473136,5.524075201085066,0.09179999999999999,0.46740000000000004,2.0479730629261605,0.06960000000000001,0.09759999999999999,0.9860884144534913,0.1252395965669173,3.0,488.0,243.0,9.7437096689442,0.10640000000000001,0.42699999999999994,-2.596822940380037,0.0512,0.1034,0.8567670435421436,-1.7505052329062187,2.0,517.0,257.0,5.0,5.0,10.942370864046925,0.10049999999999999,-0.5184224131407401,-0.29959327791417856,2.0,0.9552722177749121,1.875744829473136,0.1252395965669173,-1.7505052329062187,-1.875744829473136,5.524075201085066,0.09179999999999999,0.46740000000000004,2.0479730629261605,0.06960000000000001,0.09759999999999999,0.9860884144534913,0.1252395965669173,3.0,488.0,243.0,9.7437096689442,0.10640000000000001,0.42699999999999994,-2.596822940380037,0.0512,0.1034,0.8567670435421436,-1.7505052329062187,2.0,517.0,257.0,1005.0,500.0,300.0,300.0,0.85,-0.29959327791417856,100.0,1,median_of_seed_median_return_pct,-0.29959327791417856,1.0,1.0,-0.5184224131407401,10.942370864046925,-0.29959327791417856,0.9552722177749121,500.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
9,-0.9127353712441111,1.5878414490220365,0.1368026505584583,275,1.0,1.0,1.0,False,-0.08988643765179632,True,True,True,True,True,True,True,0.0,0.0,-4.845683118738318,0.0,-120.0,-430.0,-0.07469774969575649,"[-4.845683118738318, -0.07469774969575649, -430.0, -120.0, 0.0, 0.0, 0.0]",-0.9183702836711014,0.1065,10.154316881261682,-1000000.0,15.0,-0.9127353712441111,650.0,-0.9183702836711014,-0.9127353712441111,2.37141498882536,0.06339543106328449,-2.3080195577620755,-2.37141498882536,5.833217493133668,0.096,0.5024,1.9879924969753393,0.0644,0.0974,0.9235692044472623,0.06339543106328449,3.0,487.0,243.0,8.284145133839704,0.1232,0.4830000000000001,-2.867568107480396,0.057999999999999996,0.1156,0.804205984828406,-2.3080195577620755,0.0,578.0,287.0,5.0,5.0,10.154316881261682,0.1065,-0.9183702836711014,-0.9127353712441111,2.0,0.9246977496957565,2.37141498882536,0.06339543106328449,-2.3080195577620755,-2.37141498882536,5.833217493133668,0.096,0.5024,1.9879924969753393,0.0644,0.0974,0.9235692044472623,0.06339543106328449,3.0,487.0,243.0,8.284145133839704,0.1232,0.4830000000000001,-2.867568107480396,0.057999999999999996,0.1156,0.804205984828406,-2.3080195577620755,0.0,578.0,287.0,1065.0,530.0,275.0,275.0,0.85,-0.9127353712441111,100.0,1,median_of_seed_median_return_pct,-0.9127353712441111,1.0,1.0,-0.9183702836711014,10.154316881261682,-0.9127353712441111,0.9246977496957565,530.0,feasible_if_all_values_le_0,1.0,1.0,3142,0.0,True,COMPLETE
