trial_number,study_name,bandit_name,method_group,set_name,z_window,alpha_out,n_market_features,feature_list,memory_horizon_bars,objective_score,valid,constraint_symbols_active_ok,constraint_symbols_have_long_ok,constraint_min_trades_ok,constraint_max_trades_ok,constraint_profit_factor_ok,constraint_drawdown_ok,constraint_finite_objective_return_ok,objective_metric_name,calmar_like,effective_drawdown_abs_for_calmar,calmar_drawdown_floor_applied,calmar_drawdown_floor_abs,invalid_score,constraints_values,constraint_value_drawdown,constraint_value_profit_factor,constraint_value_min_trades,constraint_value_max_trades,constraint_value_all_symbols_active,constraint_value_all_symbols_have_long,constraint_value_finite_objective_return,optuna_constraints_convention,required_all_symbols_active_share,required_all_symbols_have_long_share,min_total_trades,max_total_trades,min_profit_factor,max_drawdown_abs,observed_all_symbols_active_share,observed_all_symbols_have_long_share,observed_median_total_trades,observed_median_profit_factor,observed_median_max_drawdown_abs,observed_median_of_seed_median_return_pct,observed_mean_of_seed_mean_return_pct,diagnostic_mean_of_seed_mean_return_pct,diagnostic_median_mean_turnover,n_seeds,seeds_used,all_symbols_active_share,all_symbols_have_long_share,median_of_seed_median_return_pct,mean_of_seed_median_return_pct,std_of_seed_median_return_pct,min_seed_median_return_pct,max_seed_median_return_pct,median_of_seed_mean_return_pct,mean_of_seed_mean_return_pct,median_max_drawdown_abs,median_profit_factor,median_total_trades,median_total_trade_events,median_mean_turnover,median_positive_return_symbols,median_active_symbols,median_long_action_symbols,median_seed_val_first_median_return_pct,mean_seed_val_first_median_return_pct,median_seed_val_second_median_return_pct,mean_seed_val_second_median_return_pct,median_seed_val_first_mean_return_pct,mean_seed_val_first_mean_return_pct,median_seed_val_second_mean_return_pct,mean_seed_val_second_mean_return_pct,median_seed_val_first_max_drawdown_abs,mean_seed_val_first_max_drawdown_abs,median_seed_val_second_max_drawdown_abs,mean_seed_val_second_max_drawdown_abs,median_seed_val_first_median_profit_factor,mean_seed_val_first_median_profit_factor,median_seed_val_second_median_profit_factor,mean_seed_val_second_median_profit_factor,median_seed_val_first_total_trades,mean_seed_val_first_total_trades,median_seed_val_second_total_trades,mean_seed_val_second_total_trades,median_seed_val_first_total_trade_events,mean_seed_val_first_total_trade_events,median_seed_val_second_total_trade_events,mean_seed_val_second_total_trade_events,median_seed_val_first_mean_turnover,mean_seed_val_first_mean_turnover,median_seed_val_second_mean_turnover,mean_seed_val_second_mean_turnover,median_seed_val_first_mean_executed_action_1_ratio,mean_seed_val_first_mean_executed_action_1_ratio,median_seed_val_second_mean_executed_action_1_ratio,mean_seed_val_second_mean_executed_action_1_ratio,median_seed_val_first_mean_threshold_applied_ratio,mean_seed_val_first_mean_threshold_applied_ratio,median_seed_val_second_mean_threshold_applied_ratio,mean_seed_val_second_mean_threshold_applied_ratio,median_seed_val_first_mean_constraint_applied_ratio,mean_seed_val_first_mean_constraint_applied_ratio,median_seed_val_second_mean_constraint_applied_ratio,mean_seed_val_second_mean_constraint_applied_ratio,median_seed_val_first_positive_return_symbols,mean_seed_val_first_positive_return_symbols,median_seed_val_second_positive_return_symbols,mean_seed_val_second_positive_return_symbols,median_seed_min_half_median_return_pct,mean_seed_min_half_median_return_pct,median_seed_max_half_median_return_pct,mean_seed_max_half_median_return_pct,median_seed_half_return_gap_pct,mean_seed_half_return_gap_pct,median_seed_second_minus_first_half_median_return_pct,mean_seed_second_minus_first_half_median_return_pct,param_bandit_type,param_lambda_prior,param_reward_clip,param_window_size,param_noise_std,optuna_param_lambda_prior,optuna_param_window_size,optuna_param_noise_std,param_ucb_alpha,optuna_param_ucb_alpha
0,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,325.0,-4.624505009186219,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.3787857579995258,12.208761579657935,False,1.0,-1000000.0,"[-2.791238420342065, 0.07461372412288592, -515.0, -35.0, 0.0, 0.0, 0.0]",-2.791238420342065,0.07461372412288592,-515.0,-35.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,615.0,0.7753862758771141,12.208761579657935,-4.624505009186219,-2.997756956434203,-2.997756956434203,0.12340000000000002,5,3142|3143|3144|3145|3146,1.0,1.0,-4.624505009186219,-4.4709392914708745,0.9650042166542345,-5.673752278415378,-3.0915874732518445,-2.71120340353347,-2.997756956434203,12.208761579657935,0.7753862758771141,615.0,1234.0,0.12340000000000002,1.0,5.0,5.0,0.012486206450512682,-0.4269281285480231,-3.2943821554073938,-3.602806715916567,1.2540706109534905,0.7822258765342256,-3.807054052336177,-3.7537214431643817,5.93180334985991,6.048244219869017,10.231184931615678,9.425922270657562,0.9118825613571143,0.9035899342832968,0.6712657840711947,0.6756238892481169,301.0,299.4,316.0,320.2,603.0,600.2,635.0,643.0,0.1206,0.12004,0.127,0.1286,0.4988,0.50652,0.44939999999999997,0.45076,0.0494,0.049640000000000004,0.049400000000000006,0.04972,0.11499999999999999,0.11528000000000001,0.129,0.13340000000000002,3.0,2.6,0.0,0.2,-3.2943821554073938,-3.602806715916567,0.012486206450512682,-0.4269281285480231,3.3068683618579064,3.1758785873685436,-3.3068683618579064,-3.1758785873685436,sw_lints,1.0,0.1,325,0.03,1.0,325,0.03,,
1,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,300.0,-3.2434963717079435,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.31095073314314603,10.43090118785731,False,1.0,-1000000.0,"[-4.569098812142689, 0.05308071223185373, -503.0, -47.0, 0.0, 0.0, 0.0]",-4.569098812142689,0.05308071223185373,-503.0,-47.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,603.0,0.7969192877681462,10.43090118785731,-3.2434963717079435,-1.8997443837674624,-1.8997443837674624,0.121,5,3142|3143|3144|3145|3146,1.0,1.0,-3.2434963717079435,-2.8839864905907198,1.3654702098219333,-4.095622029188151,-0.5836964943175538,-1.6250743727240604,-1.8997443837674624,10.43090118785731,0.7969192877681462,603.0,1210.0,0.121,1.0,5.0,5.0,0.3583763246735483,0.20164612279901073,-3.3186398285649954,-3.2667050836951317,1.0035589831829972,1.0686315430392281,-2.854854395190247,-2.9002851825772975,6.09256732550254,5.856433143908268,9.070583820098877,8.912081800122854,0.9958772935647077,0.9959302140867188,0.6941401674520925,0.6707670011653193,277.0,276.8,323.0,324.8,556.0,555.2,649.0,651.8,0.1112,0.11103999999999999,0.1298,0.13036,0.5058,0.5023199999999999,0.4528,0.45215999999999995,0.05139999999999999,0.05267999999999999,0.054200000000000005,0.053200000000000004,0.0996,0.1018,0.1378,0.13799999999999998,3.0,2.8,0.0,0.6,-3.3186398285649954,-3.2667050836951317,0.3583763246735483,0.20164612279901073,3.5175421063142864,3.4683512064941424,-3.5175421063142864,-3.4683512064941424,sw_lints,2.6583217675071293,0.1,300,0.024053363624212343,2.6583217675071293,300,0.024053363624212343,,
2,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,300.0,-2.6858044136606307,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.22217567164956098,12.088652163036851,False,1.0,-1000000.0,"[-2.9113478369631487, 0.0033004865475633194, -467.0, -83.0, 0.0, 0.0, 0.0]",-2.9113478369631487,0.0033004865475633194,-467.0,-83.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,567.0,0.8466995134524367,12.088652163036851,-2.6858044136606307,-1.3735832039203255,-1.3735832039203255,0.11379999999999998,5,3142|3143|3144|3145|3146,1.0,1.0,-2.6858044136606307,-3.1378559107544453,0.9550230660169857,-4.454856888460867,-2.3457139032884045,-1.2925906643041052,-1.3735832039203255,12.088652163036851,0.8466995134524367,567.0,1138.0,0.11379999999999998,1.0,5.0,5.0,0.44969767077445155,0.5156998139511293,-3.57533865267603,-3.211909428376008,1.8429563971648033,1.7528999270760646,-3.014126046972427,-3.034717596060574,5.768628688904354,5.860841772732215,9.448755472030745,9.517409627791354,1.055672888273109,1.0306857545059962,0.6847825103478388,0.6800989253763617,262.0,258.4,298.0,301.6,526.0,518.6,599.0,605.4,0.10519999999999999,0.10371999999999999,0.11979999999999999,0.12108000000000001,0.4808,0.48148,0.4454000000000001,0.44776,0.0482,0.0482,0.0474,0.047599999999999996,0.1008,0.09992,0.131,0.13448,3.0,3.0,0.0,0.4,-3.57533865267603,-3.211909428376008,0.44969767077445155,0.5156998139511293,3.9865336097233417,3.7276092423271363,-3.9865336097233417,-3.7276092423271363,sw_lints,0.45417725253359703,0.1,300,0.0138940336513385,0.45417725253359703,300,0.0138940336513385,,
3,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,375.0,-3.2966043264124223,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.3140490096499262,10.49710148771742,False,1.0,-1000000.0,"[-4.502898512282581, 0.03780738603091982, -513.0, -37.0, 0.0, 0.0, 0.0]",-4.502898512282581,0.03780738603091982,-513.0,-37.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,613.0,0.8121926139690802,10.49710148771742,-3.2966043264124223,-1.8746181848030616,-1.8746181848030616,0.12290000000000001,5,3142|3143|3144|3145|3146,1.0,1.0,-3.2966043264124223,-3.0486923740936467,1.3445802185218048,-4.84645483542775,-1.688038373933598,-1.9541386900569102,-1.8746181848030616,10.49710148771742,0.8121926139690802,613.0,1229.0,0.12290000000000001,2.0,5.0,5.0,0.19670866249363872,0.3748451596128266,-2.4433194814443393,-3.0733230493255776,1.6955412456035823,1.7026075498806912,-3.6449610750371186,-3.4856121722451894,4.970951634313103,5.168878497976173,9.460205440861081,9.623309249051363,0.9288196677085307,0.9471171890294858,0.7274972705986544,0.701070532407842,289.0,287.6,321.0,326.8,579.0,577.6,642.0,654.8,0.11580000000000001,0.11552000000000003,0.12840000000000001,0.13096,0.501,0.50288,0.47119999999999995,0.47447999999999996,0.0578,0.05584,0.05519999999999999,0.05491999999999999,0.1022,0.10356000000000001,0.133,0.13248000000000001,3.0,2.8,0.0,0.4,-2.4433194814443393,-3.0733230493255776,0.19670866249363872,0.3748451596128266,2.524666219960592,3.448168208938405,-2.524666219960592,-3.448168208938405,sw_lints,0.4103210507454176,0.1,375,0.028224331063458036,0.4103210507454176,375,0.028224331063458036,,
4,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,300.0,-1.6664798123013358,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.15737707983294383,10.589088411541937,False,1.0,-1000000.0,"[-4.410911588458063, -0.00754175159731707, -423.0, -127.0, 0.0, 0.0, 0.0]",-4.410911588458063,-0.00754175159731707,-423.0,-127.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,523.0,0.857541751597317,10.589088411541937,-1.6664798123013358,-0.7537465266510823,-0.7537465266510823,0.10500000000000001,5,3142|3143|3144|3145|3146,1.0,1.0,-1.6664798123013358,-1.3757112502992719,1.500248580381783,-3.2401330861964506,0.5240420318345151,-0.5480006147652496,-0.7537465266510823,10.589088411541937,0.857541751597317,523.0,1050.0,0.10500000000000001,2.0,5.0,5.0,0.5179508934076482,1.1256875627675944,-3.172283168003698,-2.8817397475447692,2.4137425109200272,2.122867427859954,-2.956113377516887,-2.788313494851837,5.628388821448127,5.657844291760141,9.542685179317633,8.963577719812841,1.0809793089508,1.0878847687519904,0.676232360820652,0.7186326671472888,232.0,232.0,291.0,283.4,466.0,466.2,584.0,568.4,0.09319999999999999,0.09323999999999999,0.11679999999999999,0.11368,0.48040000000000005,0.48556,0.4394,0.44028,0.0472,0.047400000000000005,0.0508,0.0502,0.08680000000000002,0.08944,0.128,0.12844000000000003,3.0,3.0,0.0,0.6,-3.172283168003698,-2.8817397475447692,0.5179508934076482,1.1256875627675944,4.24349425700612,4.007427310312364,-4.24349425700612,-4.007427310312364,sw_lints,0.3321001532090087,0.1,300,0.005843060126585927,0.3321001532090087,300,0.005843060126585927,,
5,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,300.0,-3.071296200620388,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.2815796482466959,10.907379918059924,False,1.0,-1000000.0,"[-4.092620081940076, 0.05157620766563542, -419.0, -131.0, 0.0, 0.0, 0.0]",-4.092620081940076,0.05157620766563542,-419.0,-131.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,519.0,0.7984237923343646,10.907379918059924,-3.071296200620388,-0.5285535985385488,-0.5285535985385488,0.1042,5,3142|3143|3144|3145|3146,1.0,1.0,-3.071296200620388,-3.2535926321999753,1.4623562217474504,-5.040035130928144,-1.158573010776287,-1.1273670932245206,-0.5285535985385488,10.907379918059924,0.7984237923343646,519.0,1042.0,0.1042,2.0,5.0,5.0,0.7710409522652784,0.5498254348839549,-3.0744324599211392,-2.796826152606835,2.6013466293665033,2.348496786035319,-3.3799992986366405,-2.7652340356735268,6.274788951397281,6.025342948057575,8.7987882483759,8.81764154324787,1.0445859987522605,1.0074760196679091,0.6581131471945578,0.6811562363802952,238.0,237.6,279.0,279.0,478.0,477.8,560.0,559.4,0.0956,0.09555999999999999,0.11199999999999999,0.11188000000000001,0.4880000000000001,0.48712,0.43520000000000003,0.4354,0.051000000000000004,0.05095999999999999,0.0514,0.05072,0.09060000000000001,0.08944,0.1216,0.12564,3.0,2.8,1.0,1.2,-3.0744324599211392,-2.796826152606835,0.7710409522652784,0.5498254348839549,3.5093070800909065,3.34665158749079,-3.5093070800909065,-3.34665158749079,sw_lints,0.8546236929367872,0.1,300,0.005157341668169063,0.8546236929367872,300,0.005157341668169063,,
6,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,350.0,-0.10797949762642034,True,True,True,True,True,True,True,True,median_of_seed_median_return_pct,-0.011587330396628435,9.318755393204214,False,1.0,-1000000.0,"[-5.6812446067957865, -0.10725206335402004, -367.0, -183.0, 0.0, 0.0, 0.0]",-5.6812446067957865,-0.10725206335402004,-367.0,-183.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,467.0,0.95725206335402,9.318755393204214,-0.10797949762642034,-0.06522680062643012,-0.06522680062643012,0.0938,5,3142|3143|3144|3145|3146,1.0,1.0,-0.10797949762642034,-0.05990592613191792,0.5848845529381594,-0.9466159541715036,0.6309196744033407,-0.3652552716500447,-0.06522680062643012,9.318755393204214,0.95725206335402,467.0,938.0,0.0938,2.0,5.0,5.0,0.2972294510066531,0.7786063878853344,-0.6895010103768584,-1.0568870209723502,1.4691519170268919,1.3576348247060348,-1.009061328894143,-1.3963517786355526,5.450997354618381,5.546612906855364,8.487239973473216,8.586575204132341,0.9977222544330584,1.0364625825755733,0.8543048876873652,0.852826079634218,216.0,214.6,252.0,254.2,432.0,430.2,506.0,511.8,0.0864,0.08603999999999998,0.1012,0.10236,0.4974,0.49884000000000006,0.4244,0.42691999999999997,0.05639999999999999,0.05728,0.057600000000000005,0.05556,0.0756,0.0764,0.10839999999999998,0.1072,3.0,3.4,1.0,1.4,-0.6895010103768584,-1.0568870209723502,0.2972294510066531,0.7786063878853344,0.9867304613835115,1.8354934088576846,-0.9867304613835115,-1.8354934088576846,sw_lints,3.136282118621863,0.1,350,0.005426838628174849,3.136282118621863,350,0.005426838628174849,,
7,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,275.0,-2.155488927185145,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.21349146400000168,10.096370537723832,False,1.0,-1000000.0,"[-4.903629462276168, 0.050821103761336306, -398.0, -152.0, 0.0, 0.0, 0.0]",-4.903629462276168,0.050821103761336306,-398.0,-152.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,498.0,0.7991788962386637,10.096370537723832,-2.155488927185145,-0.21381393960403772,-0.21381393960403772,0.09989999999999999,5,3142|3143|3144|3145|3146,1.0,1.0,-2.155488927185145,-1.8728281230798303,1.0360000843470754,-2.8048804090924473,-0.4449509048273459,-0.05060052254244311,-0.21381393960403772,10.096370537723832,0.7991788962386637,498.0,999.0,0.09989999999999999,2.0,5.0,5.0,-0.6683108940157445,-0.15933276709709343,-1.5692293024295756,-1.6265492846982,1.3829270877143585,1.5366481984497118,-1.9390592813134138,-1.7009020205174603,5.173207376448252,5.3313994912666995,8.556448053348342,8.787330433277031,0.8770549636738011,0.9153259972625717,0.7954126235514105,0.7931205072866252,236.0,235.8,263.0,264.4,475.0,473.6,528.0,530.8,0.095,0.09472,0.1056,0.10616,0.49119999999999997,0.48836,0.43279999999999996,0.43167999999999995,0.047200000000000006,0.04716,0.049600000000000005,0.04864,0.083,0.08224,0.11040000000000001,0.11268,2.0,2.4,2.0,1.4,-1.5692293024295756,-1.6574933479270881,-0.5135905778713035,-0.12838870386820522,1.6241438436470856,1.529104644058883,-1.6241438436470856,-1.4672165176011065,sw_lints,0.3999384989689106,0.1,275,0.0038594701586030697,0.3999384989689106,275,0.0038594701586030697,,
8,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,325.0,-2.72950600547186,False,True,True,True,True,False,True,True,median_of_seed_median_return_pct,-0.26422777680483495,10.330125161246539,False,1.0,-1000000.0,"[-4.669874838753461, 0.05400340775323553, -399.0, -151.0, 0.0, 0.0, 0.0]",-4.669874838753461,0.05400340775323553,-399.0,-151.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,499.0,0.7959965922467644,10.330125161246539,-2.72950600547186,-0.8263137401558659,-0.8263137401558659,0.1001,5,3142|3143|3144|3145|3146,1.0,1.0,-2.72950600547186,-1.169761207833453,2.718099622272806,-3.5522123933489635,1.889420945713538,-0.5544051386113893,-0.8263137401558659,10.330125161246539,0.7959965922467644,499.0,1001.0,0.1001,2.0,5.0,5.0,1.450558554923287,1.0139355023206797,-1.6807160037003666,-1.7057163417245569,1.422421000699996,1.4137272100945668,-2.108265996511718,-2.2101115131151476,5.594422078650196,5.559880377134457,8.777956426472954,8.65834115712352,1.1055705732980092,1.0652891335578507,0.7605368085656415,0.8047315818065588,238.0,239.4,253.0,259.0,477.0,480.0,508.0,520.0,0.09540000000000001,0.096,0.1016,0.10400000000000001,0.4664,0.47128,0.43220000000000003,0.43168000000000006,0.0502,0.049640000000000004,0.0466,0.047920000000000004,0.0932,0.09688,0.1052,0.10948,3.0,2.8,1.0,0.8,-1.6807160037003666,-1.7057163417245569,1.450558554923287,1.0139355023206797,2.0951327836552625,2.7196518440452366,-2.0951327836552625,-2.7196518440452366,sw_lints,0.4491579476345678,0.1,325,0.003985601095823479,0.4491579476345678,325,0.003985601095823479,,
9,sw_lints__corr__z72_a0p5_corr_pruned_top10,sw_lints,corr,z72_a0p5_corr_pruned_top10,72,0.5,10,range_sqrt_z|vol_ratio_72_log1p_z|dist_to_high_168_sqrt_z|body_sqrt_z|bb_width_20_sqrt_z|NATR_14_z|ADX_14_scaled|MOM_pct_14_z|MACD_hist_pct_z|volatility_24_sqrt_z,325.0,-3.989810603578503,False,True,True,True,False,False,True,True,median_of_seed_median_return_pct,-0.32227390233535524,12.380185223396534,False,1.0,-1000000.0,"[-2.619814776603466, 0.06443726920922122, -557.0, 7.0, 0.0, 0.0, 0.0]",-2.619814776603466,0.06443726920922122,-557.0,7.0,0.0,0.0,0.0,feasible_if_all_values_le_0,1.0,1.0,100.0,650.0,0.85,15.0,1.0,1.0,657.0,0.7855627307907788,12.380185223396534,-3.989810603578503,-2.1980876969415797,-2.1980876969415797,0.1319,5,3142|3143|3144|3145|3146,1.0,1.0,-3.989810603578503,-3.375061320486774,1.540248973266544,-4.915796808494899,-0.9102212497483442,-2.5754516901332245,-2.1980876969415797,12.380185223396534,0.7855627307907788,657.0,1319.0,0.1319,1.0,5.0,5.0,0.7848339809304994,0.7708865519615493,-3.7027353306204547,-3.4659975960381595,1.4648811993301614,1.502236920615986,-3.7087924153705365,-3.6389872052173238,5.495933251776918,5.877910831643291,10.476127210550846,10.35669044041282,1.0564759759919895,1.0521544921482842,0.6698284399738518,0.6768831053964826,320.0,319.6,342.0,341.6,641.0,641.8,684.0,684.0,0.1282,0.12835999999999997,0.1368,0.1368,0.5212,0.52208,0.462,0.46208,0.0498,0.05116,0.0498,0.04944,0.126,0.1252,0.1398,0.14168,4.0,3.6,0.0,0.2,-3.7027353306204547,-3.4659975960381595,0.7848339809304994,0.7708865519615493,4.4875693115509545,4.236884147999708,-4.4875693115509545,-4.236884147999708,sw_lints,1.3291529720524704,0.1,325,0.03478395209918766,1.3291529720524704,325,0.03478395209918766,,
