n_symbols,mean_return_pct,median_return_pct,min_return_pct,max_return_pct,max_drawdown_abs,mean_drawdown_abs,median_profit_factor,mean_profit_factor,total_trades,total_trade_events,mean_trades,mean_turnover,mean_win_rate,mean_raw_action_1_ratio,mean_executed_action_1_ratio,mean_threshold_applied_ratio,mean_constraint_applied_ratio,active_symbols,long_action_symbols,positive_return_symbols,all_symbols_active,all_symbols_have_long,val_first_mean_return_pct,val_first_median_return_pct,val_first_min_return_pct,val_first_max_return_pct,val_first_max_drawdown_abs,val_first_mean_drawdown_abs,val_first_median_profit_factor,val_first_mean_profit_factor,val_first_total_trades,val_first_total_trade_events,val_first_mean_turnover,val_first_mean_executed_action_1_ratio,val_first_mean_threshold_applied_ratio,val_first_mean_constraint_applied_ratio,val_first_positive_return_symbols,val_first_active_symbols,val_first_long_action_symbols,val_second_mean_return_pct,val_second_median_return_pct,val_second_min_return_pct,val_second_max_return_pct,val_second_max_drawdown_abs,val_second_mean_drawdown_abs,val_second_median_profit_factor,val_second_mean_profit_factor,val_second_total_trades,val_second_total_trade_events,val_second_mean_turnover,val_second_mean_executed_action_1_ratio,val_second_mean_threshold_applied_ratio,val_second_mean_constraint_applied_ratio,val_second_positive_return_symbols,val_second_active_symbols,val_second_long_action_symbols,min_half_median_return_pct,max_half_median_return_pct,half_return_gap_pct,second_minus_first_half_median_return_pct,seed,confirmation_seed,original_trial_number,confirmation_rank_from_optuna,bandit_name,method_group,set_name,z_window
5,1.486977417601538,0.1681205374581607,-4.71106862531534,11.007722535770824,10.167329415549275,6.469741989734362,0.9782322021403151,0.9826613381775214,452,908,90.4,0.09079999999999999,0.49322110929050833,0.414,0.46129999999999993,0.06839999999999999,0.0791,5,5,3,True,True,2.0346525825584023,0.4935841014360287,-4.0039367261984316,10.048104990302264,6.04480979929013,3.846288236972535,1.066090551928533,1.1634250638840118,209,419,0.0838,0.49160000000000004,0.0678,0.06620000000000001,4,5,5,-0.5397852281773119,-0.7366259354823823,-1.6128308198565366,0.8719982461789177,6.752885862586688,5.179283954729462,0.8349645871082316,0.8585768742278947,243,489,0.09780000000000001,0.43100000000000005,0.06899999999999999,0.092,1,5,5,-0.7366259354823823,0.4935841014360287,1.230210036918411,-1.230210036918411,8000,8000,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,1.5359510912193985,0.8339390378019118,-1.975449136960139,7.9503820622103705,9.303978201160568,6.829099002507597,0.9457153073545541,0.9732403213364673,429,862,85.8,0.0862,0.4887269408245018,0.4208,0.465,0.0602,0.0752,5,5,3,True,True,2.3632615573756,1.7774743923756997,-2.5978900280362316,10.64189105982929,4.8664679006515605,3.880612975764008,1.1074173219959311,1.1401791382949824,204,409,0.0818,0.508,0.0588,0.06200000000000001,3,5,5,-0.724955374030678,-1.0464053989477473,-2.4326310512566174,1.8142244172189903,6.80417996196685,5.024455278352593,0.818470684194636,0.9512315842693202,225,453,0.09059999999999999,0.422,0.0616,0.0884,1,5,5,-1.0464053989477473,1.7774743923756997,2.823879791323447,-2.823879791323447,8001,8001,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.0661963402984043,-3.034692962246277,-7.3363444347481765,7.294707692395974,12.01891908611261,7.820743477179808,0.7717937729065067,0.8985104247727623,458,920,91.6,0.092,0.48526087562434234,0.4055000000000001,0.45439999999999997,0.0669,0.0844,5,5,2,True,True,0.41616237531201,-1.746065928476992,-3.594168098555206,10.173014115939827,4.95755934979859,4.0123234286345655,0.7860202282929939,0.9910659473526072,227,455,0.091,0.488,0.0686,0.07759999999999999,2,5,5,-1.4412400162210126,-1.780492119328847,-3.7692596170408987,0.9276645689799468,8.94435583160007,5.993225089104053,0.7556066558802613,0.8828891698671468,231,465,0.093,0.4208,0.06520000000000001,0.09119999999999999,2,5,5,-1.780492119328847,-1.746065928476992,0.034426190851855054,-0.034426190851855054,8002,8002,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.07049338003471065,-0.7073776287827127,-4.897706107923261,8.506779271394581,11.381235389434806,8.144282894768178,0.9062576422753819,0.9183083512239941,446,896,89.2,0.08959999999999999,0.5091569887139508,0.4255,0.4676,0.0641,0.0784,5,5,1,True,True,2.6538070101146554,3.2853236025025323,-2.688776516755975,10.41740293411777,3.745820660161958,3.2499078534730748,1.3469315004519882,1.253147381525256,198,398,0.0796,0.49820000000000003,0.0644,0.059800000000000006,3,5,5,-2.4532271329484567,-2.1966820327956604,-5.369474187363599,0.424808173014668,9.578080294440339,6.555674173730064,0.7291735959526713,0.7452491849270856,248,498,0.0996,0.437,0.0638,0.097,1,5,5,-2.1966820327956604,3.2853236025025323,5.482005635298193,-5.482005635298193,8003,8003,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,-1.4202804994627336,-0.01675655932303899,-7.457341429480479,5.284859112737328,12.249715397263493,7.751251803809652,0.9100429440316927,0.8730134667849665,444,892,88.8,0.08920000000000002,0.5006556798610973,0.4088,0.4558,0.064,0.08380000000000001,5,5,2,True,True,1.1728724579629013,-0.17833227480343883,-3.8545563071106237,9.060764828601053,5.219669954914908,3.8026157191489256,0.9702628139348539,1.0636129415624056,196,393,0.0786,0.4922000000000001,0.06760000000000001,0.06220000000000001,2,5,5,-2.541252398463299,-3.462203590629398,-6.165885829755958,0.507187036829837,9.10909103340527,6.308231340135726,0.6645447596733435,0.7701266622264987,248,499,0.0998,0.4194,0.06040000000000001,0.10540000000000001,2,5,5,-3.462203590629398,-0.17833227480343883,3.283871315825959,-3.283871315825959,8004,8004,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.17036615424933732,0.09353235979325802,-3.9035280407768047,6.325515841464124,9.583993521596245,7.32321508092577,0.9146803733555043,0.9051195950806641,441,886,88.2,0.08859999999999998,0.5028316057649498,0.41130000000000005,0.4526,0.06420000000000001,0.0763,5,5,3,True,True,2.2005029866818404,2.200737355429716,-2.6391558758035227,10.743725222985411,4.027019051436287,3.5567057771021298,1.167910029103682,1.163740152794901,214,429,0.0858,0.48900000000000005,0.0658,0.06500000000000002,3,5,5,-1.908844682024289,-2.0116494161284026,-3.9895798815012706,-0.18251912733229236,7.1330910370227425,5.82554326548649,0.7804968485088394,0.7783440138107067,227,457,0.09140000000000001,0.41620000000000007,0.0626,0.0876,0,5,5,-2.0116494161284026,2.200737355429716,4.212386771558119,-4.212386771558119,8005,8005,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.1588429465402564,0.851889311775822,-6.556272152294939,6.303223186984819,11.779680797474734,7.729403200392591,1.0025212867157223,0.925830059860645,453,910,90.6,0.091,0.47744509186943446,0.4159,0.46180000000000004,0.0637,0.08020000000000001,5,5,3,True,True,2.299131405553627,2.664672071271035,-4.159893032923312,10.23544872328619,4.881673540477937,3.4771649535399574,1.4103671010395917,1.2193728125962338,206,414,0.0828,0.48979999999999996,0.06720000000000001,0.06620000000000001,3,5,5,-2.0164510145897685,-2.5003927846145246,-3.530768064874812,0.22652824726772103,8.171363668509867,5.7555567482752545,0.7181524962427097,0.7692664739064009,247,496,0.0992,0.4338,0.06020000000000001,0.09419999999999999,1,5,5,-2.5003927846145246,2.664672071271035,5.165064855885559,-5.165064855885559,8006,8006,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.37764828126306094,0.2712185166630965,-4.98539527694446,6.8237842785344505,9.32110086627661,6.829534353802847,0.9306341752144811,0.9827711321938004,428,860,85.6,0.08600000000000001,0.46571679466194,0.4201,0.47059999999999996,0.0645,0.0766,5,5,3,True,True,2.149538800729205,0.8836341686935034,-4.140446715936497,10.410978338352361,5.758423913376342,3.872554068216774,1.008883417306317,1.2732365383951234,194,389,0.0778,0.5161999999999999,0.066,0.06040000000000001,3,5,5,-1.6750159215388405,-0.7020711362342835,-4.386811482004294,0.5698014494316395,8.328980589815128,5.652139059956143,0.8467414540731933,0.8052486215094747,234,471,0.09419999999999999,0.425,0.063,0.0928,1,5,5,-0.7020711362342835,0.8836341686935034,1.585705304927787,-1.585705304927787,8007,8007,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.7238815785651866,0.4824431484231617,-6.0267257281987,8.6397817428717,10.581110545855276,6.780433042484928,0.9907359455022342,0.9762813466787111,435,874,87.0,0.08739999999999999,0.49726828300014664,0.41479999999999995,0.4633,0.0617,0.07660000000000002,5,5,3,True,True,2.3497540922359668,1.0787841512282181,-2.9488911880108715,10.450389077550536,5.0896313798547865,3.4784975961392677,1.161104363455772,1.2664482903180754,201,403,0.08059999999999999,0.4981999999999999,0.0646,0.0608,4,5,5,-1.568087983740596,-1.6392946641478612,-3.1713543285222134,-0.32710813215464096,8.08865192677567,5.592008121634802,0.8156309229427204,0.8052717078666742,234,471,0.09419999999999999,0.4284,0.058800000000000005,0.09240000000000001,0,5,5,-1.6392946641478612,1.0787841512282181,2.7180788153760793,-2.7180788153760793,8008,8008,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
5,0.5477135082773699,0.24032898896766408,-3.5147080181100576,6.223660486989724,10.67710630289419,6.902530824433735,0.9225833599933542,0.9387586567302098,437,877,87.4,0.0877,0.4912949384962089,0.42280000000000006,0.46610000000000007,0.0634,0.0755,5,5,3,True,True,2.5236718015838666,1.17007258227948,-3.2499351894355377,10.369929672165345,5.022659746722081,3.6727342881330154,1.1070545142343609,1.231194090000031,199,399,0.0798,0.5094000000000001,0.068,0.06280000000000001,4,5,5,-1.844761371258707,-0.9189907346915049,-4.18904384685913,-0.08540360590822971,9.366434626126763,5.606259858105484,0.8181738409579733,0.7843839456942843,238,478,0.09559999999999999,0.42280000000000006,0.0588,0.08819999999999999,0,5,5,-0.9189907346915049,1.17007258227948,2.089063316970985,-2.089063316970985,8009,8009,19,1,sw_lints,corr,z72_a0p5_corr_pruned_top10,72
